ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
7896676433098,Ciclomidrin 1% Solução Oftalmica 5ml,CLICLOMIDRIN,A Nossa Drogaria,21.99,22.0,0.04545454545454852,Ciclomidrin® é indicado em procedimentos de diagnósticos como midriático e cicloplégico
7898636193509,Bebida Hidratante Sorox Tangerina 550ml,SOROX,A Nossa Drogaria,12.69,16.5,23.090909090909093,"Sorox é uma bebida hidratante saborosa para recuperar 8 eletrólitos, que possui baixa caloria (menos de 15 calorias), não tem açúcar, vegano."
7897129304866,Gel De Limpeza Theraskin Cleany Concentrado 150ml,CLEANY,A Nossa Drogaria,40.29,40.29,0.0,"O Gel De Limpeza Theraskin Cleany Concentrado é indicado para peles oleosas a acneicas, combate acne e cravos, remove a oleosidade e desobstrui os por"
7892828001627,Folia Sop com 30 Saches,FOLIA,A Nossa Drogaria,77.99,101.39,23.07919913206431,"Folia sop é um suplemento alimentar que contém Mio-Inusitol, que melhora a saúde embrionária e aumenta as chances de concepção de mulheres que tem Sop"
7896676439625,Creme de Ureia 10% Dermidrata com 60g,DERMIDRATA,A Nossa Drogaria,51.79,51.79,0.0,"Creme de hidratação intensa e prolongada. Indicado para peles secas, extrassecas e ásperas. Contém 10% de ureia. Ajuda a reter e recuperar a água da p"
7897129304897,Gel de Limpeza Theraskin Cleany Controle 150ML,CLEANY,A Nossa Drogaria,44.99,58.49,23.080868524534104,"O gel de limpeza theraskin cleany controle é indicado para peles mistas a oleosas, promove limpeza suave sem deixar sensação de repuxamento. Possui ác"
7898636193516,Bebida Hidratante Sorox Uva 550ml,SOROX,A Nossa Drogaria,12.69,16.5,23.090909090909093,"Sorox é uma bebida hidratante saborosa para recuperar 8 eletrólitos, que possui baixa caloria (menos de 15 calorias), não tem açúcar, vegano."
7896112407126,Bhena 10mg com 90 Comprimidos,BHENA,A Nossa Drogaria,199.19,199.2,0.0050200803212829825,"BHENA é utilizado principalmente para o tratamento da pressão alta. BHENA pode também ser utilizado em outras condições (por exemplo, doenças dos rins"
7896676439892,MaterPlena com 60 comprimidos,MATERPLENA,A Nossa Drogaria,19.99,25.99,23.08580223162755,MaterPlena é formulado com uma seleção de vitaminas e minerais que visam contribuir para o funcionamento adequado do organismo durante o período gesta
7896676425482,Mamaliv com 30g,MAMALIV,A Nossa Drogaria,54.99,54.99,0.0,"Protetor para mamilos. Seguro para a mamãe e para o bebê. Lanolina natural super pura e hipoalergênica. Hidrata, alivia, protege e restaura os mamilos"
7898636193493,Bebida Hidratante Sorox Limão 550ml,SOROX,A Nossa Drogaria,12.69,16.5,23.090909090909093,"Sorox é uma bebida hidratante saborosa para recuperar 8 eletrólitos, que possui baixa caloria (menos de 15 calorias), não tem açúcar, vegano."
7897714906352,Sustap Kids Chocolate Sachê 210g,SUSTAP,A Nossa Drogaria,12.89,12.89,0.0,"Sustap Kids é um Suplemento Alimentar, com 27 vitaminas e minerais, que ajuda crianças a terem os aportes diários de nutrientes essenciais, de forma g"
7897714907014,Sustap Kids Morango Sachê 210g,SUSTAP,A Nossa Drogaria,12.89,12.89,0.0,"Sustap Kids é um Suplemento Alimentar, com 27 vitaminas e minerais, que ajuda crianças a terem os aportes diários de nutrientes essenciais, de forma g"
7898994979807,Extrato de Cannabis Sativa Promediol 200mg com 10ml,EXTRATO CANNABIS SATIVA,A Nossa Drogaria,422.39,522.1,19.09787397050374,"O canabidiol é uma substância ativa canabinoide, possuindo ação em receptores canabinóides do cérebro. Apesar de baixa afinidade pelos receptores a su"
7908134200620,Exelring com 1 Anel Vaginal,EXELRING,A Nossa Drogaria,82.99,112.32,26.11289173789174,Exelring™ é um anel vaginal anticoncepcional usado para evitar a gravidez. Cada anel contém uma pequena quantidade de dois hormônios sexuais femininos
7896112407119,Bhena 5mg com 90 Comprimidos,BHENA,A Nossa Drogaria,199.19,199.2,0.0050200803212829825,"BHENA é utilizado principalmente para o tratamento da pressão alta. BHENA pode também ser utilizado em outras condições (por exemplo, doenças dos rins"
7897714906345,Sustap Kids Baunilha Sachê 210g,SUSTAP,A Nossa Drogaria,12.89,12.89,0.0,"Sustap Kids é um Suplemento Alimentar, com 27 vitaminas e minerais, que ajuda crianças a terem os aportes diários de nutrientes essenciais, de forma g"
7891000788608,Nutren Mov Flex com 30 capsulas,NUTREN,A Nossa Drogaria,59.99,77.99,23.079882036158473,Nutren Mov Flex Colágeno Tipo 2 c/ 30 Cápsulas - O Nutren Vitaminas Mov Flex é o Suplemento Alimentar em cápsula da Nestlé com uma combinação de Colág
7891000773017,Nutren Vit D 2000UI com 60 Capsulas,NUTREN,A Nossa Drogaria,49.99,64.99,23.08047391906446,"Nutren Vitamina D 2000UI c/ 60 Cápsulas - O Nutren Vitamina D é o Suplemento Alimentar em cápsula da Nestlé que te ajuda com imunidade, fortalece os o"
7896714292533,Flavonid Creme 200 mg,FLAVONID,A Nossa Drogaria,60.99,69.18,11.838681699913279,
7891000223666,Nutren Omega 3 1000mg com 60 Capsulas,NUTREN,A Nossa Drogaria,58.99,76.69,23.079932194549478,Nutren Ômega 3 1000mg c/ 60 Cápsulas - O Nutren Vitaminas Ômega 3 é o Suplemento Alimentar em cápsula da Nestlé que reequilibra o funcionamento das cé
7896714293356,Hemovirtus 30g com 10 Aplicadores,NEO QUIMICA,A Nossa Drogaria,35.99,43.72,17.680695333943262,Hemovirtus é indicado como auxiliar no tratamento tópico para o alívio sintomático das hemorroidas e varizes.
7896221808128,Descolorante Ametista Marcia 20g,MARCIA,A Nossa Drogaria,4.99,6.49,23.112480739599384,
7897947601420,Lavitan 50+ Mulher com 60 Comprimidos,LAVITAN,A Nossa Drogaria,30.99,40.29,23.082650781831727,Lavitan 50+ Mulher é um suplemento alimentar em comprimidos revestidos desenvolvido para mulheres acima de 50 anos. Possui em sua composição as Vitami
7896094929074,Creme Prevenção de Assaduras Nebacetin Baby 120g,NEBACETIN,A Nossa Drogaria,57.49,57.49,0.0,"O Nebacetin baby regeneração é creme preventivo contra assaduras,ideal para peles sensíveis e delicadas,feito com ingredientes naturais,forma uma barr"
7896094929036,Creme Prevenção de Assaduras Nebacetin Baby 30g,NEBACETIN,A Nossa Drogaria,17.39,17.39,0.0,"O Nebacetin baby regeneração é creme preventivo contra assaduras,ideal para peles sensíveis e delicadas,feito com ingredientes naturais,forma uma barr"
7896094929098,Creme Prevenção de Assaduras Nebacetin Baby 60g,NEBACETIN,A Nossa Drogaria,32.79,32.79,0.0,"O Nebacetin baby regeneração é creme preventivo contra assaduras,ideal para peles sensíveis e delicadas,feito com ingredientes naturais,forma uma barr"
7896094929111,Creme Regeneração Nebacetin Baby 60g,NEBACETIN,A Nossa Drogaria,51.29,51.29,0.0,"O Nebacetin baby regeneração é creme preventivo contra assaduras,ideal para peles sensíveis e delicadas,feito com ingredientes naturais,forma uma barr"
7896112144151,Bepeben 1.200.000UI Suspensão Injetável 4ml,BEPEBEN,A Nossa Drogaria,15.99,19.01,15.8863755917938,O Bepeben 1.200.000UI Suspensão Injetável Teuto de 4ml é indicado para o tratamento de infecções ocasionadas por germes sensíveis à penicilina G. O me
4006000003726,Protetor Solar Facial Nivea Sun Fluido Spot Control Luminous 630 FPS60 40ml,NIVEA SUN,A Nossa Drogaria,64.99,88.26,26.3652843870383,"Com muito alta proteção solar, NIVEA SUN Protetor Solar Facial Fluido Spot Control Luminous 630® FPS 60 promove muito alta proteção contra os raios UV"
7896004770222,Clope Xarope 120ml,CLOPE,A Nossa Drogaria,25.99,38.85,33.101673101673114,Este medicamento é indicado para o tratamento sintomático de todas as formas de tosse seca sem causa definida e/ou sem produção de secreções (catarro)
7896213165680,Retoque de Raizes Aspa Castanho Escuro 60ml,ASPA,A Nossa Drogaria,27.99,36.39,23.083264633140978,"Maquiagem para os cabelos que permite o retoque instantâneo de raízes, disfarçando os cabelos brancos e possibilitando que as aplicações de colorações"
7500435178594,Aparelho de Barbear Gillette Corpo com 2 unidades,GILLETTE,A Nossa Drogaria,19.99,25.99,23.08580223162755,"O Aparelho de Barbear Gillette Corpo foi desenvolvido com fita lubrastrip com vitamina e aloe vera para um melhor deslizar, causando menos irritação e"
7500435178600,Aparelho de Barbear Gillette Corpo Leve 4 Pague 3,GILLETTE,A Nossa Drogaria,29.99,38.99,23.08284175429598,"O Aparelho de Barbear Gillette Corpo foi desenvolvido com fita lubrastrip com vitamina e aloe vera para um melhor deslizar, causando menos irritação e"
7896213165697,Retoque de Raizes Aspa Preto de 60ml,ASPA,A Nossa Drogaria,27.99,36.39,23.083264633140978,"Maquiagem para os cabelos que permite o retoque instantâneo de raízes, disfarçando os cabelos brancos e possibilitando que as aplicações de colorações"
