,Links
0,https://www.agillemed.com.br/medicamentos/heparinox-60mg-0-6ml-sol-inj-com-2-seringas-preenchidas
1,https://www.agillemed.com.br/medicamentos-especiais/letrozol-2-5-mg-com-30-comprimidos
2,https://www.agillemed.com.br/aciclovir-200mg-c30comp-nova-quimica
3,https://www.agillemed.com.br/artrogen-duo-laranja-com-abacaxi-30-saches-de-11g
4,https://www.agillemed.com.br/phebo-sabonete-90gr-amazonian
5,https://www.agillemed.com.br/saude-e-bem-estar/bepantol-baby-30g-leve-3-pague-2
6,https://www.agillemed.com.br/medicamentos-especiais/medicamentos-genericos-especiais/abmetha-abiraterona-250-mg-c-120-cp
7,https://www.agillemed.com.br/medicamentos-especiais/cermaz-anastrozol-1mg-c-30-comprimidos
8,https://www.agillemed.com.br/medicamentos-especiais/saude-da-mulher-anticoncepcionais/exelring-etonogestrel-0-120mg-etinilestradiol-0-015mg-1-sache-com-1-anel-vaginal
9,https://www.agillemed.com.br/genericos/medicamentos-especiais/antineoplasicos-tratamento-do-cancer-imunomoduladores/letrozol-2-5mg-c30-comp
10,https://www.agillemed.com.br/medicamentos/medicamentos-especiais/antineoplasicos-imunossupressores-imunomuduladores-tratamento-cancer/temodal-sachet-180mg-5-cap-sachet
11,https://www.agillemed.com.br/genericos/medicamentos-especiais/antineoplasicos-imunossupressores-imunomuduladores-tratamento-cancer/letrozol-25mg-c30-comp-rev
12,https://www.agillemed.com.br/leucogen-80mg-c-30caps
13,https://www.agillemed.com.br/acetato-de-abiraterona-250mg-fr-120-cpr
14,https://www.agillemed.com.br/leucogen-200mg-xpe-120ml
15,https://www.agillemed.com.br/mesilato-de-imatinibe-400mg-com-30-comprimidos
16,https://www.agillemed.com.br/prolia-60mg-1ml
17,https://www.agillemed.com.br/medicamentos-especiais/antineoplasicos-tratamento-do-cancer-e-imunomoduladores/verzenios-200mg-60-comprimidos
18,https://www.agillemed.com.br/cardioxane-500mg-po-solucao-injetavel-ampola
19,https://www.agillemed.com.br/ferinject-injet-solucao-injetavel-ampola-10ml
20,https://www.agillemed.com.br/navelbine-30mg-1-capsula
21,https://www.agillemed.com.br/navelbine-20mg-1-capsula
22,https://www.agillemed.com.br/tabrecta-200mg-120-comprimidos
23,https://www.agillemed.com.br/kesimpta-20mg-solucao-injetavel-caneta-preenchida-0-4ml
24,https://www.agillemed.com.br/cosentyx-75mg-solucao-injetavel-seringa-preenchida-0-5ml
25,https://www.agillemed.com.br/densis-5mg-solucao-injetavel-bolsa-sistema-fechado-100ml
26,https://www.agillemed.com.br/somatuline-autogel-120mg-solucao-injetavel-seringa-preenchida-0-5ml
27,https://www.agillemed.com.br/privymtra-20mgml-solucao-injetavel-ampola-12ml
28,https://www.agillemed.com.br/esmeron-10mgml-solucao-injetavel-10-ampolas-5ml
