,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
0,115231,Ivermectina 6mg Vitamedic 4 Comprimidos,Vitamedic,Drogal,32.9,32.9,0.0,Compre Ivermectina 6mg Vitamedic 4 Comprimidos com melhor preço e condição na farmácia online Drogal.
1,4430052,Tadalafila 5mg Eurofarma 30 Comprimidos Revestidos,Eurofarma - Generico,Drogal,347.61,347.61,0.0,Compre Tadalafila 5mg Eurofarma 30 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
2,9985059,Glifage XR 500mg 30 Comprimidos De Ação Prolongada,Glifage,Drogal,11.18,11.18,0.0,Compre Glifage XR 500mg 30 Comprimidos De Ação Prolongada com melhor preço e condição na farmácia online Drogal.
3,2190788,"Neosoro Adulto 0,5mg/ml Solução Nasal Gotas 30ml",Neosoro,Drogal,11.55,11.55,0.0,"Compre Neosoro Adulto 0,5mg/ml Solução Nasal Gotas 30ml com melhor preço e condição na farmácia online Drogal."
4,10137,Rosuvastatina Cálcica 20mg Torrent 30 Comprimidos Revestidos,Torrent,Drogal,100.23,100.23,0.0,Compre Rosuvastatina Cálcica 20mg Torrent 30 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
5,9981422,Fluconazol 150mg Cimed 2 Cápsulas Duras,Cimed - Generico,Drogal,20.03,20.03,0.0,Compre Fluconazol 150mg Cimed 2 Cápsulas Duras com melhor preço e condição na farmácia online Drogal.
6,12573,Tadalafila 20mg Eurofarma 4 Comprimidos Revestidos,Eurofarma - Generico,Drogal,185.37,185.37,0.0,Compre Tadalafila 20mg Eurofarma 4 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
7,930490,Aradois 50mg 30 Comprimidos Revestidos,Aradois,Drogal,56.17,56.17,0.0,Compre Aradois 50mg 30 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
8,10136,Rosuvastatina Cálcica 10mg Torrent 30 Comprimidos Revestidos,Torrent,Drogal,57.23,57.23,0.0,Compre Rosuvastatina Cálcica 10mg Torrent 30 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
9,9992973,Rivaroxabana 20mg Eurofarma 30 Comprimidos Revestidos,Eurofarma,Drogal,220.65,220.65,0.0,Compre Rivaroxabana 20mg Eurofarma 30 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
10,673200,Pantoprazol Sódico Sesqui-Hidratado 40mg Medley 28 Comprimidos Revestidos,Medley - Generico,Drogal,41.31,41.31,0.0,Compre Pantoprazol Sódico Sesqui-Hidratado 40mg Medley 28 Comprimidos Revestidos com melhor preço e condição na farmácia online Drogal.
11,10324,Nimesulida 100mg Cimed 12 Comprimidos,Cimed,Drogal,21.67,21.67,0.0,Compre Nimesulida 100mg Cimed 12 Comprimidos com melhor preço e condição na farmácia online Drogal.
