,Links
0,https://www.drogal.com.br/neosoro-adulto-05mgml-solucao-nasal-gotas-30ml/p
1,https://www.drogal.com.br/pantoprazol-sodico-sesqui-hidratado-40mg-medley-28-comprimidos-revestidos/p
2,https://www.drogal.com.br/ivermectina-6mg-vitamedic-4-comprimidos/p
3,https://www.drogal.com.br/glifage-xr-500mg-30-comprimidos-de-acao-prolongada/p
4,https://www.drogal.com.br/rosuvastatina-calcica-10mg-torrent-30-comprimidos-revestidos/p
5,https://www.drogal.com.br/tadalafila-5mg-eurofarma-30-comprimidos-revestidos/p
6,https://www.drogal.com.br/tadalafila-20mg-eurofarma-4-comprimidos-revestidos/p
7,https://www.drogal.com.br/rivaroxabana-20mg-eurofarma-30-comprimidos-revestidos/p
8,https://www.drogal.com.br/nimesulida-100mg-cimed-12-comprimidos/p
9,https://www.drogal.com.br/aradois-50mg-30-comprimidos-revestidos/p
10,https://www.drogal.com.br/rosuvastatina-calcica-20mg-torrent-30-comprimidos-revestidos/p
11,https://www.drogal.com.br/fluconazol-150mg-cimed-2-capsulas-duras/p
12,https://www.drogal.com.br/loratamed-10mg-12-comprimidos/p
13,https://www.drogal.com.br/pantoprazol-20mg-medley-28-comprimidos/p
14,https://www.drogal.com.br/losartana-potassica-50mg-30-comprimidos-neo-quimica/p
15,https://www.drogal.com.br/citrato-de-sildenafila-50mg-neo-quimica-4-comprimidos/p
16,https://www.drogal.com.br/CloridratodeLidocainaCristalia20mgggelbisnagacom30gmaisaplicador/p
17,https://www.drogal.com.br/atensina-0100mg-30-comprimidos/p
18,https://www.drogal.com.br/narix-adulto-30ml/p
19,https://www.drogal.com.br/finasterida-1mg-30-cpr-g-ems/p
20,https://www.drogal.com.br/nimesulida-100mg-12-comprimidos-eurofarma/p
21,https://www.drogal.com.br/losartana-potassica-50mg-eurofarma-30-comprimidos/p
22,https://www.drogal.com.br/sildenafila-50mg-4-comprimidos-eurofarma/p
23,https://www.drogal.com.br/omomeprazol-20mg-56-capsulas-duras-teuto/p
24,https://www.drogal.com.br/hidroclorotiazida-25mg-medley-30-comprimidos/p
25,https://www.drogal.com.br/qlaira-28-comprimidos-revestidos/p
26,https://www.drogal.com.br/aciclovir-200mg-cimed-30-comprimidos/p
27,https://www.drogal.com.br/atensina-0150mg-30-comprimidos/p
28,https://www.drogal.com.br/torsilax-30-comprimidos/p
29,https://www.drogal.com.br/citoneurin-5000mcg-solucao-injetavel-3-ampolas/p
30,https://www.drogal.com.br/atenolol-25mg-30-cpr-g-sand/p
31,https://www.drogal.com.br/rosuvastatina-calcica-20mg-althaia-30-comprimidos/p
32,https://www.drogal.com.br/maleato-de-dexclorfeniramina-betametasona-04mgml-005mgml-cimed-frasco-120ml-de-xarope-copo-medidor/p
33,https://www.drogal.com.br/besilato-de-anlodipino-5mg-vitamedic-30-comprimidos/p
34,https://www.drogal.com.br/alopurinol-100mg-medley-30-comprimidos/p
35,https://www.drogal.com.br/cetoconazol-20mgml-cimed-shampoo-anticaspa-100ml/p
36,https://www.drogal.com.br/Ciclo21015mais003mgcaixacom21comprimidos/p
37,https://www.drogal.com.br/RosuvastatinaCalcica10mg30ComprimidosAlthaia/p
38,https://www.drogal.com.br/fluconazol-150mg-vitamedic-2-capsulas-duras/p
39,https://www.drogal.com.br/finasterida-1mg-uniao-quimica-30-comprimidos/p
40,https://www.drogal.com.br/atorvastatina-calcica-20mg-30-comprimidos-revestidos-ems/p
41,https://www.drogal.com.br/ciprofibrato-100mg-30-comprimidos-biolab/p
42,https://www.drogal.com.br/losartana-potassica-50mg-biosintetica-30-comprimidos-revestidos/p
43,https://www.drogal.com.br/Omeprazol56capsulas20mg/p
44,https://www.drogal.com.br/forxiga-10mg-30-comprimidos-revestidos/p
45,https://www.drogal.com.br/Muvinlax-20-saches-com-14g/p
46,https://www.drogal.com.br/acido-acetil-100mg-10cprgems/p
47,https://www.drogal.com.br/slow-k-600mg-20-drageas/p
48,https://www.drogal.com.br/acetato-de-dexametasona-1mgg-ems-creme-dermatologico-10g/p
49,https://www.drogal.com.br/cetoprofeno-150mg-medley-10-comprimidos/p
50,https://www.drogal.com.br/nimesulida-100mg-globo-12-comprimidos/p
51,https://www.drogal.com.br/BromopridaMedley10mgcaixacom20capsulas/p
52,https://www.drogal.com.br/Avamys275mcgspraynasalcom120doses/p
53,https://www.drogal.com.br/TadalafilaMedley5mg30comprimidosrevestidos/p
54,https://www.drogal.com.br/decongex-plus-xarope-120ml/p
55,https://www.drogal.com.br/atorvastatina-calcica-40mg-com-30-comprimidos-revestidos-ems/p
56,https://www.drogal.com.br/Colact-Sabor-Ameixa-120ml/p
57,https://www.drogal.com.br/rosuvastatina-calcica-20mg-cimed-30-comprimidos/p
58,https://www.drogal.com.br/sinvastatina-20mg-ems-30-comprimidos/p
59,https://www.drogal.com.br/stilgrip-granulado-1-sache/p
60,https://www.drogal.com.br/nevralgex-30-comprimidos/p
61,https://www.drogal.com.br/rivaroxabana-20-mg-ems-30-comprimidos/p
62,https://www.drogal.com.br/aciclovir-creme-50mg-cimed-10mg/p
63,https://www.drogal.com.br/aerolin-spray-200-ds/p
64,https://www.drogal.com.br/atorvastatina-10mg-30cp-gems/p
65,https://www.drogal.com.br/mesilato-doxazosina-2mg-30-comprimidos-eurofarma/p
66,https://www.drogal.com.br/sinvastatina-20mg-30cpr-gsan/p
67,https://www.drogal.com.br/TadalafilaMedley20mg4comprimidosrevestidos/p
68,https://www.drogal.com.br/aspirina-prevent-100mg-30-comprimidos-revestidos/p
69,https://www.drogal.com.br/bissulfato-de-clopidogrel-75mg-biolab-30-comprimidos-revestidos/p
70,https://www.drogal.com.br/espironolact-50mg-30cpg-ems/p
71,https://www.drogal.com.br/hidroclorotiazida-25mg-neo-quimica-30-comprimidos/p
72,https://www.drogal.com.br/domperidona-10mg-60-comprimidos-ems/p
73,https://www.drogal.com.br/Qtern-5-10mg-com-30-Comprimidos/p
74,https://www.drogal.com.br/ibupril-400mg-10-capsulas-gelatinosas-moles/p
75,https://www.drogal.com.br/FluconazolMedley150mgcaixacom2capsulas/p
76,https://www.drogal.com.br/cloridrato-de-metformina-850mg-30-comprimidos-revestidos-prati-donaduzzi/p
77,https://www.drogal.com.br/DesloratadinaBiosintetica05mgmlxarope100mlseringadosadora/p
78,https://www.drogal.com.br/solucao-capilar-pant-50mgml-refil-50ml/p
79,https://www.drogal.com.br/albendazol-400mg-5cpr-g-prat/p
80,https://www.drogal.com.br/puran-t4-50mcg-30-comprimidos/p
81,https://www.drogal.com.br/espironolactona-25mg-30-comprimidos-eurofarma/p
82,https://www.drogal.com.br/ammy-4mg-28-comprimidos-revestidos/p
83,https://www.drogal.com.br/enxak-12-cpr-cazi/p
84,https://www.drogal.com.br/betaistina-24mg-30-comprimidos-eurofarma/p
85,https://www.drogal.com.br/olmesartana-medoxomila-20mg-com-30-comprimidos-eurofarma/p
86,https://www.drogal.com.br/maleato-de-enalapril-20mg-cimed-30-comprimidos/p
87,https://www.drogal.com.br/albendazol-400mg-medley-1-comprimido-mastigavel/p
88,https://www.drogal.com.br/gel-azelan-150mgg-30g/p
89,https://www.drogal.com.br/cetoprofeno-150mg-10-comprimidos-ems/p
90,https://www.drogal.com.br/domperidona-10mg-30-comprimidos-ems/p
91,https://www.drogal.com.br/cloridrato-fexofenadina-180mg-cimed-10-comprimidos-revestidos/p
92,https://www.drogal.com.br/dozemast-1000mcg-90-comprimidos-sublinguais/p
93,https://www.drogal.com.br/diclofenaco-pot-50mg20cpgmdl/p
94,https://www.drogal.com.br/slinda-4mg-28-comprimidos-revestidos/p
95,https://www.drogal.com.br/aerolin-sol-10ml/p
96,https://www.drogal.com.br/espironolact-50mg-eurofarma-30-comprimidos/p
97,https://www.drogal.com.br/pitavastatina-calcica-2mg-30-comprimidos-revestidos-eurofarma/p
98,https://www.drogal.com.br/cimelide-100mg-12-comprimidos/p
99,https://www.drogal.com.br/besilato-anlodip-5mg30cgmed/p
100,https://www.drogal.com.br/dramin-b6-30-comprimidos-revestidos/p
101,https://www.drogal.com.br/aas-protect-30cpr/p
102,https://www.drogal.com.br/budesonida-suspensao-spray-32mcg-120-acionamentos-ems/p
103,https://www.drogal.com.br/puran-t4-75mcg-30-comprimidos/p
104,https://www.drogal.com.br/XigDuoXR5mais1000mgcom60comprimidosrevestidos/p
105,https://www.drogal.com.br/dozemast-1000mcg-30-comprimidos-sublinguais/p
106,https://www.drogal.com.br/FurosemidaTeuto40mgcaixacom20comprimidos/p
107,https://www.drogal.com.br/cloridrato-de-naratriptana-25mg-10-comprimidos-revestidos-nova-quimica/p
108,https://www.drogal.com.br/cobavital-30-microcomprimidos/p
109,https://www.drogal.com.br/pantoprazol-sodico-sesqui-hidratado-40mg-cimed-28-comprimidos-revestidos-de-liberacao-prolongada/p
110,https://www.drogal.com.br/Maleato-de-Enalapril-10mg-30-Comprimidos-EMS/p
111,https://www.drogal.com.br/puran-t4-625mcg-30-comprimidos/p
112,https://www.drogal.com.br/decongex-plus-12-comprimidos-revestidos-de-liberacao-programada/p
113,https://www.drogal.com.br/pantoprazol-sodico-sesqui-hidratado-40mg-eurofarma-28-comprimidos-revestidos-de-liberacao-retardada/p
114,https://www.drogal.com.br/levotiroxina-sodica-50mcg-merck-30-comprimidos/p
115,https://www.drogal.com.br/Folifolin5mgcaixacom30comprimidos/p
116,https://www.drogal.com.br/rosuvastatina-calcica-10mg-novartis-30-comprimidos/p
117,https://www.drogal.com.br/venaflon-45050mg-60-cpr/p
118,https://www.drogal.com.br/ezetimiba-10mg-althaia-10mg-30-comprimidos-revestidos/p
119,https://www.drogal.com.br/cetoconazol-20mgg-ems-creme-30g/p
120,https://www.drogal.com.br/esomeprazol-magnesico-40mg-ems-28-comprimidos-revestidos/p
121,https://www.drogal.com.br/pantoprazol-40mg-biosintetica-28-comprimidos-revestidos/p
122,https://www.drogal.com.br/besilato-de-anlodipino-5mg-cimed-30-comprimidos/p
123,https://www.drogal.com.br/XigDuoXR10mais1000mgcom30comprimidosrevestidos/p
124,https://www.drogal.com.br/Trezete-20-10mg-30-Comprimidos-Revestidos/p
125,https://www.drogal.com.br/torsilax-12-comprimidos/p
126,https://www.drogal.com.br/puran-t4-100mcg-30-comprimidos/p
127,https://www.drogal.com.br/drospirenona-etinilestradiol-3mg003mg-21-comprimidos-revestidos-ems/p
128,https://www.drogal.com.br/tibolona-25mg-30-comprimidos-ems/p
129,https://www.drogal.com.br/atorvastatina-calcica-40mg-eurofarma-30-comprimidos/p
130,https://www.drogal.com.br/cefaliv-12-comprimidos/p
131,https://www.drogal.com.br/ivermectina-germed-6mg-4-comprimidos/p
132,https://www.drogal.com.br/supositorio-de-glicerina-granado-caixa-com-12-supositorios-uso-adulto/p
133,https://www.drogal.com.br/Imosec2mgcaixacom12comprimidos/p
134,https://www.drogal.com.br/cloridrato-de-loperamida-2mg-12-comprimidos-laboratorio-globo/p
135,https://www.drogal.com.br/implanon-nxt-68mg-implante-contraceptivo-1-aplicador-contendo-1-implante-de-uso-subdermico/p
136,https://www.drogal.com.br/corus-50mg-30-comprimidos-revestidos/p
137,https://www.drogal.com.br/cloridrato-de-propranolol-40mg-neo-quimica-30-comprimidos/p
138,https://www.drogal.com.br/Trezete-10-10mg-30-Comprimidos-Revestidos/p
139,https://www.drogal.com.br/acido-acetil-100mg-30cpgems/p
140,https://www.drogal.com.br/clor-nebivolol-5mg-30c-gtorr/p
141,https://www.drogal.com.br/atorvastatina-20mg-30-comprimidos-eurofarma/p
142,https://www.drogal.com.br/ParacetamolmaisCloridratodePseudoefedrinaEMS500mais30mgcaixacom24comprimidosrevestidos/p
143,https://www.drogal.com.br/ciprofibrato-100mg-eurofarma-30-comprimidos/p
144,https://www.drogal.com.br/piascledine-300mg-90-capsulas-gelatinosas-duras/p
145,https://www.drogal.com.br/levotiroxina-sodica-75mcg-merck-30-comprimidos/p
146,https://www.drogal.com.br/rosuvastatina-calcica-5mg-30-comprimidos-althaia/p
147,https://www.drogal.com.br/puran-t4-25mcg-30-comprimidos/p
148,https://www.drogal.com.br/olmesartana-medoxomila-hidroclorotiazida-20mg-125mg-30-comprimidos-revestidos-eurofarma/p
149,https://www.drogal.com.br/sonasal-nebulizador-nasal-30ml/p
150,https://www.drogal.com.br/Simbioflora15sachescom6g/p
151,https://www.drogal.com.br/busonid-50mcg-suspensao-aquosa-nasal-6ml-120-doses/p
152,https://www.drogal.com.br/vitamina-d3-50000-ui-neo-quimica-4-capsulas-moles/p
153,https://www.drogal.com.br/naproxeno-sodico-550mg-neo-quimica-10-comprimidos/p
154,https://www.drogal.com.br/rybelsus-3mg-30-comprimidos/p
155,https://www.drogal.com.br/ParacetamolEMS200mgfrascogotejadorcom15ml/p
156,https://www.drogal.com.br/diad-15mg-1-comprimido/p
157,https://www.drogal.com.br/cetoconazol-dipropionato-de-betametasona-sulfato-de-neomicina-20mgg-064mgg-25mgg-bisnaga-creme-30g-eurofarma/p
158,https://www.drogal.com.br/Cicloprimogyna2mgmais025mgcaixacom21drageas/p
159,https://www.drogal.com.br/montelucaste-de-sodio-4mg-biosintetica-30-comprimidos-mastigaveis/p
160,https://www.drogal.com.br/puran-t4-375mcg-30-comprimidos/p
161,https://www.drogal.com.br/furoato-de-mometasona-50mcg-1-frasco-com-120-doses-de-suspensao-nasal-glenmark/p
162,https://www.drogal.com.br/besilato-de-anlodipino-10mg-cimed-30-comprimidos/p
163,https://www.drogal.com.br/cerazette-75mcg-84-comprimidos/p
164,https://www.drogal.com.br/MaleatoDexclorfeniraminaBetametasona04005mg120mlG/p
165,https://www.drogal.com.br/olmesartana-medoxomila-hidroclorotiazida-40mg-125mg-30-comprimidos-revestidos-eurofarma/p
166,https://www.drogal.com.br/succinato-de-metoprolol-50mg-30-comprimidos-revestidos-de-liberacao-prolongada-accord-farma/p
167,https://www.drogal.com.br/cloridrato-de-oximetazolina-05mgml-30ml-ems/p
168,https://www.drogal.com.br/aciclovir-400mg-merck-30-comprimidos/p
169,https://www.drogal.com.br/desloratadina-05mgml-medley-xarope-frasco-60ml/p
170,https://www.drogal.com.br/hemofiss-pomada-30g/p
171,https://www.drogal.com.br/domperidona-10mg-60-comprimidos-eurofarma/p
172,https://www.drogal.com.br/cloridrato-de-fexofenadina-120mg-cimed-10-comprimidos-revestidos/p
173,https://www.drogal.com.br/seki-xpe-120ml/p
174,https://www.drogal.com.br/olmesartana-medoxomila-40mg-torrent-30-comprimidos/p
175,https://www.drogal.com.br/nootropil-800mg-30-cpr/p
176,https://www.drogal.com.br/tylenol-sinus-24-comprimidos-revestidos/p
177,https://www.drogal.com.br/esomeprazol-magnesico-ranbaxy-20mg-28-comprimidos/p
178,https://www.drogal.com.br/Nesina25mgcom30comprimidosrevestidos/p
179,https://www.drogal.com.br/puran-t4-88mcg-30-comprimidos/p
180,https://www.drogal.com.br/levotiroxina-sodica-100mcg-merck-30-comprimidos/p
181,https://www.drogal.com.br/indapamida-15mg-30-comprimidos-revestidos-ems/p
182,https://www.drogal.com.br/cloridrato-de-nebivolol-5mg-30-comprimidos-biolab/p
183,https://www.drogal.com.br/FurosemidaNeoQuimica40mgcaixa30comprimidos/p
184,https://www.drogal.com.br/oestrogel-06mgg-gel-80g-valvula-dosadora/p
185,https://www.drogal.com.br/maleato-enalap-10mg-30cgcime/p
186,https://www.drogal.com.br/OrlistateNeoQuimica120mgcaixacom42capsulas/p
187,https://www.drogal.com.br/infralax-c-15-cpr/p
188,https://www.drogal.com.br/Nitazoxanida500mg6comprimidosrevestidosAlthaia/p
189,https://www.drogal.com.br/dexametasona-4mg-com-10-comprimidos-ems/p
190,https://www.drogal.com.br/doxazosina-4mg-30-comprimidos-eurofarma/p
191,https://www.drogal.com.br/cloridrato-de-metformina-500mg-30-comprimidos-de-liberacao-prolongada-prati-donaduzzi/p
192,https://www.drogal.com.br/xifaxan-550mg-28-comprimidos-revestidos/p
193,https://www.drogal.com.br/cloridrato-de-metformina-500mg-30-comprimidos-revestidos-prati-donaduzzi/p
194,https://www.drogal.com.br/trombofob-gel-40g/p
195,https://www.drogal.com.br/elani-28-3mg003mg-84-comprimidos-revestidos/p
196,https://www.drogal.com.br/DrospirenonamaisEtinilestradiolEMS3mais002mgcom24comprimidosrevestidos/p
197,https://www.drogal.com.br/tadalafila-20mg-cimed-4-comprimidos/p
198,https://www.drogal.com.br/alginac-1000mcg-15-comprimidos-revestidos/p
199,https://www.drogal.com.br/sumaxpro-50mg-500mg-2-comprimidos-revestidos/p
200,https://www.drogal.com.br/decongex-plus-solucao-gotas-20ml/p
201,https://www.drogal.com.br/indapamida-15mg-30-comprimidos-eurofarma/p
202,https://www.drogal.com.br/Neutrofer500mgfrascocom30comprimidos/p
203,https://www.drogal.com.br/pantoprazol-sodico-sesqui-hidratado-20mg-biosintetica-28-comprimidos-revestidos/p
204,https://www.drogal.com.br/acebrofilina-50mg5ml-cimed-xarope-solucao-oral-120ml/p
205,https://www.drogal.com.br/CiclopiroxOlaminaMedley10mgsolucaotopicafrascogotejadorcom15ml/p
206,https://www.drogal.com.br/prednisona-5mg-20-cpr-g-ems/p
207,https://www.drogal.com.br/dexfer-400mg-30-comprimidos-revestidos/p
208,https://www.drogal.com.br/infralax-30-cpr/p
209,https://www.drogal.com.br/dipropionato-de-betametasona-5mgml-fosfoto-dissodico-de-betametasona-2mgml-uniao-quimica-suspensao-injetavel-1-ampola-1ml-seringa-agulha/p
210,https://www.drogal.com.br/neutrofer-300mg-30-cpr/p
211,https://www.drogal.com.br/alopurinol-300mg-medley-30-comprimidos/p
212,https://www.drogal.com.br/dextamine-xarope-sabor-cereja-120ml-copo-dosador/p
213,https://www.drogal.com.br/cloridrato-de-propranolol-10mg-medley-30-comprimidos/p
214,https://www.drogal.com.br/alivium-gotas-20ml-100mgml/p
215,https://www.drogal.com.br/esomeprazol-magnesico-20mg-28-comprimidos-revestidos-ems/p
216,https://www.drogal.com.br/neo-folico-5mg-20-cpr/p
