Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
TADALAFILA GN 5MG EMS 30 COMPRIMIDOS,cod. do produto: 48872,"R$ 11,84","R$ 88,23",87%,mg Tadalafila 5 mg é indicado para o tratamento da disfunção erétil (DE). Tadalafila 5 mg é indicado para o tratamento dos sinais e sintomas da hiperplasia prostática benigna (HPB) em homens adultos incluindo aqueles com disfunção erétil. 20mg Tadalafila 20 mg é indicado para o tratamento da disfunção erétil.,EMS Genéricos
BEPANTRIZ POMADA PARA PREVENÇÃO DE ASSADURAS 30G,cod. do produto: 42112,"R$ 6,89","R$ 17,42",60%,"BEPANTRIZ POMADA PARA PREVENÇÃO DE ASSADURAS 30G em promoção parcelado sem juros é no Drogão Super!
A Pomada Bepantriz é ideal para o tratamento e prevenção da assadura e fissura leve.
Fácil de aplicar e estimula a cicatrização.
Pomada para Prevenção de Assaduras é no Drogão Super!",
ANTISSÉPTICO KURAMED 50ML,cod. do produto: 42108,"R$ 10,86","R$ 23,00",53%,Kuramed Sept é uma solução tópica com função antisséptica e anestésica. Pode ser utilizado para ferimentos e cortes superficiais.,
DIPIRONA SÓDICA 500MG  MEDLEY COM 30 COMPRIMIDOS,cod. do produto: 15750,"R$ 10,22","R$ 29,68",66%,Este medicamento é indicado como analgésico e antitérmico.,
TADALAFILA GN 5MG 30CPR ME,cod. do produto: 45819,"R$ 21,85","R$ 89,72",76%,A tadalafila 5 mg é indicada para o tratamento da disfunção erétil (DE). A tadalafila 5 mg é indicada para o tratamento dos sinais e sintomas da hiperplasia prostática benigna (HPB) em homens adultos incluindo aqueles com disfunção erétil.,
DORALGINA 20 DRÁGEAS,cod. do produto: 42014,"R$ 10,39","R$ 28,50",64%,"DORALGINA 20 DRÁGEAS em promoção parcelado sem juros é no Drogão Super!
Doralgina é um medicamento com atividade analgésica (diminui a dor) e antiespasmódica (diminui contração involuntária) indicado para o tratamento de diversos tipos de dor de cabeça, incluindo enxaquecas ou para o tratamento de cólicas.",Neo Química
EXIMIA PROBIAC 60 COMPRIMIDOS,cod. do produto: 51437,"R$ 90,89","R$ 114,20",20%,Eximia Probiapic é o primeiro nutracêutico desenvolvido com a intenção de auxiliar no tratamento contra a acne. O suplemento oferece o melhor das vitaminas e minerais junto com a ação de probióticos que mantêm a pele saudável e bonita.,
ACICLOVIR 200MG SANDOZ COM 25 COMPRIMIDOS,cod. do produto: 36124,"R$ 22,07","R$ 141,34",84%,"ACICLOVIR 200MG 25 COMPRIMIDOS em promoção parcelado sem juros é no Drogão Super!
Este medicamento é indicado para: O tratamento de infecções causadas pelo vírus Herpes simplex em recém-nascidos, crianças e adultos; O tratamento de infecções causadas pelo vírus Varicella zoster; O tratamento de meningoencefalite (infecção com inflamação do sistema nervoso central) herpética; A prevenção de infecções causadas por Herpes simplex em pacientes imunocomprometidos; A prevenção de infecções causadas pelo citomegalovírus (CMV) em pacientes que receberam transplante de medula óssea.",Sandoz Generico
POMADA PARA PREVENÇÃO DE ASSADURAS BABYMED MENINO COM 45G,cod. do produto: 42692,"R$ 6,11","R$ 10,90",44%,"Babymed Menino é uma pomada indicada para proteger a pele dos bacterianos contra irritações cutâneas, principalmente contra assaduras. Ela forma uma camada protetora que previne, hidrata e protege a pele sensível do bebê, sendo muito fácil de usar, tolerante e de remover.",
BISOPROLOL 5MG EMS 30 COMPRIMIDOS,cod. do produto: 40054,"R$ 35,25","R$ 103,45",66%,"BISOPROLOL 5MG 30 COMPRIMIDOS em promoção parcelado sem juros é no Drogão Super!
Hipertensão arterial (pressão alta), cardiopatias coronarianas (angina de peito).
Insuficiência cardíaca congestiva crônica, em associação com inibidores da ECA, diuréticos e glicosídeos cardíacos, se necessário.",EMS Genéricos
DOMPERIDONA 10MG 60 COMPRIMIDOS EUROFARMA,cod. do produto: 49658,"R$ 11,70","R$ 38,71",70%,"Este medicamento é destinado ao tratamento de: Síndromes dispépticas frequentemente associadas a um retardo de esvaziamento gástrico, refluxo gastroesofágico e esofagite; Sensação de empachamento epigástrico, saciedade precoce, distensão abdominal, dor abdominal alta; Eructação, flatulência; Náuseas e vômitos; Azia, queimação epigástrica com ou sem regurgitação de conteúdo gástrico; Náuseas e vômitos de origem funcional, orgânica, infecciosa ou alimentar ou induzidas por radioterapia ou tratamento medicamentoso (anti-inflamatórios, antineoplásicos).Uma indicação específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.",
BISOPROLOL 10MG 30 COMPRIMIDOS REVESTIDOS -  EMS,cod. do produto: 40055,"R$ 41,17","R$ 117,92",65%,"BISOPROLOL 10MG 30 COMPRIMIDOS REVESTIDOS em promoção parcelado sem juros é no Drogão Super!
Hipertensão arterial (pressão alta), cardiopatias coronarianas (angina de peito).
Insuficiência cardíaca congestiva crônica, em associação com inibidores da ECA, diuréticos e glicosídeos cardíacos, se necessário.",
REGENESIS PREMIUM GESTANTES COM 60 CÁPSULAS,cod. do produto: 54569,"R$ 114,62","R$ 139,20",18%,"Regenesis Premium é um suplemento alimentar em cápsulas voltado para gestantes. É rico em Metilfolato (a forma ativa do ácido fólico), que auxilia na formação do tubo neural do feto durante a gravidez, contribuindo para o desenvolvimento saudável do organismo do futuro bebê. Também contém selênio, um antioxidante que auxilia na proteção dos danos causados pelos radicais livres.",
PARACETAMOL 750MG MEDLEY 20 COMPRIMIDOS,cod. do produto: 14528,"R$ 10,18","R$ 28,53",64%,"Este medicamento é indicado em adultos para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como: dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais.",
"DESLORATADINA 0,5MG/ML XAROPE  MEDLEY 60ML",cod. do produto: 42154,"R$ 16,87","R$ 42,51",60%,"A desloratadina é indicada para o alívio dos sintomas associados à rinite alérgica, como: coriza (corrimento nasal), espirros e prurido nasal (coceira no nariz), ardor e prurido ocular (coceira nos olhos), lacrimejamento, prurido do palato (coceira no céu da boca) e tosse. Os sinais e sintomas oculares e nasais são rapidamente aliviados após a administração oral do produto. Este xarope é também indicado para o alívio dos sinais e sintomas de urticária e outras alergias da pele.",
BROMOPRIDA 10MG EMS 20 CÁPSULAS,cod. do produto: 38543,"R$ 10,82","R$ 27,32",60%,"BROMOPRIDA 10MG 20 CÁPSULAS em promoção parcelado sem juros é no Drogão Super!
Principais: distúrbios digestivos psicossomáticos da senectude e da estafa mental.
Discinesias gastroduodenais e biliares.
Colopatias espasmódicas.
Enxaquecas e mal-estar de origem celíaca.
Naúseas.
Vômitos.
Anorexia.
Particulares: exames radiológicos do tubo digestivo.
Preparação de explorações endoscópicas.
Vômitos anestésicos.
Soluços.
Meteorismo abdominal pós-operatório.
Manifestações digestivas após a aplicação de radioterapia.",EMS Genéricos
VERRUX 10ML SOLUÇÃO,cod. do produto: 13440,"R$ 70,94","R$ 76,00",7%,"Agente queratolítico indicado para remoção de verrugas planas, comuns e plantares, calosidades e molusco contagioso.",
BEPANTOL DERMA RESTAURADOR HIDRATANTE CORPORAL 400ML,cod. do produto: 54646,"R$ 75,51","R$ 107,10",29%,Hidrate sua pele com o novo Bepantol Derma Hidratante Restaurador Diário. Possui textura leve e não oleosa. Especialmente formulado para pele seca e sensível.,
"INDAPAMIDA 1,5MG 30 COMPRIMIDOS DE LIBERAÇÃO PROLONGADA  - EMS",cod. do produto: 45692,"R$ 11,12","R$ 35,29",68%,"INDAPAMIDA 1,5MG 30 COMPRIMIDOS DE LIBERAÇÃO PROLONGADA em promoção parcelado sem juros é no Drogão Super!
Indapamida é indicado no tratamento da hipertensão arterial essencial.",
OPTIVE 10ML COLÍRIO,cod. do produto: 32481,"R$ 47,78","R$ 63,70",25%,"Este medicamento é uma formulação de dupla ação: lubrificante e hidratante da superfície ocular, proporcionando alívio da ardência, irritação, secura ocular, sensação de areia e corpo estranho que podem ser causados por poeira, fumaça, sol, vento, ar seco, ar condicionado.
Optive age também como protetor contra as irritações oculares.
Optive é no Drogão Super!",
CLORIDRATO DE TERBINAFINA EMS 10MG 20G,cod. do produto: 14416,"R$ 16,65","R$ 34,04",51%,"Onicomicose (infecção fúngica da unha). Tinea capitis.
Infecções fúngicas da pele para o tratamento de tinea corporis, tinea cruris, tinea pedis.
Infecções cutâneas causadas por leveduras do gênero Candida (por exemplo, Candida albicans).
È indicado no tratamento de candidíase cutânea, Onicomicose (micose de unha), Tinea Pedis (Pé-de-atléta) e Tinea corporis.",
SUSTAGEN MORANGO LATA 400G,cod. do produto: 38765,"R$ 58,73","R$ 62,90",7%,"Leite desnatado, sacarose, sólidos de xarope de milho, leite integral, fosfato de magnésio, ascorbasto de sódio, sulfato ferroso, sulfato de zinco, niacinamida, inositol, iodeto de potássio, acetato de dl-alfa tocoferol, sulfato de manganês, sulfato cúprico, acetato de vitamina a, fitomenadiona, pantotenato de cálcio, cloridrato de piridoxina, cloridrato de tiamina, cianocobalamina (vitamina b12), riboflavina, ácido fólico e biotina.
Contém aroma natural reforçado de morango, estabilizante carragena e corantes artificiais eritrosina laca de alumínio e eritrosina.",Mead Johnson
"GUACO XAROPE EXPECTORANTE HERBARIUM 0,5ML/5ML 120ML",cod. do produto: 38206,"R$ 17,06","R$ 46,16",63%,"Xarope de Guaco Herbarium é indicado como auxiliar no tratamento de afecções do trato respiratório, como tosses persistentes e tosses com expectoração.",
"CALOTRAT 0,2G/ML + 0,15ML 5ML",cod. do produto: 1005587,"R$ 11,06","R$ 21,10",48%,"Calotrat é indicado para alívio da dor e para a eliminação de calos, calosidades e verrugas.",Kley Hertz
GEL DE LIMPEZA FACIAL BEPANTOL DERMA 200ML,cod. do produto: 54644,"R$ 41,23","R$ 58,00",29%,"Bepantol Derma Limpeza Delicada possui fórmula livre de sabão, especialmente formulado para limpar delicadamente até as peles mais secas.",
"CAVERDILOL 12,5MG EMS COM 30 COMPRIMIDOS",cod. do produto: 43989,"R$ 9,72","R$ 59,71",84%,"Carvedilol (substância ativa) é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hipertensivos, especialmente diuréticos tiazídicos.",
BISSULFATO DE CLOPIDOGREL 75MG SD,cod. do produto: 50896,"R$ 39,97","R$ 180,78",78%,"O bissulfato de clopidogrel é indicado para a prevenção secundária (após a ocorrência) dos eventos aterotrombóticos, como por exemplo, infarto agudo do miocárdio (IM) (infarto do coração), acidente vascular cerebral (AVC) (derrame) e morte vascular em pacientes adultos que apresentaram IM ou AVC recente ou uma condição conhecida como doença arterial periférica (doença nos vasos sanguíneos dos membros).
Síndrome Coronária Aguda: nos pacientes com Síndrome Coronária Aguda (SCA) [angina instável (tipo severo de dor no peito) ou IM], incluindo tanto aqueles controlados clinicamente, quanto os submetidos à Intervenção Coronária Percutânea com ou sem colocação de stent (prótese nas artérias do coração).
Fibrilação Atrial
O bissulfato de clopidogrel é indicado em adultos para a prevenção de eventos aterotrombóticos e tromboembólicos (quadros específicos caracterizados pela formação de um coágulo de sangue no interior de um vaso sanguíneo) em pacientes com fibrilação atrial (FA) (tipo de arritmia onde há batimentos rápidos e desordenados do coração) que possuem pelo menos um fator de risco para a ocorrência de eventos vasculares (por exemplo, derrame, infarto do coração) e que não podem fazer uso do tratamento com medicamentos conhecidos como “antagonistas da vitamina K” (AVK) (ex. risco de sangramento ou avaliação médica que concluiu que o uso de AVK é inapropriado).
O bissulfato de clopidogrel é indicado em combinação com o ácido acetilsalicílico (AAS) na prevenção de eventos aterotrombóticos e tromboembólicos, incluindo derrame cerebral. O bissulfato de clopidogrel em combinação com AAS demonstrou reduzir a taxa de derrame cerebral, infarto do coração, embolismo sistêmico fora do sistema nervoso central (obstrução de um vaso ou artéria do corpo que não seja no sistema nervoso central), ou morte vascular.",
BEPANTOL DERMA RESTAURADOR LOÇÃO FACIAL NOTURNA  50ML,cod. do produto: 54648,"R$ 47,22","R$ 66,30",29%,"Bepantol Derma Loção Facial Noturna possui lípidios naturais que promovem a hidratação para pele seca e sensível, restauração da pele durante a noite.",
KIT BE YOU LIGHT 1 ESCOVA + 1CREME DENTAL 10ML CURAPROX,cod. do produto: 55648,"R$ 38,41","R$ 45,90",16%,"Curaprox BE YOU DAYDREAMER Azul c/ Pasta Dental 90mL +Escova - Curaprox BE YOU DAYDREAMER Explosão de Sabores - conjunto uma Escova Ultra Soft 5460 cerdas ulta macias e uma pasta de dente com sabor Amora e Alçapuz - Para os sonhadores, a combinação dos sonhos: amora, alçaúz e mentol - Sensação suave o dia todo, com algo mais! *PASTA DENTAL SABORES SORTIDOS, SERÁ ENVIADO DISPONÍVEL EM ESTOQUE São seis diferentes sabores que combinam com diferentes gostos, personalidades, temperamentos e/ou estados de espírito/humores. Sua abrasividade é baixa (RDA + 50) e adequada para ser utilizado em conjunto com as cerdas de Curen® das escovas CURAPROX. Existe também um efeito de manutenção do clareamento profissional, pela liberação lenta de peróxido de hidrogênio. Eles não possuem Sodium Lauril Sulphate (SLS Free), que é um detergente que faz espuma, porém, potencialmente irritante das mucosas e capaz de provocar aftas. Os cremes dentais Be You contêm fluoreto em sua composição (950ppm) e Hidroxiapatita, que também é um agente remineralizador da estrutura dental (Sodium Hydroxyapatite - Nano HAP). Também estão presentes um extrato de ervas e vitamina B5, que potencializam o efeito antibacteriano e regene.",Curaprox
