,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
0,Itraconazol 100mg Genérico EMS 15 Cápsulas,7896004708072,ITRACONAZOL,"Itraconazol é um medicamento utilizado no tratamento de infecções fúngicas (micoses) da vagina, pele, boca, olhos, unhas ou órgãos internos.",134.18,59.72,55,Drogaria Globo,Sudeste,São Paulo,
1,Acog 20mg com 30comprimidos,8903855078182,ACOG,ACOG é indicado para prevenção de derrame (AVC) e de formação de coágulo em outros vasos sanguíneos (embolia sistêmica) em pacientes adultos com arritmia do coração.,113.08,87.3,23,Drogaria Globo,Sudeste,São Paulo,
2,Acertil 10Mg 60 Comprimidos,7898029550254,ACERTIL,Acertil 10mg é indicado no tratamento da hipertensão arterial.,197.7,181.88,8,Drogaria Globo,Sudeste,São Paulo,
3,Bravan Duo 320+5mg com 30comprimidos,7896658024993,BRAVAN,Bravan Duo é utilizado para tratar a pressão arterial alta.,94.38,78.59,17,Drogaria Globo,Sudeste,São Paulo,
4,Cloridrato de Diltiazem 60mg com 50 Comprimidos Teuto,7896112199946,DILTIAZEM,"O cloridrato de diltiazem é indicado para tratamento de pressão alta, angina pectoris (dores fortes no peito e falta de ar) e coronariopatias (problemas nos vasos que irrigam o coração) acompanhadas ou não de pressão alta e/ou taquicardia (palpitações constantes e duradouras).",45.98,28.13,39,Drogaria Globo,Sudeste,São Paulo,
5,Condicionador Elseve Reparação Total 5 Extra Profundo 200ml,7898587764926,ELSEVE,"O Condicionador Elseve Reparação Total 5 Extra Profundo conta com fórmula com LAK 1000, um concentrado de ácido lático com ativo que penetra as 10 camadas dos fios e Ceramida, que proporciona reestruturação dos fios combatendo os cinco sinais dos cabelos com danos persistentes: Pontas duplas, fissuras, quebra, rugosidade e envelhecimento precoce.",17.99,17.99,0,Drogaria Globo,Sudeste,São Paulo,
6,Adoçante Líquido Zero Cal Sucralose 100ml,7896094906624,ZERO CAL,"Zero-Cal Sucralose é um adoçante líquido derivado da cana-de-açúcar, livre de calorias e glúten. Possui sabor muito próximo ao do açúcar e pode ser utilizado em bebidas a qualquer temperatura, sem perder seu poder adoçante. É ideal para adoçar bebidas e receitas.",10.99,10.99,0,Drogaria Globo,Sudeste,São Paulo,
7,Aradois 100mg 60 Comprimidos,7896241228203,ARADOIS,"Seu médico receitou Aradois para tratar a sua hipertensão (pressão alta) ou porque você tem uma doença conhecida como insuficiência cardíaca (enfraquecimento do coração). Em pacientes com pressão alta e hipertrofia ventricular esquerda, a losartana potássica reduziu o risco de derrame (acidente vascular cerebral) e de ataque cardíaco (infarto do miocárdio) e ajudou esses pacientes a viverem mais.",181.85,148.39,18,Drogaria Globo,Sudeste,São Paulo,
8,Piranha Ricca Arco Grande,7897517908669,RICCA,"Piranha ricca grande 9cm, ideal para cabelos maiores e mais volumosos, com molas resistentes e duráveis .",6.99,6.99,0,Drogaria Globo,Sudeste,São Paulo,
9,Creme Pentear Niely Gold Liso Prolongado Orquidea 250g,7896000712981,NIELY GOLD,"É ideal para uso diário, retém a umidade no núcleo do fio, disciplinando os cabelos mais difíceis de domar. Possui filtro UV, que protege contra os danos causados pela luz solar e proporciona ótima penteabilidade.",8.19,8.19,0,Drogaria Globo,Sudeste,São Paulo,
10,"Carvedilol 6,25mg EMS 30 Comprimidos",7896004731285,CARVEDILOL,"Carvedilol é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hipertensivos, especialmente diuréticos tiazídicos.",55.33,15.89,71,Drogaria Globo,Sudeste,São Paulo,
11,Loratadina 10mg 12 comprimidos Cimed Genérico,7896523227573,LORATADINA,"LORATADINA é indicada para o alívio dos sintomas associados com a rinite alérgica, como: coceira nasal, nariz escorrendo (coriza), espirros, ardor e coceira nos olhos. LORATADINA também é indicada para o alívio dos sinais e sintomas da urticária e de outras alergias da pele.",20.96,4.31,79,Drogaria Globo,Sudeste,São Paulo,
