productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
"Drospirenona + Etinilestradiol 3mg + 0,03mg Genérico Eurofarma 21 Comprimidos",Eurofarma,https://www.drogariasaopaulo.com.br/drospirenona---etinilestradiol-3mg---0-03mg-generico-eurofarma-21-comprimidos/p,"Drospirenona + Etinilestradiol 3mg + 0,03mg Genérico Eurofarma 21 Comprimidos",767948,7891317021948,29.69,49.55,29.69,true
Desodorante Rexona Aerosol Feminino Clinical Classic 55ml,Rexona,https://www.drogariasaopaulo.com.br/desodorante-rexona-aerosol-feminino-clinical-classic-55ml/p,Desodorante Rexona Aerosol Feminino Clinical Classic 55ml,711713,7791293038254,7.69,7.69,7.69,true
Maleato de Dexclorfeniramina + Betametasona Xarope Genérico Prati 120ml,Prati Donaduzzi,https://www.drogariasaopaulo.com.br/maleato-de-dexclorfeniramina-betametasona-xarope-generico-prati-120ml/p,"Maleato de Dexclorfeniramina + Betametasona Xarope Genérico Prati 120ml é contraindicado em pacientes com infecção sistêmica por fungos, em prematuros e recém-natos, nos pacientes que estejam recebendo terapia com inibidores da MAO, e nos que demonstrarem hipersensibilidade a qualquer dos componentes de sua fórmula. Adultos: a dose inicial recomendada para adultos e crianças maiores de 12 anos é de duas colheres das de chá do xarope 3 a 4 vezes por dia após as refeições e ao deitar. A dose não deverá exceder a 8 colheres das de chá do xarope por dia. Crianças de 2 a 6 anos: A dose recomendada é de 1/2 colher das de chá do xarope, 3 vezes por dia. Em crianças de menor idade, a dose deve ser ajustada de acordo com a gravidade da doença e o peso corporal.",604976,7899547503333,7.79,13.61,7.79,true
Finasterida 1mg Genérico EMS 60 Comprimidos,EMS,https://www.drogariasaopaulo.com.br/finasterida-1mg-generico-ems-60-comprimidos/p,"A Finasterida 1mg Genérico Ems 60 Comprimidos é um inibidor da 5-alfa-redutase. A finasterida causa regressão da hipertrofia (aumento do tamanho) da próstata. Seu médico prescreveu finasterida porque você apresenta uma condição conhecida como hiperplasia prostática benigna (HPB), ou seja, sua próstata, localizada próximo da bexiga, aumentou de tamanho, causando dificuldades para a passagem da urina. Em geral, a finasterida não interage com outros medicamentos. No entanto, você deve sempre informar seu médico sobre todos os medicamentos que esteja tomando ou planeje tomar, incluindo os obtidos sem prescrição médica (venda livre).",177385,7896004716343,38.79,147.84,38.79,true
Engov Envelope 6 Comprimidos,Engov,https://www.drogariasaopaulo.com.br/engov-neo-quimica-6-comprimidos/p,"Engov Comprimidos é indicado para o alívio dos sintomas de dores de cabeça e alergias. Atua como analgésico (alivia as dores), na melhora de sintomas alérgicos e como estimulante suave do Sistema Nervoso Central (SNC) que associado a analgésicos auxilia no alívio da dor. O tempo de início da ação deste medicamento varia conforme o histórico de cada paciente. Em cefaleias leves a moderadas, sabe-se que em 60 minutos, após sua ingestão, tem-se o efeito esperado do medicamento.",27049,7896094912786,8.89,8.89,8.89,true
Gino Canesten Balance Gel Vaginal 5ml Bayer 7 Unidades,Bayer,https://www.drogariasaopaulo.com.br/gel-vaginal-5ml-bayer-gino-canesten-balance-7-unidades/p,"O mau odor vaginal e o corrimento acinzentado são os sintomas mais comuns da vaginose, e 1 em cada 3 mulheres pode ter durante suas vidas. Gino-Canesten® Balance é um tratamento da Vaginose Bacteriana e alivia os sintomas desde os primeiros dias.",783323,7891106915410,69.09,85.69,69.09,true
Cloridrato de Terbinafina 250mg Genérico Prati-Donaduzzi 28 Comprimidos,Prati Donaduzzi,https://www.drogariasaopaulo.com.br/cloridrato-de-terbinafina-250mg-generico-prati-donaduzzi-28-comprimidos/p,Cloridrato de Terbinafina 250mg Genérico Prati-Donaduzzi 28 Comprimidos,769258,7899547504682,39.39,155.46,39.39,true
Desodorante Aerossol Rexona Antibacterial + Invisible 250ml,Rexona,https://www.drogariasaopaulo.com.br/desodorante-aerosol-rexona-antibacterial---invisible-250ml/p,"Mais uma vez Rexona se supera e relança sua linha de desodorantes com uma fórmula inovadora, que combina um novo e exclusivo ativo antitranspirante com a tecnologia de fragrâncias encapsuladas. O resultado? 72 horas de proteção ativada pelo seu movimento e muito mais confiança para você encarar qualquer desafio.  A nova e exclusiva fórmula de Rexona Antibacterial + Invisible trabalha com um sistema de partículas menores e mais estáveis que formam uma barreira protetora mais resistente e duradoura contra a transpiração e o mau odor, mantendo você seca, fresca e protegida a cada novo movimento e por muito mais tempo. Sua tecnologia protege a roupa contra manchas brancas e amarelas e ainda ajuda a eliminar as bactérias que causam o mau odor nas axilas.  0% álcool*. (*) Não contém álcool etílico.  Além da nova fórmula, o novo formato de Rexona aerosol 250ml é mais econômico, onde você leva mais produto e paga menos**, (**Quando comparado à versão de 150ml). Além disso ele é o formato mais sustentável de Rexona aerossol, com uma embalagem que utiliza 23% menos metal e 41% menos plástico do que a versão de aerossol 150ml, quando se compara o gasto por tonelada de produto.  Por ano são vendidas muitas toneladas de Rexona aerossol, então essa escolha nos ajuda a dar mais um passo em direção ao que é melhor para o planeta. Por que Rexona não te abandona Nova Fórmula: 72h de proteção contra a transpiração e o mau odor, ativada pelo movimento. O novo Rexona combina um inovador ativo antitranspirante com a exclusiva tecnologia de fragrância encapsulada. Te mantendo seco e protegido como nunca antes. *Excluindo produtos Clinical. **Vs antitranspirantes comuns em aerosol. Mais economia: Leve Mais, pague menos* (*) Quando comparado à versão de 150ml Formato mais sustentável de Rexona aerosol: embalagem utiliza 41% menos plástico e 23% menos metal do que a versão em aerosol 150ml no gasto por tonelada. Não contém álcool etílico / 0% de álcool etílico. Testado dermatologicamente.",759805,7891150081284,17.9,22.69,17.9,true
Creme Facial Nivea Nutritivo Nivea 100g,Nivea,https://www.drogariasaopaulo.com.br/creme-facial-nutritivo-nivea-100gr-bdf-nivea/p,"O que é? Hidratante para o rosto que cuida sem deixar a pele oleosa. Textura leve de rápida absorção. Veja +infos!  Para que serve o Creme Facial NIVEA Nutritivo? O creme facial nutritivo tem fórmula à base de água, mais Karité e Vitaminas. Juntos, esses componentes deixam a pele com aspecto saudável e bonito. É um ótimo primer.  Benefícios e diferenciais - Hidratação por 24h - Não deixa a pele oleosa - Prepara a pele para a maquiagem  Como usar o Creme Facial NIVEA Nutritivo? Com a pele limpa e seca, aplique em todo o rosto, massageando suavemente em movimentos circulares até o produto ser absorvido.  Uma unidade de embalagem contém 100g",669555,42360407,31.41,34.9,34.9,true
Fralda Pampers Premium Care XG 60 unidades,Pampers,https://www.drogariasaopaulo.com.br/fralda-pampers-premium-care-jumbo-xg-60un-procter/p,"Pampers Premium Care , nossa proteção mais suave para a sua pele. É suave como o algodão° e ultra respirável. Também tem canais de ar para uma pele seca e arejada, e uma loção hipoalergênica exclusiva que ajuda a prevenir irritações.  Suave como algodão°: a proteção mais suave da PampersCanais de Ar: para uma pele arejada e sequinhaLoção hipoalergênica exclusiva: ajuda a prevenir irritaçõesIncrível sistema de absorção que oferece até 12 horas de sono sequinho**Ajuste cômodo e flexível: esticam e se ajustam aos movimentos do seu bebêBarreiras anti-derrames\r\n",668826,7500435132459,129.99,129.99,129.99,true
