productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
Lenço Umedecido Huggies Puro & Natural 4 Unidades,Huggies,https://www.drogariasaopaulo.com.br/kit-lencos-umedecidos-huggies-pure-care-48un-l4p3-kimberly-clark-brasil/p,"As toalhas umedecidas Huggies Pure Care são ideais para recém nascido pois foram elaboradas com ingredientes suaves como água e algodão, para limpar cuidadosamente. Além de ajudar a prevenir assaduras, garantindo proteção e segurança à pele sensível do bebê desde o seu nascimento. \n\nFórmula 99% água e extratos naturais.",665037,7896018704022,48.69,48.69,48.69,true
Lenços Umedecidos Pampers Aroma de Aloe Vera 192 Unidades,Pampers,https://www.drogariasaopaulo.com.br/kit-lencos-umedecidos-pampers-aloe-vera-48-unidades-leve-4-pague-3/p,"Conheça as toalhinhas umedecidas Pampers, agora com novos aromas! Elas são ideais para limpar seu bebê da cabeça aos pés. São feitas de um material resistente para evitar que se rasguem quando retiradas do pacotinho ou quando estiver limpando seu bebê.   • Limpeza completa da cabeça aos pés  • Também para uso de mãos e rostos*. *Não use dentro dos olhos  • Suaves e resistentes  • Sem álcool*. *álcool etílico  • Dermatologicamente testadas  • Limpam, hidratam e refrescam  • Aroma Aloe Vera",703990,7500435145251,32.9,47.99,32.9,true
Lenço Umedecido Huggies One & Done 4 Unidades,Huggies,https://www.drogariasaopaulo.com.br/kit-lencos-umedecidos-huggies-one-done-4-unidades/p,"Huggies One&Done - Limpeza 3 em 1: seguro para corpo, mãos e rosto.\n\nAs toalhas umedecidas Huggies One&Done podem ser usadas no corpo, mãos e rosto do bebê. Elaboradas com ingredientes suaves e delicados, garantem uma limpeza segura e efetiva, além de oferecer praticidade ao seu dia a dia.",665029,7896018704015,48.69,48.69,48.69,true
Lenço Umedecido Huggies Max Clean 4 Pacotes de 48 Unidades,Huggies,https://www.drogariasaopaulo.com.br/kit-4-lencos-umedecidos-huggies-aloe-vera-192-unidades/p,"Máxima limpeza desde a 1ª passada.\n\nAs Toalhas Umedecidas Huggies Max Clean foram elaboradas com ingredientes suaves e delicados, para garantir uma limpeza segura e efetiva da pele do seu bebê. Além de ajudar a prevenir assaduras e oferecer praticidade ao seu dia a dia.",390364,7896018703629,48.69,48.69,48.69,true
Fórmula Infantil Nestlé Ninho Fases 1+  800g Lata,Ninho Fases,https://www.drogariasaopaulo.com.br/composto-lacteo-nestle-ninho-fases-1-sache-800g/p,"O NINHO® Fases 1+ é uma fórmula infantil rica em vitaminas e minerais. Composição fortalece as defesas naturais das crianças e contribui para o funcionamento adequado do intestino.\r\n\r\nO que mudou no Ninho Fases 1+?\r\nAlém da embalagem mais moderna, agora o novo Ninho Fases 1+ é uma fórmula infantil de seguimento para crianças de primeira infância. A nova fórmula foi desenvolvida especialmente para atender às necessidades nutricionais de crianças a partir de 1 ano de idade.\r\n\r\nQual a idade recomendada de consumo para Ninho Fases 1+?\r\nNinho Fases 1+ é desenvolvido especialmente para crianças a partir de um ano de idade. Ele apresenta um teor específico de proteínas, assim como a adição de vitaminas e minerais, recomendados para essa faixa etária. Mesmo assim, o ideal é que você procure o pediatra e/ou nutricionista do seu filho para que seja orientada da melhor forma possível.\r\n\r\nTamanho: 800g\r\nSabor: leite\r\nO produto não contém glúten\r\nO NINHO® Fases 1+ é uma fórmula infantil rica em vitaminas e minerais. Composição fortalece as defesas naturais das crianças e contribui para o funcionamento adequado do intestino.\r\nAviso Importante: este produto não deve ser usado para alimentar crianças menores de 1 (um) ano de idade. O aleitamento materno evita infecções e alergias e é recomendado até os 2 anos de idade ou mais\r\n\r\nModo de Conservação:\r\nConservar a lata bem tampada sempre em local seco, fresco e arejado. Após aberta a embalagem, recomenda-se o consumo do conteúdo em até 30 dias. Este produto é sensível à umidade, mantenha sempre mãos e colher medida secas. Durante o transporte, este produto pode se compactar. Seu volume, contudo, corresponde ao peso líquido indicado.\r\n\r\nIngredientes:\r\nIngredientes: Leite parcialmente desnatado*, soro de leite desmineralizado*, maltodextrina, galacto-oligossacarídeo, lactose, soro de leite*, óleo de canola, oleína da palma, concentrado proteico de soro de leite*, Cálcio (carbonato de cálcio), fruto-oligossacarídeo, Vitamina C (L-ascorbato de sódio), Ferro (sulfato ferroso), Potássio (cloreto de potássio), Zinco (sulfato de zinco), Vitamina E (acetato de DL-a-tocoferila), Ácido Pantotênico [Vitamina B5] (D-pantotenato de cálcio), Niacina (nicotinamida), Cobre (sulfato de cobre), Vitamina B1 (tiamina mononitrato), Vitamina A (acetato de retinila), Vitamina B6 (cloridrato de piridoxina), Vitamina B2 (riboflavina), Ácido Fólico [Vitamina B9] (ácido N-pteroil-L-glutâmico), Iodo (iodeto de potássio), Vitamina K (fitomenadiona), Biotina (D-biotina), Vitamina D (colecalciferol), Selênio (selenato de sódio), Vitamina B12 (cianocobalamina), emulsificante lecitina de soja e regulador de acidez hidróxido de potássio.\r\nALÉRGICOS: CONTÉM LEITE E DERIVADOS E DERIVADOS DE SOJA. CONTÉM LACTOSE. NÃO CONTÉM GLÚTEN.\r\n*fontes proteicas\r\n\r\n“AVISO IMPORTANTE: ESTE PRODUTO NÃO DEVE SER USADO PARA ALIMENTAR CRIANÇAS MENORES DE 1 (UM) ANO DE IDADE. O ALEITAMENTO MATERNO EVITA INFECÇÕES E ALERGIAS E É RECOMENDADO ATÉ OS 2 ANOS DE IDADE OU MAIS.\",312452,7891000062661,55.28,55.28,55.28,true
"Fórmula Infantil Nanlac Comfor 1,6kg - 160g Grátis",Nanlac,https://www.drogariasaopaulo.com.br/kit-formula-800g-nanlac-infantil-comfor-2-unidades/p,"NANLAC® é uma fórmula infantil de primeira infância e, por isso, diferente do leite de vaca, foi desenvolvida especialmente com nutrientes importantes para o desenvolvimento das crianças de 1 a 3 anos de idade como teor adequado de proteína, DHA, vitaminas, minerais e fibras. Além disso, não é adicionado dos açúcares sacarose, frutose e nem contém aromatizantes. Tudo isso para nutrir todas as possibilidades de seu filho(a). \n\nAVISO IMPORTANTE: ESTE PRODUTO NÃO DEVE SER USADO PARA ALIMENTAR CRIANÇAS MENORES DE 1 (UM) ANO DE IDADE. O ALEITAMENTO MATERNO EVITA INFECÇÕES E ALERGIAS E É RECOMENDADO ATÉ OS 2 (DOIS) ANOS DE IDADE OU MAIS\n\nSoro de leite desmineralizado*, oleína de palma, maltodextrina, lactose, leite desnatado*, galacto-oligossacarídeos, óleo de canola com baixo teor erúcico, óleo de girassol, sais minerais (citrato de cálcio, fosfato de potássio dibásico, cloreto de magnésio, fosfato de sódio dibásico, fosfato de cálcio dibásico, cloreto de cálcio, sulfato ferroso, cloreto de potássio, sulfato de zinco, sulfato de cobre, iodeto de potássio e selenato de sódio), fruto-oligossacarídeos, óleo de peixe, vitaminas (L-ascorbato de sódio, acetato de DL-a-tocoferila, D-pantotenato de cálcio, nicotinamida, tiamina mononitrato, acetato de retinila, cloridrato de piridoxina, riboflavina, ácido N-pteroil-L-glutâmico, fitomenadiona, D-biotina, colecalciferol e cianocobalamina), L-fenilalanina, L-histidina, óleo de Mortierella alpina, nucleotídeos (citidina 5-monofosfato, sal dissódico de uridina 5-monofosfato, adenosina 5-monofosfato e sal dissódico de guanosina 5-monofosfato), emulsificante lecitina de soja e reguladores de acidez ácido cítrico e hidróxido de potássio.",751502,7891000349397,124.96,124.96,124.96,true
Composto Lácteo Ninho Forti+ Zero Lactose 700g,Ninho,https://www.drogariasaopaulo.com.br/ninho-zero-lactose-700g-nestle-brasil/p,"NINHO® Forti+ Zero Lactose traz a fortificação exclusiva do mix Forti+,  rico em cálcio, ferro, zinco, vitaminas A, D, C e E. Toda a nutrição de NINHO para crianças com intolerância à lactose.\r\n•\t0% Lactose                                                 \r\n•\tRico em cálcio, ferro                                               \r\n•\tRico em Vitaminas A, D, C e E                                   \r\n•\tNão contém glúten                                                   \r\n•\tLata 700g\r\nNÃO CONTÉM GLÚTEN.",675784,7891000261965,41.89,41.89,41.89,true
Lenço Umedecido Baby Lavanda Ever Care 48 Unidades,Ever Care,https://www.drogariasaopaulo.com.br/lenco-umedecido-baby-lavanda-ever-care-48un-/p,"O  Lenço Umedecido Baby Lavanda Ever Care 48 Unidades é ideal para a limpeza eficaz e segura do bebê. Hipoalergênico e dermatologicamente testado, sem parabenos e álcool etílico, possui etiqueta rígida, que ajuda a manter a umidade das toalhas por mais tempo.",671789,7898946495676,8.99,11.99,8.99,true
Lenço Umedecido Huggies Supreme Care 4 Unidades,Huggies,https://www.drogariasaopaulo.com.br/kit-lencos-umedecidos-huggies-supreme-care-48un-l4p3-kimberly-clark-brasil/p,"As toalhas umedecidas Huggies Supreme Care foram elaboradas para proporcionar hidratação à pele do bebê, graças a sua fórmula enriquecida com agentes hidratantes e vitamina E. Além de limpar de forma segura e proteger a pele, ajudando a prevenir assaduras.",665010,7896018704008,48.69,48.69,48.69,true
Fórmula Infantil Nestonutri 1+ 800g,Nestonutri,https://www.drogariasaopaulo.com.br/formula-infantil-nestonutri-800g/p,,660205,7891000255544,52.93,52.93,52.93,true
