productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
Prednisona 20mg Genérico Neo Química 10 comprimidos,Neo Química,https://www.drogariasaopaulo.com.br/prednisona-20mg-generico-neo-quimica-10-comprimidos/p,"Prednisona 20mg Genérico Neo Química 10 comprimidos é indicado para o tratamento de doenças das glândulas, doenças dos ossos e músculos, distúrbios do colágeno (doenças que afetam vários órgãos e tem causa autoimune), doenças dermatológicas, doenças alérgicas, doenças dos olhos, doenças respiratórias, doenças do sangue, tumores e outras que respondam ao tratamento com corticosteroides. Este medicamento proporciona um efeito anti-inflamatório, antirreumático e antialérgico.",492493,7896714212104,11.09,24.12,11.09,true
Torsilax Neo Química 30 Comprimidos,Neo Química,https://www.drogariasaopaulo.com.br/torsilax-elite-30-comprimidos/p,"Torsilax Neo Química 30 Comprimidos  é indicado para o reumatismo nas suas formas inflamatório-degenerativas agudas e crônicas, crises agudas de gota, estados inflamatórios agudos, pós-traumáticos e pós-cirúrgicos. Exacerbações agudas de artrite reumatóide nos tecidos extra-articulares. Coadjuvantes em processos inflamatórios graves decorrentes de quadros infecciosos. Torsilax reúne em sua fórmula um miorrelaxante de ação central, o carisoprodol, cuja estrutura está relacionada com a mefenesina e atua reduzindo indiretamente a tensão da musculatura esquelética em seres humanos.",127612,7896714200804,17.79,33.29,17.79,true
Shampoo L’Oréal Paris Elseve Glycolic Gloss 200ml,Elseve,https://www.drogariasaopaulo.com.br/shampoo-l-oreal-paris-elseve-glycolic-gloss-200ml/p,"A linha Elseve Glycolic Gloss de L’Oréal Paris garante 3X mais gloss que resiste a 6 lavagens. Sua fórmula é rica em Ácido Glicólico e pH ácido, combatendo a porosidade e selando as cutículas para revelar um cabelo visivelmente saudável e alinhado para um brilho gloss. O Condicionador Sela Gloss, com pH ácido e 4% [Complexo com Ácido Glicólico] desembaraça instantaneamente com dupla ação: Sela intensamente os fios, preenchendo as falhas da fibra capilar. Na superfície, lâmina a cutícula, alinhando-a para refletir a luz. Cabelo visivelmente saudável e alinhado para um brilho gloss.",841463,7908615060385,15.69,15.69,15.69,true
Stanglit 30mg 60 Comprimidos,Libbs,https://www.drogariasaopaulo.com.br/stanglit-30mg-60-comprimidos/p,Stanglit 30mg 60 Comprimidos,666300,7896094210240,137.49,185.77,137.49,true
Dramin 50mg Com 10 Caps Gel,Hypera Pharma,https://www.drogariasaopaulo.com.br/dramin-50mg-com-10-caps-gel/p,"Dramin é indicado para prevenir e tratar os sintomas de enjoo, tontura e vômitos em geral, incluindo os vômitos e enjoos da gravidez, no pré e pós-operatórios e após tratamento com radioterapia; na prevenção e tratamento de tonturas, enjoos e vômitos causados por movimentos durante as viagens (avião, barco, ônibus, automóvel, etc. - quadro conhecido como cinetose); na prevenção e no tratamento das labirintites e vertigens em geral.",349437,7896094999411,17.39,19.73,17.39,true
Expec Legrand Pharma Xarope - 120ml,Legrand Pharma,https://www.drogariasaopaulo.com.br/expec-legrand-pharma-xarope-120ml/p,"Expec Legrand Pharma Xarope está indicado no tratamento sintomático da tosse irritativa, (não produtiva, espasmódica, seca) associada a várias condições respiratórias. Possui propriedades de relevância, tais como: a sedativa da tosse e expectoração, modificando o muco, tornando-o mais fluido, facilitando a sua eliminação. Indicado para combater o catarro pulmonar crônico. É contraindicado às pessoas sensíveis aos componentes da fórmula e a pacientes sensíveis ao iodo ou que apresentam insuficiência respiratória.",104973,7896004812168,29.59,45.99,29.59,true
Orlistate 120mg Genérico Prati-Donaduzzi 84 Cápsulas,Prati Donaduzzi,https://www.drogariasaopaulo.com.br/orlistate-120mg-generico-prati-donaduzzi-84-capsulas/p,Orlistate 120mg Genérico Prati-Donaduzzi 84 Cápsulas,701025,7899547500257,136.69,361.05,136.69,true
Orlistate 120mg Genérico 30 Cápsulas,Germed,https://www.drogariasaopaulo.com.br/orlistate-120mg-generico-30-capsulas/p,Orlistate 120mg Genérico 30 Cápsulas,684600,7896004756851,83.49,133.23,83.49,true
Repelente Repelex Aerosol Suave 200ml,Repelex,https://www.drogariasaopaulo.com.br/repelente-repelex-aerosol-suave-200ml/p,"O Repelente Aerossol Repelex é ideal para toda família. Sua fórmula é de rápida absorção, fácil de aplicar e tem fragrância suave. Eficiente ação contra os mosquitos, incluindo o transmissor da Dengue, Zika Vírus e Chikungunya.",211249,7891035620003,29.99,29.99,29.99,true
Sulfato Neomicina+ Bacitracina Pomada 15g (Genérico),Medley,https://www.drogariasaopaulo.com.br/sulfato-neomicina-bacitracina-pomada-15g-generico/p,"Este medicamento é indicado para o tratamento de infecções da pele e/ou de mucosas, causadas por diferentes bactérias, como por exemplo: nas “dobras” da pele, ao redor dos pelos, na parte de fora da orelha, nos furúnculos, nas lesões com pus, na acne infectada, nas feridas abertas (como úlceras na pele) e nas queimaduras de pele. Também é indicado para prevenir infecções de pele e/ou de mucosas após ferimentos, cortes (inclusive de cirurgias) e queimaduras pequenas. \n\nVocê não deve usar este medicamento se tiver alergia à neomicina, aos antibióticos aminoglicosídeos e outros componentes da fórmula.\nVocê também não deve usar o sulfato de neomicina + bacitracina zíncica pomada se tiver perda da função dos rins (insuficiência renal grave) ou se você já teve ou tem problemas de audição ou de equilíbrio (sistema labiríntico). Não deve ser utilizada durante a gravidez ou a amamentação.\nEste medicamento é contraindicado para bebês prematuros, recém-nascidos e lactantes.",2372,7896422504454,9.89,12.33,9.89,true
