Produto ID,Nome,Marca,SKU,EAN,Preço sem Desconto,Preço com Desconto,Descrição
sp-116676,Sorvete Kibon Cornetto spotify choco brownie,Cornetto,73414,7891150087484,12.6,12.0,Sorvete Kibon Cornetto spotify choco brownie
sp-46239,Picolé Magnum Cookies & Cream,Magnum,46239,7891150041042,15.0,15.0,Picolé Magnum Cookies & Cream
sp-17873,Bombom Gelado Eskibom Baun Mini,Eskibon,17873,7891075081215,13.29,13.29,"<h3>APRESENTAÇÃO:</h3><p>O Mini Eskibon Kibon Chocolate é uma delícia gelada que encanta o paladar de todos. Embalado em uma caixa prática, com um toque final perfeito para qualquer refeição ou ocasião especial.</p><h3>PARA QUE SERVE?</h3><p>Desenvolvido com a renomada tecnologia da Kibon, o Mini Eskibon é mais do que apenas um sorvete; é uma experiência. Combinando o mais puro creme com o riquíssimo sabor do chocolate, esta delícia foi criada para agradar ao paladar e oferecer momentos de alegria em cada mordida.</p><h3>COMO DEVO USAR?</h3><ul><li>Abra a caixa.</li><li>Retire o produto.</li><li>Sirva em uma tigela ou cone.</li><li>Saboreie a gosto.</li><li>Mantenha o restante congelado para conservação.</li></ul><h3>ADVERTÊNCIAS:</h3><ul><li>Mantenha em local fresco e seco.</li><li>Evite consumir se a embalagem estiver danificada.</li></ul><p><br></p>"
sp-60564,Picole Magnum Chocolate Zero Açúcar,Kibon,60089,7891150081963,15.0,15.0,Picole Magnum Chocolate Zero Açúcar
sp-102259,Sorvete Corneto M&Ms,Kibon,54808,7891150065925,12.29,12.29,Sorvete Corneto M&Ms
sp-40403,Picolé Magnum White,Magnum,40403,7891150023093,14.29,14.29,Picolé Magnum White
sp-122792,"Chocolate Ao Leite Com Amêndoa, Avelã E Amendoim Garoto Talento Artesão Pacote 75g",Talento,76768,7891000393475,9.44,8.99,"<h3>APRESENTAÇÃO:</h3><p><span style=""color: rgb(55, 65, 81);"">Apresentamos o Chocolate ao Leite com Amêndoa, Avelã e Amendoim Garoto Talento Artesão, disponível em pacote de 75g. Esta deliciosa combinação de ingredientes proporciona uma experiência gourmet, ideal para os apreciadores de chocolate que buscam sabores sofisticados.</span></p><h3>COMPOSIÇÃO:</h3><p><span style=""color: rgb(55, 65, 81);"">Chocolate ao Leite</span></p><p><span style=""color: rgb(55, 65, 81);"">Amêndoa</span></p><p><span style=""color: rgb(55, 65, 81);"">Avelã</span></p><p><span style=""color: rgb(55, 65, 81);"">Amendoim</span></p><p><br></p><h3>BENEFÍCIOS:</h3><p><span style=""color: rgb(55, 65, 81);"">Pacote de 75g.</span></p><p><span style=""color: rgb(55, 65, 81);"">Combinação gourmet de sabores.</span></p><p><span style=""color: rgb(55, 65, 81);"">Ingredientes selecionados.</span></p><h3>PARA QUE É INDICADO/PARA QUE SERVE</h3><p><span style=""color: rgb(55, 65, 81);"">Abra o pacote com cuidado.</span></p><p><span style=""color: rgb(55, 65, 81);"">Saboreie o chocolate ao leite com amêndoa, avelã e amendoim.</span></p><p><span style=""color: rgb(55, 65, 81);"">Aproveite como uma indulgência especial ou presente gourmet.</span></p><p><span style=""color: rgb(55, 65, 81);""> Guarde o restante do chocolate em local fresco e seco.</span></p><h3>CONTRAINDICAÇÕES/ADVERTÊNCIAS</h3><p><span style=""color: rgb(55, 65, 81);"">Mantenha fora do alcance de crianças.</span></p><p><span style=""color: rgb(55, 65, 81);"">Evite armazenar em locais expostos ao calor excessivo.</span></p><p><span style=""color: rgb(55, 65, 81);"">Pode conter traços de glúten e outros alérgenos, verifique a lista de ingredientes se tiver alguma restrição alimentar.</span></p><p><br></p>"
sp-122793,Chocolate Ao Leite Com Castanha-Do-Pará Garoto Talento 75g,Talento,76755,7891000392812,9.44,8.99,"<h3>APRESENTAÇÃO:</h3><p><span style=""color: rgb(55, 65, 81);"">Desfrute do delicioso </span><strong style=""color: rgb(55, 65, 81);"">Chocolate ao Leite com Castanha-do-Pará Garoto Talento 75g</strong><span style=""color: rgb(55, 65, 81);"">, uma experiência única de sabor e textura. Combinando a suavidade do chocolate ao leite com a crocância das castanhas, esse produto é ideal para momentos de indulgência.</span></p><h3>BENEFÍCIOS:</h3><ul><li><span style=""color: rgb(55, 65, 81);"">Rico em antioxidantes.</span></li><li><span style=""color: rgb(55, 65, 81);"">Textura irresistível.</span></li><li><span style=""color: rgb(55, 65, 81);"">Fonte de energia instantânea.</span></li><li><span style=""color: rgb(55, 65, 81);"">Sabor equilibrado e envolvente.</span></li><li><span style=""color: rgb(55, 65, 81);"">Ingredientes de alta qualidade.</span></li><li><span style=""color: rgb(55, 65, 81);"">Perfeito para satisfazer desejos.</span></li><li><span style=""color: rgb(55, 65, 81);"">Embalagem prática e compacta.</span></li><li><span style=""color: rgb(55, 65, 81);"">Excelente opção de presente.</span></li><li><span style=""color: rgb(55, 65, 81);"">Sem adição de conservantes.</span></li><li><span style=""color: rgb(55, 65, 81);"">Garantia de frescor.</span></li></ul><h3>PARA QUE SERVE?</h3><p><span style=""color: rgb(55, 65, 81);"">Explore a inovação desta delícia! A tecnologia exclusiva combina o sabor clássico do chocolate ao leite com a nobreza das castanhas-do-Pará. Experimente uma explosão de sabores em cada pedaço, proporcionando uma experiência única de indulgência.</span></p><h3>COMO DEVO USAR?</h3><ul><li><span style=""color: rgb(55, 65, 81);"">Abra o pacote com cuidado.</span></li><li><span style=""color: rgb(55, 65, 81);"">Quebre o chocolate em pedaços.</span></li><li><span style=""color: rgb(55, 65, 81);"">Saboreie lentamente.</span></li><li><span style=""color: rgb(55, 65, 81);"">Permita-se degustar cada nota.</span></li><li><span style=""color: rgb(55, 65, 81);"">Compartilhe com quem você ama.</span></li><li><span style=""color: rgb(55, 65, 81);"">Armazene em local fresco e seco.</span></li></ul><h3>ADVERTÊNCIAS:</h3><ul><li><span style=""color: rgb(55, 65, 81);"">Contém lactose e castanha-do-Pará.</span></li><li><span style=""color: rgb(55, 65, 81);"">Pode conter traços de outros frutos secos.</span></li><li><span style=""color: rgb(55, 65, 81);"">Consumir com moderação.</span></li><li><span style=""color: rgb(55, 65, 81);"">Manter fora do alcance de crianças.</span></li></ul><p><br></p>"
sp-107289,Chocolate Nestlé Alpino Ao Leite 85g,Nestle,76065,7891000336373,8.99,8.99,"<h3>APRESENTAÇÃO:</h3><p>O Chocolate Nestlé Alpino ao Leite 85g é a combinação perfeita de suavidade e sabor. Feito com o mais puro chocolate ao leite, cada pedaço deste chocolate derrete na boca, proporcionando uma experiência indulgente inigualável. Descubra o prazer do verdadeiro chocolate suíço.</p><h3>BENEFÍCIOS:</h3><ul><li>Sabor irresistível.</li><li>Textura cremosa.</li><li>Ideal para momentos de prazer.</li><li>Qualidade suíça.</li><li>Embalagem prática para levar a qualquer lugar.</li><li>Ingredientes de alta qualidade.</li><li>Delicioso para sobremesas.</li><li>Sem adição de corantes ou aromatizantes artificiais.</li><li>Energia instantânea.</li><li>Perfeito para compartilhar.</li></ul><h3>PARA QUE SERVE?</h3><p>O Chocolate Nestlé Alpino ao Leite serve para proporcionar uma experiência de sabor incomparável. Seu chocolate ao leite suíço é conhecido por sua qualidade excepcional, derretendo na boca e deixando um gostinho de quero mais. Perfeito para momentos de indulgência e para satisfazer sua paixão por chocolate.</p><h3>COMO DEVO USAR?</h3><ul><li>Abra a embalagem.</li><li>Quebre ou corte o chocolate em pedaços.</li><li>Saboreie lentamente, apreciando cada mordida.</li><li>Compartilhe o prazer com amigos e familiares.</li></ul><h3>ADVERTÊNCIAS:</h3><ul><li>Armazene em local fresco e seco.</li><li>Mantenha fora do alcance de crianças.</li><li>Pode conter traços de nozes e outros frutos secos.</li><li>Consuma com moderação para manter uma dieta equilibrada.</li></ul><p><br></p>"
sp-52424,Chocolate M&Ms Marrom Chocolate Ao Leite 45g,M&Ms,52424,7896423470703,4.49,4.49,Chocolate M&Ms Marrom Chocolate Ao Leite 45g
