Produto ID,Nome,Marca,SKU,EAN,Preço sem Desconto,Preço com Desconto,Descrição
sp-97443,Dercos Vichy Energy+ Shampoo Estimulante 400g,Vichy,74982,7899706254403,159.58,152.99,"<h3>APRESENTAÇÃO</h3>

<p>O Shampoo Dercos Vichy Energy+ é perfeito para cuidar dos seus cabelos, indicado para pessoas com cabelos fracos, finos e sem volume. Sua fórmula contém Aminexil, uma molécula que ajuda a prevenir a queda de cabelo e a fortalecer os fios desde a raiz.</p>

<p>Embalagem contém: 400 g.</p>

<h3>BENEFÍCIOS</h3>

<p>Ação antiqueda;</p>

<p>+47% fios fortalecidos;</p>

<p>Cabelos volumosos por 24H e +19% mais densos;</p>

<p>Couro cabeludo e raízes profundamente limpos;</p>

<p>Restauração da resistência natural do cabelo;</p>

<p>Testado dermatologicamente;</p>

<p>Couro cabeludo mais saudável e desintoxicado em profundidade desde a raiz.</p>

<h3>PARA QUE SERVE</h3>

<p>Shampoo Estimulante Vichy Energy+ serve para pessoas que têm cabelos fracos, finos e sem volume, que desejam prevenir a queda de cabelo e fortalecer os fios desde a raiz. Sua fórmula contém Aminexil, uma molécula que ajuda a prevenir a queda de cabelo e a fortalecer os fios, além de vitamina PP, que ajuda a melhorar a circulação sanguínea no couro cabeludo, e cafeína, que tem propriedades estimulantes. Além disso, ajuda a revitalizar os cabelos, deixando-os mais saudáveis e volumosos.</p>

<h3>COMO DEVO USAR</h3>

<p>Aplicar o shampoo no couro cabeludo e cabelos úmidos. Massagear gentilmente por 1 minuto e enxaguar.</p>

<p>O Shampoo Estimulante Energy+ pode ser usado diariamente ou conforme a orientação do seu dermatologista.</p>

<p>Para melhores resultados, usar o protocolo Dercos de 4 passos:</p>

<p>Passo 1: Energy+ Shampoo Estimulante.</p>

<p>Passo 2: Energy+ Condicionador Fortalecedor.</p>

<p>Passo 3: Energy+ Sérum Capilar Antiqueda.</p>

<p>Passo 4: Super Ampola Capilar.</p>

<h3>ADVERTÊNCIAS</h3>

<p>Uso externo.</p>

<p>Não utilize em áreas com feridas abertas ou irritadas.</p>

<p>Mantenha fora do alcance de crianças e animais domésticos.</p>

<p>Evite o contato com os olhos. Caso ocorra, lave com água em abundância.</p>

<p>Em caso de irritação na pele, suspenda o uso do produto e procure um médico.</p>"
sp-34974,Shampoo Celamina Ultra 150ml,Celamina,34974,7898928257087,77.99,77.99,"<h3 class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">APRESENTAÇÃO</span></h3><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">O </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">Shampoo Celamina Ultra 150ml </strong><a href=""/dermocosmeticos/cuidados-com-os-cabelos"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);"">previne e trata</a><span style=""background-color: transparent; color: rgb(0, 0, 0);""> a caspa moderada à intensa. Com uma </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">fórmula rica em ativos</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> que combatem o fungo causador da caspa, o produto </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">ajuda a controlar a oleosidade do couro cabeludo</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> e a renovar a pele, removendo células mortas.&nbsp;</span></p><h3 class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">COMPOSIÇÃO</span></h3><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Ácido salicílico, Ciclopirox olamina, Piritionato de zinco, Pantenol, Vitamina E e Vitamina B6.</span></p><h3 class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">PARA QUE SERVE</span></h3><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">O shampoo é indicado para tratar e prevenir a aparição de caspa, desde a moderada até a intensa. Ele combate a caspa diretamente, pois possui em sua composição, agentes que atingem os causadores da coceira. Além disso, proporciona leveza e maciez para os fios, pois renova a pele do couro cabeludo.</span></p><h3 class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">COMO DEVO USAR</span></h3><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Agite antes de usar; aplique o shampoo sobre os cabelos molhados; faça espuma massageando o couro cabeludo; deixe o produto agir por 5 minutos; enxágue com água em abundância. Consulte um médico para maiores indicações sobre as dosagens necessárias para cada indivíduo.&nbsp;</span></p>"
sp-102637,Minoxid.il Turbo 120ml,Miligrama,,7908650111769,0.0,0.0,"<p>A **Solução Capilar Minoxidil Turbinado** é um produto desenvolvido para auxiliar no crescimento e fortalecimento dos cabelos e da barba. Abaixo estão os benefícios e como os ativos do produto atuam:</p><p><br></p><p>**Benefícios:**</p><p>1. **Auxilia no Crescimento e Fortalecimento dos Fios**: Promove o crescimento de cabelos mais espessos e resistentes.</p><p><br></p><p>2. **Auxilia no Controle da Queda**: Pode ajudar a reduzir a queda de cabelo.</p><p><br></p><p>3. **Promove Hidratação e Menos Pontas Duplas**: Contribui para cabelos mais hidratados e reduz o problema das pontas duplas.</p><p><br></p><p>4. **Estimula a Síntese de Colágeno e Elastina**: Esses são componentes essenciais para a saúde e elasticidade dos cabelos.</p><p><br></p><p>5. **Promove Maior Irrigação Sanguínea na Raiz do Cabelo e Barba**: O aumento do fluxo sanguíneo para a raiz dos fios é essencial para o crescimento saudável.</p><p><br></p><p>**Como os Ativos Atuam:**</p><p>- **Minoxidil 5%**: É um vasodilatador que aumenta o fluxo sanguíneo para o couro cabeludo, prolongando o ciclo de crescimento dos fios. Isso resulta em fios mais espessos e mais crescimento capilar, sendo especialmente eficaz no tratamento de calvície e queda de cabelo.</p><p><br></p><p>- **Propilenoglicol 10%**: Aumenta a permeação cutânea, permitindo que os ativos da fórmula atinjam a raiz do bulbo capilar, potencializando o efeito dos ativos.</p><p><br></p><p>- **D Pantenol 5%**: Estimula a produção de lipídeos e proteínas, ajudando na hidratação dos cabelos e evitando a formação de pontas duplas.</p><p><br></p><p>- **Biotina 0,01%**: Contribui para a síntese de colágeno e queratina, promovendo a elasticidade e resistência dos fios. Além disso, possui propriedades antioxidantes.</p><p><br></p><p>**Modo de Uso:**</p><p>- Aplicar 11 borrifadas, equivalentes a 1ml, no couro cabeludo seco, massageando.</p><p><br></p><p>**Advertências:**</p><p>- É importante seguir as advertências gerais para produtos desse tipo, como não usar produtos com prazo de validade vencido, manter em temperatura adequada e fora do alcance das crianças.</p><p><br></p><p>- Consulte um profissional de saúde antes de usar qualquer produto, especialmente se você tiver problemas de saúde ou estiver tomando outros medicamentos.</p><p><br></p><p>- Os resultados e indicações dos produtos foram avaliados pelos fabricantes dos insumos farmacêuticos e por estudos, mas a eficácia pode depender de vários fatores individuais, como dieta, prática de exercícios e saúde geral.</p><p><br></p><p>- Lembre-se de que os produtos podem ser uma parte de um plano de saúde mais amplo e não devem ser usados como substitutos de uma dieta equilibrada e de um estilo de vida saudável.</p><p><br></p><p>- ""SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO"".</p><p><br></p><p>- Referências: A literatura do fornecedor.</p>"
sp-102673,Pill Food 120 Cápsulas,Miligrama,,7908650107922,0.0,0.0,"<p>**Pill Food** é um suplemento que combina vitaminas e aminoácidos com o objetivo de melhorar a saúde capilar, fortalecer as unhas e melhorar a aparência da pele. Abaixo, você encontrará informações sobre os benefícios, a composição, o modo de uso e outras orientações importantes:</p><p><br></p><p>**Benefícios:**</p><p><br></p><p>- **Auxiliar no tratamento da queda e crescimento de cabelos:** Pill Food ajuda a combater a queda de cabelo e a promover o crescimento saudável dos fios desde a raiz.</p><p>- **Fortalecer as unhas:** Contribui para o fortalecimento das unhas, reduzindo a quebra e a fragilidade.</p><p>- **Melhora o aspecto da pele:** A suplementação com Pill Food pode melhorar a hidratação e a elasticidade da pele.</p><p><br></p><p>**Como age:**</p><p><br></p><p>- **Colágeno:** O colágeno é uma proteína abundante no corpo humano e desempenha um papel essencial na manutenção das células e na integridade estrutural dos tecidos. Ele oferece benefícios como hidratação e elasticidade da pele, fortalecimento das unhas, cabelos e articulações, além de auxiliar na prevenção do envelhecimento, protegendo ossos e articulações.</p><p><br></p><p>- **Biotina:** A biotina é uma vitamina do complexo B que desempenha um papel fundamental na manutenção da integridade da pele. Ela contribui para a saúde da pele, cabelo e pode ajudar na prevenção da queda de cabelo.</p><p><br></p><p>- **Cisteína:** Este aminoácido é importante para a saúde dos cabelos, unhas e da queratina da pele. Ele auxilia na formação de colágeno, promovendo a textura do cabelo, a elasticidade da pele e unhas saudáveis.</p><p><br></p><p>- **Cistina:** A cistina é um aminoácido utilizado para melhorar a saúde da pele e do cabelo. Ela atua como um agente anti-aging, estimula a síntese de colágeno e auxilia na cicatrização.</p><p><br></p><p>- **Pantotenato de cálcio:** Esta vitamina do complexo B é indicada como coadjuvante em tratamentos para queda de cabelo, dermatites e vitiligo.</p><p><br></p><p>- **Vitamina B6:** Também conhecida como piridoxina, a vitamina B6 está envolvida no metabolismo dos aminoácidos e é essencial para a formação da hemoglobina. Ela auxilia na prevenção da queda de cabelo, acelera o crescimento capilar e contribui para a prevenção do envelhecimento celular.</p><p><br></p><p>- **Vitamina B2:** A riboflavina, ou vitamina B2, faz parte da constituição de sistemas enzimáticos essenciais ao metabolismo celular no organismo. Ela atua como antioxidante, combatendo os radicais livres e o envelhecimento precoce.</p><p><br></p><p>- **Vitamina E:** A vitamina E é um antioxidante que inibe a formação de radicais livres e atua como co-fator em alguns sistemas enzimáticos.</p><p><br></p><p>- **Metionina:** A metionina é um aminoácido que auxilia no crescimento saudável dos cabelos, pois está envolvida na formação das cadeias moleculares dos cabelos e da pele, fortalecendo o crescimento capilar.</p><p><br></p><p>**Composição:**</p><p><br></p><p>- Colágeno pó 25mg</p><p>- Biotina 0,2mg</p><p>- Cisteína 80mg</p><p>- Cistina 25mg</p><p>- Pantotenato de cálcio 25mg</p><p>- Vit. B6 10mg</p><p>- Vit. B2 1mg</p><p>- Vit. E pó 3mg</p><p>- Metionina 200mg</p><p>- Excipiente q.s.p 1 cápsula</p><p><br></p><p>**Modo de Usar:**</p><p><br></p><p>Tomar 1 cápsula duas vezes ao dia junto às refeições.</p><p><br></p><p>**Advertências:**</p><p><br></p><p>1. Nunca compre medicamento sem orientação de um profissional habilitado.</p><p>2. Imagens meramente ilustrativas.</p><p>3. Pessoas com sensibilidade a qualquer uma das substâncias não devem ingerir o produto.</p><p>4. Em caso de hipersensibilidade ao produto, recomenda-se descontinuar o uso e consultar o médico.</p><p>5. Não use o medicamento com o prazo de validade vencido.</p><p>6. Mantenha em temperatura ambiente (15 a 30ºC). Proteja da luz, calor e umidade.</p><p>7. Mantenha o medicamento fora do alcance das crianças.</p><p>8. Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica.</p><p>9. Este medicamento não deve ser utilizado durante o período de amamentação sem orientação médica.</p><p>10. Este medicamento não deve ser utilizado por menores de 18 anos sem orientação médica.</p><p>11. Este medicamento não deverá ser partido ou mastigado.</p><p>12. Siga corretamente o modo de usar. Não desaparecendo os sintomas, procure orientação médica.</p><p>13. **""SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO.""**</p><p><br></p><p>**Referências:**</p><p><br></p><p>1. BATISTUZZO, J. A. de O. Formulário Médico Farmacêutico. São Paulo: Pharmabooks Editora, 2006, p. 327.</p><p><br></p><p>Lembre-se de que é importante consultar um profissional de saúde antes de iniciar qualquer suplemento ou tratamento para garantir que seja adequado para suas necessidades individuais.</p>"
sp-55347,Pilexil Shampo Anticaspa Seca 150ml,Pilexil,55347,8430340038395,95.99,76.79,Pilexil Shampo Anticaspa Seca 150ml
sp-102657,Minoxihard Capilar Oral 60 Cápsulas,Miligrama,,7908650106925,0.0,0.0,"<p>**Minoxihard Capilar - Suplemento Nutricional para Controle da Queda e Crescimento Capilar - 30 doses**</p><p><br></p><p>**Benefícios:**</p><p>- Ajuda a controlar a queda capilar.</p><p>- Promove aumento no volume capilar.</p><p>- Estimula o crescimento capilar.</p><p><br></p><p>**O que é:**</p><p>Minoxihard Capilar de uso oral é uma fórmula composta por ativos que atuam de dentro para fora, controlando a queda capilar e promovendo o crescimento dos fios de maneira saudável e rápida. Indicado para homens e mulheres que buscam o controle da queda capilar, aumento de volume e crescimento capilar.</p><p><br></p><p>**Como agem os ativos:**</p><p>1. **Silício estabilizado em colina (Nutricolin):** Estimula a síntese de colágeno, queratina e elastina, favorecendo a resistência, volume e hidratação dos fios, diminuindo a quebra.</p><p>2. **Cisteína:** Aminoácido com função desintoxicante, utilizado no tratamento da queda capilar.</p><p>3. **Metilfolato:** Forma ativa do ácido fólico, envolvido em diversos processos do organismo, incluindo a desintoxicação.</p><p>4. **Ferro e Vitamina B2 (Riboflavina):** Essenciais em vários processos fisiológicos, sua ausência pode causar anemia.</p><p>5. **Vitamina E:** Atua como um escudo protetor contra os radicais livres, promovendo hidratação de dentro para fora.</p><p><br></p><p>**Composição:**</p><p>- Silício estabilizado em colina (Nutricolin)</p><p>- Cisteína</p><p>- Metilfolato</p><p>- Ferro</p><p>- Vitamina B2</p><p>- Vitamina E</p><p><br></p><p>**Modo de usar:**</p><p>Tomar 1 dose, uma vez ao dia.</p><p><br></p><p>**Venda sob prescrição de profissional habilitado, podendo este ser o nosso farmacêutico de acordo com a Resolução 586/2013 do Conselho de Farmácia. Consulte-o!**</p><p><br></p><p>**Advertências:**</p><p>1. Por ser um suplemento nutricional, observe se já toma algum outro composto vitamínico.</p><p>2. Nunca compre medicamento sem orientação de um profissional habilitado.</p><p>3. Imagens meramente ilustrativas.</p><p>4. Pessoas com sensibilidade a qualquer uma das substâncias não devem ingerir o produto.</p><p>5. Em caso de hipersensibilidade, recomenda-se descontinuar o uso e consultar o médico.</p><p>6. Não use o medicamento com o prazo de validade vencido.</p><p>7. Manter em temperatura ambiente (15 a 30ºC), protegido da luz, calor e umidade.</p><p>8. Todo medicamento deve ser mantido fora do alcance das crianças.</p><p>9. Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica.</p><p>10. Este medicamento não deve ser utilizado durante o período de amamentação sem orientação médica.</p><p>11. Este medicamento não deve ser utilizado por menores de 18 anos sem orientação médica.</p><p>12. Este medicamento não deverá ser partido ou mastigado.</p><p>13. Siga corretamente o modo de usar. Não desaparecendo os sintomas, procure orientação médica.</p><p>14. **""SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO"".**</p><p>15. Os resultados e indicações referentes ao uso desse produto foram avaliados e comprovados pelo fabricante dos insumos farmacêuticos e por estudos que comprovam a ação dos mesmos, conforme descrito nas referências bibliográficas. Não garantimos os resultados descritos, estes variam de pessoa para pessoa dependendo de diversos fatores como alimentação, prática de exercícios físicos, presença de outras patologias, bem como, o uso correto do produto conforme descrito na posologia.</p>"
sp-94128,Celamina Zinco Shampoo 200ml,Mantecorp,62977,7896714290140,94.4,89.9,Celamina Zinco Shampoo 200ml
sp-96924,Zetar Anticaspa Shampoo Diário 200ml Leve Zetar Anticaspa Shampoo Intensivo 150ml,Profuse,56518,7896658034619,83.9,79.9,"Zetar Anticaspa Shampoo Diário 200ml Leve Zetar Anticaspa Shampoo Intensivo 150ml Por Apenas R$19,90"
sp-59146,Dercos Energizante Shampoo Antiqueda Refil 200ml,Vichy,58772,7899706254373,81.99,81.99,"<h3 class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">APRESENTAÇÃO&nbsp;</span></h3><p class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">O </span><a href=""/dermocosmeticos/cuidados-com-os-cabelos"" rel=""noopener noreferrer"" target=""_blank"" style=""color: rgb(0, 0, 0); background-color: transparent;""><strong>Dercos Energizante Shampoo Antiqueda</strong></a><strong style=""color: rgb(0, 0, 0); background-color: transparent;""> previne a queda de cabelo </strong><span style=""color: rgb(0, 0, 0); background-color: transparent;"">enquanto ajuda a </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">fortalecer</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;""> e </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">hidratar</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;""> os fios e faz com que o couro cabelo fique saudável e equilibrado. Possui o </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">aminexil</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;"">, uma </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">molécula antiqueda</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;""> patenteada, que atua </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">reduzindo</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;""> o processo de </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">envelhecimento</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;""> </span><strong style=""color: rgb(0, 0, 0); background-color: transparent;"">prematuro das raízes</strong><span style=""color: rgb(0, 0, 0); background-color: transparent;"">, o qual é um dos responsáveis pelo afinamento e enrijecimento dos fios.&nbsp;</span></p><h3><span style=""color: rgb(0, 0, 0); background-color: transparent;"">COMPOSIÇÃO</span></h3><p class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">Ingredientes: Aqua / Water, Sodium Laureth Sulfate, Citric Acid, Disodium Cocoamphodiacetate, Glycol Distearate, Ammonium Hydroxide, Carbomer, Diaminopyrimidine Oxide, Disodium Ricinoleamido Mea-sulfosuccinate, Hexylene Glycol, Niacinamide, Panthenol, Peg-55 Propylene Glycol Oleate, Polyquaternium-10, Propylene Glycol, Pyridoxine Hcl, Salicylic Acid, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Parfum / Fragrance.</span></p><h3><span style=""color: rgb(0, 0, 0); background-color: transparent;"">PARA QUE É INDICADO</span></h3><p class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">Indicado para:</span></p><ul><li class=""ql-align-justify""><span style=""background-color: transparent;"">Tratar a queda de cabelo</span></li><li class=""ql-align-justify""><span style=""background-color: transparent;"">Fortalecer os cabelos fracos e frágeis</span></li><li class=""ql-align-justify""><span style=""background-color: transparent;"">Dar resistência aos fios</span></li></ul><h3 class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">COMO DEVO USAR</span></h3><p class=""ql-align-justify""><span style=""color: rgb(0, 0, 0); background-color: transparent;"">Aplique o produto no cabelo molhado, massageie o couro cabeludo e as mechas do cabelo, e deixe o produto agir por 1 minuto. Logo após, enxágue até retirar todo o produto do cabelo e repita a aplicação. Use frequentemente para melhores resultados e em caso de dúvidas consulte um médico dermatologista. Se o produto entrar em contato com os olhos, enxágue imediatamente. Para um tratamento mais eficaz é recomendado usar toda a linha de Dercos Energizante.</span></p>"
sp-58379,Doctar Plus Shampoo Anticaspa Intensivo 240ml,Darrow,58379,3282770143942,82.99,82.99,"Doctar, a linha anticaspa N1º mais prescrita pelos dermatologistas. 
Doctar Plus Shampoo Dermatológico Anticaspa Intensivo é um tratamento com fórmula patenteada no combate à descamação severa. Proporciona resultados contra a caspa desde a 1ª aplicação. Testado dermatologicamente e comprovado cientificamente, Doctar Plus proporciona redução de 84% de caspas no 1º uso, tem 0% de sulfato e possui 87% de ingredientes naturais. É hipoalergênico e sem parabenos, corantes, petrolatos, silicones e sal (NaCl). Doctar Plus não resseca os fios e deixa uma sensação de frescor. Doctar  Shampoo Dermatológico Anticaspa possui a maior eficácia terapêutica contra a caspa severa. Além de combater a descamação, a sua nova fórmula exclusiva protege a fibra capilar e promove uma redução da oleosidade sem agredir os fios.
Benefícios:
. Eficácia imediata contra: descamação, coceira, vermelhidão
. -84% de caspas no 1º uso
. Protege a fibra capilar
. Não resseca os fios
. Reduz a oleosidade
. Deixa uma sensação de frescor
. 0% de sulfato
. 87% de ingredientes naturais
. Sem silicone, parabenos, petrolatos e sal (NaCl)
. Testado dermatologicamente e comprovado cientificamente
. Cruelty Free - sem teste em animais
Modo de uso:
Aplique nos cabelos molhados massageando o couro cabeludo de 1 a 2 minutos. Enxague e repita a operação. Doctar Plus pode ser usado como shampoo diário até o controle da caspa e descamação nas primeiras semanas. Após, para manter os resultados obtidos, aplique o produto de 2 a 3 vezes por semana ou conforme orientação do seu dermatologista.
Por que funciona?
Graças a sua combinação de seus ativos, confere eficácia imediata contra a descamação, coceira e vermelhidão, além de proteger a fibra capilar. Sua eficácia é garantida devido ao poder antifúngico e antiflamatório do Ictiol 1,5%, a ação queratolítica e queratorredutora do Ácido Salicílico 2%, a potência antifúngica e antimicrobiana do Sepicide G e a eficiência na proteção da fibra capilar do Pellicer. A ação queratolítica elimina a camada superficial das caspas que ficam grudadas no couro cabeludo. Já a ação queratorredutora diminui a formação das placas de caspa.

Testes clínicos:
Eficácia na redução da descamação desde o 1º uso.
- 84% menos caspa após o primeiro uso
- 91% menos caspa após 4 semanas de uso
Eficácia da redução da vermelhidão.
- 35% menos vermelhidão após o primeiro uso
- 60% menos vermelhidão após 8 semanas de uso
Eficácia na redução da oleosidade
- 82% menos oleosidade após o primeiro uso
PROTOCOLO
Estudo exploratório, aberto, randomizado, monocêntrico, para avaliação da eficácia clínica anticaspa em 60 voluntários (33M/24H), idades entre 19 e 64 anos,com caspa moderada à grave divididos em dois grupos de 30 participantes para avaliação comparativa entre Doctar Shampoo e Doctar Plus Shampoo durante 57 dias, com aplicação diária nos primeiros 15 dias e, após, 3x por semana."
