Produto ID,Nome,Marca,SKU,EAN,Preço sem Desconto,Preço com Desconto,Descrição
sp-112642,Faixa Elástica para Exercícios Mercur Amarela Suave - Metro,Mercur,,7896342907106,0.0,0.0,"@import url(https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css);    .description-prod {    color: #000000;}.description-prod h2 {    text-align: center;}    .table-box {    display: table;    width: 100%;    border: solid 0.5 #c0bfbf;    border-collapse: collapse;    box-sizing: border-box;    box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;}.row-box {    display: table-row;    background-color: #f1f1f1;    position: relative;}.row-box2 {    display: table-row;    background-color: #dcdcdc;    position: relative;}.cel-box {    display: table-cell;    padding: 5px;    width: 50%;    border: #c0bfbf solid 0.5px;}.tabela-desk-screen{    display: block;}.tabela-mobile-screen{    display: none;}@import url(https://fonts.googleapis.com/css2?family=Poppins:wght@100;200;300;400;500;600;800;900&display=swap);.btn-pdr {    display: flex;    text-decoration: none;    border: solid .5px #03904a;    background-color: #03904a;    border-radius: 5px;    padding: .5rem;    margin-bottom: 1rem;    margin-top: 1rem;    color: #ffffff;    font-size: 18px;    font-weight: 500;    cursor: pointer;    box-sizing: border-box;    transform: translate3d(0, 0, 0);    transition: all 150ms;    width: 400px;    align-items: center;    align-content: center;    justify-content: center;    min-height: 50px;    font-family: 'Poppins', sans-serif;}.btn-pdr:hover {    opacity: .8;}.btn-pdr:focus {    box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;}.attn-box {    background-color: #f1f1f1;    width: 100%;    box-sizing: border-box;    border-radius: .5em;    padding: .5rem;    margin-top: 1rem;    margin-bottom: 1rem;    box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;}@media screen and (max-width: 639px){    .btn-pdr {        width: 100%;    }    .tabela-desk-screen{    display: none;}.tabela-mobile-screen{    display: block;}.attn-box h3{    text-align: center;}}Faixa Elástica para Exercícios Mercur - Amarela (Suave)As Faixas Elásticas para Exercícios Mercur auxiliam pessoas no fortalecimento e resistência de todo o corpo, na melhora da coordenação motora e habilidades funcionais, no aumento da mobilidade, flexibilidade e força, na prevenção e na reabilitação de lesões, no treinamento esportivo, no condicionamento físico e no tratamento pós-operatório.IndicaçãoAs Faixas Elásticas auxiliam no fortalecimento e resistência dos músculos e articulações, melhoram a coordenação motora e habilidades funcionais, auxiliam no aumento da mobilidade, flexibilidade e força, em caso de:Reabilitação de lesões;Tratamento pós-operatório de traumas e lesões;Treinamento esportivo.Podem ser utilizados para exercícios em:Fisioterapia (cinesioterapia);Terapia ocupacional;Ortopedia;Medicina do esporte;Pediatria;Geriatria;Neurologia;Medicina do trabalho;Educação física;Cuidados intensivos;Terapia domiciliar.CORRESISTÊNCIAFORÇA/PESO (KG) CORRESPONDENTE AO ALONGAMENTO (%)% DE ALONGAMENTO NO COMPRIMENTO DA FAIXA50% (KG)100% (KG)150% (KG)200% (KG)AMARELASUAVE1,11,51,82,1VERMELHAMÉDIA1,52,02,52,8VERDEFORTE1,92,53,03,6AZULEXTRA FORTE2,33,13,64,2PRETAFORTE ESPECIAL2,73,94,85,6PRATASUPER FORTE4,05,56,98DOURADAMÁXIMA5,17,49,010,7RESISTÊNCIASAMARELASUAVEVERMELHAMÉDIAVERDEFORTEAZULEXTRA FORTEPRETAFORTE ESPECIALPRATASUPER FORTEDOURADAMÁXIMA* Os valores das forças informados são médias estabelecidas através de testes.    Podem acontecer pequenas variações de acordo com a espessura da faixa.ESPECIFICAÇÕESCódigo:BC 1468-AMCor:AmarelaResistências:(Suave)Composição:Látex naturalANVISA:10340440061ATENÇÃO Contém látex natural em sua composição, por isso, deve ser evitado por pessoas que apresentam sensibilidade ao material.Este item é vendido por METROPara dicas de exercícios acesse ao catálago de exercícios Mercur clicando no botão abaixo.Clique AquiAs cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-112625,Faixa Elástica para Exercícios Mercur Vermelho Média - metro,Mercur,,7896342907175,0.0,0.0,"@import url(https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css);    .description-prod {        color: #000000;    }    .description-prod h2 {        text-align: center;    }    .table-box {        display: table;        width: 100%;        border: solid 0.5 #c0bfbf;        border-collapse: collapse;        box-sizing: border-box;        box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;    }    .row-box {        display: table-row;        background-color: #f1f1f1;        position: relative;    }    .row-box2 {        display: table-row;        background-color: #dcdcdc;        position: relative;    }    .cel-box {        display: table-cell;        padding: 5px;        width: 50%;        border: #c0bfbf solid 0.5px;    }    .tabela-desk-screen {        display: block;    }    .tabela-mobile-screen {        display: none;    }    @import url(https://fonts.googleapis.com/css2?family=Poppins:wght@100;200;300;400;500;600;800;900&display=swap);    .btn-pdr {        display: flex;        text-decoration: none;        border: solid .5px #03904a;        background-color: #03904a;        border-radius: 5px;        padding: .5rem;        margin-bottom: 1rem;        margin-top: 1rem;        color: #ffffff;        font-size: 18px;        font-weight: 500;        cursor: pointer;        box-sizing: border-box;        transform: translate3d(0, 0, 0);        transition: all 150ms;        width: 400px;        align-items: center;        align-content: center;        justify-content: center;        min-height: 50px;        font-family: 'Poppins', sans-serif;    }    .btn-pdr:hover {        opacity: .8;    }    .btn-pdr:focus {        box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;    }    .attn-box {        background-color: #f1f1f1;        width: 100%;        box-sizing: border-box;        border-radius: .5em;        padding: .5rem;        margin-top: 1rem;        margin-bottom: 1rem;        box-shadow: rgba(9, 30, 66, 0.25) 0px 1px 1px, rgba(9, 30, 66, 0.13) 0px 0px 1px 1px;    }    @media screen and (max-width: 639px) {        .btn-pdr {            width: 100%;        }        .tabela-desk-screen {            display: none;        }        .tabela-mobile-screen {            display: block;        }        .attn-box h3 {            text-align: center;        }    }Faixa Elástica para Exercícios Mercur - Vermelho (Média)As Faixas Elásticas para Exercícios Mercur auxiliam pessoas no fortalecimento e resistência de todo o corpo, na melhora da coordenação motora e habilidades funcionais, no aumento da mobilidade, flexibilidade e força, na prevenção e na reabilitação de lesões, no treinamento esportivo, no condicionamento físico e no tratamento pós-operatório.IndicaçãoAs Faixas Elásticas auxiliam no fortalecimento e resistência dos músculos e articulações, melhoram a coordenação motora e habilidades funcionais, auxiliam no aumento da mobilidade, flexibilidade e força, em caso de:Reabilitação de lesões;Tratamento pós-operatório de traumas e lesões;Treinamento esportivo.Podem ser utilizados para exercícios em:Fisioterapia (cinesioterapia);Terapia ocupacional;Ortopedia;Medicina do esporte;Pediatria;Geriatria;Neurologia;Medicina do trabalho;Educação física;Cuidados intensivos;Terapia domiciliar.CORRESISTÊNCIAFORÇA/PESO (KG) CORRESPONDENTE AO ALONGAMENTO (%)% DE ALONGAMENTO NO COMPRIMENTO DA FAIXA50% (KG)100% (KG)150% (KG)200% (KG)AMARELASUAVE1,11,51,82,1VERMELHAMÉDIA1,52,02,52,8VERDEFORTE1,92,53,03,6AZULEXTRA FORTE2,33,13,64,2PRETAFORTE ESPECIAL2,73,94,85,6PRATASUPER FORTE4,05,56,98DOURADAMÁXIMA5,17,49,010,7RESISTÊNCIASAMARELASUAVEVERMELHAMÉDIAVERDEFORTEAZULEXTRA FORTEPRETAFORTE ESPECIALPRATASUPER FORTEDOURADAMÁXIMA* Os valores das forças informados são médias estabelecidas através de testes.    Podem acontecer pequenas variações de acordo com a espessura da faixa.ESPECIFICAÇÕESCódigo:BC 1468-VMCor:VermelhoResistências:MédiaComposição:Látex naturalANVISA:10340440061ATENÇÃO Contém látex natural em sua composição, por isso, deve ser evitado por pessoas que apresentam sensibilidade ao material.Este item é vendido por METROPara dicas de exercícios acesse ao catálago de exercícios Mercur clicando no botão abaixo.Clique AquiAs cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-112885,Faixa Elástica para Exercícios TheraBand Verde Forte - metro,Chantal,,7898493366023,0.0,0.0,".description-prod {        color: #000000;    }    .description-prod h2 {        text-align: center;    }    .table-box {        display: table;        width: 100%;        border: solid 0.5 #c0bfbf;        border-collapse: collapse;        box-sizing: border-box;    }    .row-box {        display: table-row;        background-color: #f1f1f1;        position: relative;    }    .row-box2 {        display: table-row;        background-color: #dcdcdc;        position: relative;    }    .cel-box {        display: table-cell;        padding: 5px;        margin: 5px;        border: #c0bfbf solid 0.5px;    }    .flex-container-bst {        display: flex;        flex-direction: row;        overflow-x: auto;        align-content: flex-start;        align-items: stretch;        width: 100%;        height: auto;    }    .btn-link-bst{        display: flex;        flex-direction: column;        box-shadow: rgba(9, 30, 66, 0.25) 0px 4px 8px -2px, rgba(9, 30, 66, 0.08) 0px 0px 0px 1px;        box-sizing: border-box;        border-radius: 10px;        text-align: center;        align-items: center;        text-decoration: none;        width: fit-content;        padding: .5rem;        font-size: 16px;        font-weight: 500;        margin: 1rem;        color: #000000;        }Faixa Elástica Para Exercícios TheraBand VerdeForteAs Faixas elásticas para exercícios TheraBand ajudam os usuários a reabilitar lesões, melhorar a        vida funcional, melhorar o desempenho atlético e facilitam a medição do progresso e o alcance de metas de        condicionamento físico ou terapia.As faixas de resistência são fáceis de usar, convenientes, portáteis e são uma alternativa eficaz para pesos        livres e        máquinas de musculação.Com original sistema de resistência progressiva, são confeccionadas em borracha e apresentam 8 níveis de        elasticidade, cada qual com uma cor diferente.Proporciona fortalecimento muscular.BenefíciosUm produto de alta qualidade e fácil de usar projetado para treinamento de resistência, reabilitação e pode            ser            facilmente integrado em uma variedade de exercíciosMelhora a força, a amplitude de movimento e a flexibilidade em um produto portátil e simples de usar que            funciona na clínica, na academia, em casa ou em movimentoA resistência progressiva codificada por cores fornece documentação rápida do progresso de um nível para o            próximoFeito com látex de borracha natural da mais alta qualidadeIndicações:Alongamento;Treinamento esportivo e condicionamento físico;Fortalecimento Muscular;Ganho de Amplitude de Movimento;Treino de Coordenação Motora;Reabilitação pós traumática e cirúrgica.Características:Confeccionada em borracha natural com diferentes níveis de resistência.Sistema Progressivo de Resistência                        Produtos confeccionados em látex                        Resistência em quilogramaCor/Resistência                    Progressão da força                        muscular100% alongado200% alongadoBronze (extrassuave)-1.11.5Amarelo (suave)25%1.32.0Vermelho (médio)25%1.72.5Verde (forte)25%2.13.0Azul (extraforte)25%2.63.9Preto (forte especial)25%3.34.6Prata (super forte)40%4.66.9Ouro (máximo)40%6.59.5ImportantePara a execução correta e saudável dos exercícios, recomenda-se procurar a orientação e o acompanhamento de            um            profissional especializado;Algumas pessoas podem ser sensíveis à borracha natural utilizada neste produto;Caso note alguma irritação na pele, interrompa o uso e procure seu médico;Não use se estiver com furos ou rasgos, eles podem favorecer o rompimento da faixa durante os exercícios;        Nunca utilize de maneira que possa atingir a cabeça, especialmente os olhos;Mantenha as faixas longe de objetos pontiagudos, para evitar cortes e furos acidentais;As faixas devem ser usadas sem relógios, anéis, pulseiras, unhas compridas e outros objetos que possam furar            ou            rasgar o produto;Não prenda e/ou amarre o produto em nenhum móvel ou porta, pois isso pode acarretar em rasgos e furos que            podem            rompê-lo;Mantenha-o sempre em local fresco, longe da luz e de qualquer fonte de calor;Mantenha fora do alcance de crianças.ESPECIFICAÇÕESLargura:14cmEspessura:0,27mmCor:VerdeResistência:MáximaComposição:LátexANVISA:80041210067Veja Todas as cores da Faixa Elástica Thera BandClicando AquiAtenção! Este item é vendido por metro.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade        aplicada.        Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.        Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-112702,Faixa Elástica para Exercícios TheraBand Azul Extra Forte - metro,Chantal,,7898493366030,0.0,0.0,".description-prod {        color: #000000;    }    .description-prod h2 {        text-align: center;    }    .table-box {        display: table;        width: 100%;        border: solid 0.5 #c0bfbf;        border-collapse: collapse;        box-sizing: border-box;    }    .row-box {        display: table-row;        background-color: #f1f1f1;        position: relative;    }    .row-box2 {        display: table-row;        background-color: #dcdcdc;        position: relative;    }    .cel-box {        display: table-cell;        padding: 5px;        margin: 5px;        border: #c0bfbf solid 0.5px;    }    .flex-container-bst {        display: flex;        flex-direction: row;        overflow-x: scroll;        align-content: flex-start;        align-items: stretch;        width: 100%;        height: auto;    }Faixa Elástica Para Exercícios TheraBand AzulIntensidade Extra ForteAs Faixas elásticas para exercícios TheraBand ajudam os usuários a reabilitar lesões, melhorar a        vida funcional, melhorar o desempenho atlético e facilitam a medição do progresso e o alcance de metas de        condicionamento físico ou terapia.As faixas de resistência são fáceis de usar, convenientes, portáteis e são uma alternativa eficaz para pesos        livres e        máquinas de musculação.Com original sistema de resistência progressiva, são confeccionadas em borracha e apresentam 8 níveis de        elasticidade, cada qual com uma cor diferente.Proporciona fortalecimento muscular.BenefíciosUm produto de alta qualidade e fácil de usar projetado para treinamento de resistência, reabilitação e pode            ser            facilmente integrado em uma variedade de exercíciosMelhora a força, a amplitude de movimento e a flexibilidade em um produto portátil e simples de usar que            funciona na clínica, na academia, em casa ou em movimentoA resistência progressiva codificada por cores fornece documentação rápida do progresso de um nível para o            próximoFeito com látex de borracha natural da mais alta qualidadeIndicações:Alongamento;Treinamento esportivo e condicionamento físico;Fortalecimento Muscular;Ganho de Amplitude de Movimento;Treino de Coordenação Motora;Reabilitação pós traumática e cirúrgica.Características:Confeccionada em borracha natural com diferentes níveis de resistência.Sistema Progressivo de Resistência                        Produtos confeccionados em látex                        Resistência em quilogramaCor/Resistência                    Progressão da força                        muscular100% alongado200% alongadoBronze (extrassuave)-1.11.5Amarelo (suave)25%1.32.0Vermelho (médio)25%1.72.5Verde (forte)25%2.13.0Azul (extraforte)25%2.63.9Preto (forte especial)25%3.34.6Prata (superforte)40%4.66.9Ouro (máximo)40%6.59.5ImportantePara a execução correta e saudável dos exercícios, recomenda-se procurar a orientação e o acompanhamento de            um            profissional especializado;Algumas pessoas podem ser sensíveis à borracha natural utilizada neste produto;Caso note alguma irritação na pele, interrompa o uso e procure seu médico;Não use se estiver com furos ou rasgos, eles podem favorecer o rompimento da faixa durante os exercícios;        Nunca utilize de maneira que possa atingir a cabeça, especialmente os olhos;Mantenha as faixas longe de objetos pontiagudos, para evitar cortes e furos acidentais;As faixas devem ser usadas sem relógios, anéis, pulseiras, unhas compridas e outros objetos que possam furar            ou            rasgar o produto;Não prenda e/ou amarre o produto em nenhum móvel ou porta, pois isso pode acarretar em rasgos e furos que            podem            rompê-lo;Mantenha-o sempre em local fresco, longe da luz e de qualquer fonte de calor;Mantenha fora do alcance de crianças.ESPECIFICAÇÕESLargura:14 cm.Espessura:0,33mmCor:Azul.Resistência:Intensidade Extra Forte.Composição:LátexANVISA:80041210067Atenção! Este item é vendido por metro.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade        aplicada.        Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.        Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-118611,Mini Pistola Massageadora Dellamed Bivolt,Dellamed,,7908607305746,0.0,0.0,"Mini Pistola Massageadora Dellamed  Experimente o máximo em alívio e relaxamento com a Mini Pistola Massageadora Dellamed. Projetada para proporcionar uma experiência única de massagem, esta poderosa ferramenta é sua aliada perfeita para aliviar o estresse e promover o bem-estar.    Características e Benefícios:    Ponteiras com Substituição Simples e Rápida: Personalize sua experiência de massagem com facilidade, trocando as ponteiras de forma rápida e descomplicada.    Desenho Super Anatômico, Facilita o Manuseio: O design ergonômico da Mini Pistola Massageadora Dellamed proporciona um manuseio confortável, permitindo que você alcance áreas de difícil acesso com facilidade.    6 Níveis de Intensidade: Escolha entre diferentes níveis de intensidade para adaptar a massagem às suas necessidades específicas, proporcionando um alívio personalizado.    Tecnologia de Ajuste de Intensidade de Acordo com a Pressão Aplicada: Inovadora tecnologia que ajusta automaticamente a intensidade da massagem com base na pressão aplicada, garantindo conforto e eficácia.    Auxilia no Combate às Celulites: Além de promover o relaxamento muscular, a Mini Pistola Massageadora Dellamed é uma aliada na luta contra as celulites, melhorando a circulação e estimulando a regeneração celular.    Ideal para Ser Usado em Diversos Locais: Seja no pescoço, ombros, braços, abdômen, lombar, coxa ou panturrilha, esta pistola massageadora é versátil e eficaz em todas as áreas do corpo.    Pode ser Transportada no Avião: Leve sua mini pistola massageadora para onde quer que vá, pois ela atende às regulamentações para transporte em aviões.    Case Inclusa: Guarde e transporte sua Mini Pistola Massageadora Dellamed com facilidade e estilo, graças ao case inclusa, que proporciona proteção e praticidade.    Revitalize sua rotina diária com a Mini Pistola Massageadora Dellamed e descubra uma maneira inovadora de cuidar do seu corpo. Experimente o conforto e a eficácia de uma massagem personalizada, onde e quando quiser. Compre agora e invista no seu bem-estar!    Dimensões:  Altura: 13 cm  Largura: 14 cm  Profundidade: 5 cm  Peso: 474 g    Garantia de 12 meses."
sp-112776,Faixa Elástica para Exercícios TheraBand Preto Forte Especial - metro,Chantal,,7898493366047,0.0,0.0,".description-prod {        color: #000000;    }    .description-prod h2 {        text-align: center;    }    .table-box {        display: table;        width: 100%;        border: solid 0.5 #c0bfbf;        border-collapse: collapse;        box-sizing: border-box;    }    .row-box {        display: table-row;        background-color: #f1f1f1;        position: relative;    }    .row-box2 {        display: table-row;        background-color: #dcdcdc;        position: relative;    }    .cel-box {        display: table-cell;        padding: 5px;        margin: 5px;        border: #c0bfbf solid 0.5px;    }    .flex-container-bst {        display: flex;        flex-direction: row;        overflow-x: auto;        align-content: flex-start;        align-items: stretch;        width: 100%;        height: auto;    }    .btn-link-bst{        display: flex;        flex-direction: column;        box-shadow: rgba(9, 30, 66, 0.25) 0px 4px 8px -2px, rgba(9, 30, 66, 0.08) 0px 0px 0px 1px;        box-sizing: border-box;        border-radius: 10px;        text-align: center;        align-items: center;        text-decoration: none;        width: fit-content;        padding: .5rem;        font-size: 16px;        font-weight: 500;        margin: 1rem;        color: #000000;        }Faixa Elástica Para Exercícios TheraBand PretaForte EspecialAs Faixas elásticas para exercícios TheraBand ajudam os usuários a reabilitar lesões, melhorar a        vida funcional, melhorar o desempenho atlético e facilitam a medição do progresso e o alcance de metas de        condicionamento físico ou terapia.As faixas de resistência são fáceis de usar, convenientes, portáteis e são uma alternativa eficaz para pesos        livres e        máquinas de musculação.Com original sistema de resistência progressiva, são confeccionadas em borracha e apresentam 8 níveis de        elasticidade, cada qual com uma cor diferente.Proporciona fortalecimento muscular.BenefíciosUm produto de alta qualidade e fácil de usar projetado para treinamento de resistência, reabilitação e pode            ser            facilmente integrado em uma variedade de exercíciosMelhora a força, a amplitude de movimento e a flexibilidade em um produto portátil e simples de usar que            funciona na clínica, na academia, em casa ou em movimentoA resistência progressiva codificada por cores fornece documentação rápida do progresso de um nível para o            próximoFeito com látex de borracha natural da mais alta qualidadeIndicações:Alongamento;Treinamento esportivo e condicionamento físico;Fortalecimento Muscular;Ganho de Amplitude de Movimento;Treino de Coordenação Motora;Reabilitação pós traumática e cirúrgica.Características:Confeccionada em borracha natural com diferentes níveis de resistência.Sistema Progressivo de Resistência                        Produtos confeccionados em látex                        Resistência em quilogramaCor/Resistência                    Progressão da força                        muscular100% alongado200% alongadoBronze (extrassuave)-1.11.5Amarelo (suave)25%1.32.0Vermelho (médio)25%1.72.5Verde (forte)25%2.13.0Azul (extraforte)25%2.63.9Preto (forte especial)25%3.34.6Prata (super forte)40%4.66.9Ouro (máximo)40%6.59.5ImportantePara a execução correta e saudável dos exercícios, recomenda-se procurar a orientação e o acompanhamento de            um            profissional especializado;Algumas pessoas podem ser sensíveis à borracha natural utilizada neste produto;Caso note alguma irritação na pele, interrompa o uso e procure seu médico;Não use se estiver com furos ou rasgos, eles podem favorecer o rompimento da faixa durante os exercícios;        Nunca utilize de maneira que possa atingir a cabeça, especialmente os olhos;Mantenha as faixas longe de objetos pontiagudos, para evitar cortes e furos acidentais;As faixas devem ser usadas sem relógios, anéis, pulseiras, unhas compridas e outros objetos que possam furar            ou            rasgar o produto;Não prenda e/ou amarre o produto em nenhum móvel ou porta, pois isso pode acarretar em rasgos e furos que            podem            rompê-lo;Mantenha-o sempre em local fresco, longe da luz e de qualquer fonte de calor;Mantenha fora do alcance de crianças.ESPECIFICAÇÕESLargura:14cmEspessura:0,40mmCor:PretaResistência:MáximaComposição:LátexANVISA:80041210067Veja Todas as cores da Faixa Elástica Thera BandClicando AquiAtenção! Este item é vendido por metro.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade        aplicada.        Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.        Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-106366,Lancheira Bolsa Térmica Marmita Fitness Neoprene  - Diversos Modelos | Flores,Ideal Produtos Ortopédicos,,7899570909874,0.0,0.0,"<p>**Lancheira Térmica em Neoprene: Características e Especificações**</p><p><br></p><p>**Dimensões:**</p><p>- Altura com a alça de mão: 30 cm</p><p>- Largura: 30 cm</p><p>- Largura do fundo da lancheira: 18 cm</p><p><br></p><p>**Peso:**</p><p>- 300g</p><p><br></p><p>**Peso Máximo Suportado:**</p><p>- 2kg</p><p><br></p><p>**Material:**</p><p>- Neoprene</p><p><br></p><p>**Características:**</p><p>- **Material de Qualidade:** As lancheiras térmicas são confeccionadas em neoprene original, conhecido por manter a temperatura. É amplamente utilizado para acondicionar e transportar pequenas refeições, como lanches, sucos e frutas. Os tecidos estampados são de alta qualidade, fornecidos por grandes empresas do mercado da moda.</p><p>- **Forro Interno:** Internamente, as lancheiras são totalmente forradas com nylon emborrachado, sendo impermeável. Esse revestimento auxilia na manutenção da temperatura e facilita a limpeza, sendo um diferencial exclusivo da nossa indústria.</p><p>- **Detalhes de Acabamento:** As lancheiras possuem acabamentos com costuras e fechamento em zíper, permitindo uma pequena troca de temperatura com o ambiente. A manutenção térmica dos alimentos pode variar de acordo com a temperatura externa. Recomenda-se envolver alimentos e bebidas em embalagens para evitar vazamentos pelas costuras, proporcionando maior higiene e segurança no transporte.</p><p>- **Acessório:** Todas as lancheiras possuem alça a tiracolo removível e ajustável, proporcionando praticidade no transporte.</p><p><br></p><p>**Observações:**</p><p>- Recomenda-se o uso de embalagens adicionais para alimentos e bebidas durante o transporte para evitar vazamentos.</p><p>- A manutenção térmica pode variar de acordo com as condições externas.</p><p><br></p><p>**Nota:** Para informações mais específicas ou personalizações, entre em contato conosco.</p>"
sp-115783,Corda de Pular Hidrolight FL06 com Contador de Giros,Hidrolight,,7898336433943,0.0,0.0,"<p><strong>Corda de Pular com Contador de Giros Hidrolight</strong></p><p>A Corda de Pular com Contador de Giros Hidrolight FL06A foi desenvolvida para proporcionar uma ótima atividade aeróbica durante o treino.</p><p>Proporciona excelente atividade aeróbica, elevando a frequência cardíaca e fortalecendo os músculos das pernas e glúteos, resultando em uma queima elevada de calorias.</p><p>Com contador de giros acionado por botão na manopla, a corda da Hidrolight é feita de PVC resistente, e as manoplas são emborrachadas, proporcionando durabilidade e resistência.</p><p><strong>Indicações:</strong></p><p>Indicada para manter a forma e fortalecer os músculos das pernas e glúteos.</p><p><strong>Características:</strong></p><ul><li>Composição: Corda em PVC; manoplas emborrachadas;</li><li>Dimensões do Produto: 3,17 metros (contando as manoplas);</li><li>Tamanho: Único;</li><li>Peso Aproximado: 360 g.</li></ul><p><strong>Atenção!</strong> Este item é vendido por unidade.</p><p><strong>As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.</strong></p><p><strong>Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.</strong></p><p><strong>Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante.</strong></p>"
sp-104528,Garrafa Térmica H200 Inox com Infusor Laranja 1200ml Hiddra,Hiddra,,7896217422772,0.0,0.0,"GARRAFA TERMICA H200 INOX COM INFUSOR LARANJA 1200MLGarrafa t&eacute;rmica Hiddra GRANDE feita em inox 18/8 com parede dupla livre de BPA, tampa de silicone, n&atilde;o ret&eacute;m odor ou gosto e mant&eacute;m a temperatura por mais tempo e com capacidade de 1,2 litros.Zero Condensa&ccedil;&atilde;o: a tecnologia de paredes duplas aumenta a termicidade, o que al&eacute;m de evitar que o calor da bebida aque&ccedil;a a parte externa, tamb&eacute;m evita a transpira&ccedil;&atilde;o quando est&aacute; com bebidas frias.Essa &eacute; a sua garrafa para levar chazinho ou suco para manter a energia, para mais um dia de luta! Ou at&eacute; para colocar a &aacute;gua e manter fresquinha durante seu treino na academia (para a turma dos suplementos est&aacute; garrafa &eacute; perfeita), em casa, no seu trabalho, na faculdade ou escola, ela &eacute; ideal para ir com voc&ecirc; aonde voc&ecirc; quiser e se manter hidratado todo dia.N&atilde;o acompanha infusor."
sp-104176,Garrafa Térmica H200 Inox com Infusor Verde Musgo 1200ml Hiddra,Hiddra,,7896217424776,0.0,0.0,"GARRAFA TERMICA H200 INOX COM INFUSOR VERDE MUSGO 1200MLGarrafa t&eacute;rmica Hiddra GRANDE feita em inox 18/8 com parede dupla livre de BPA, tampa de silicone, n&atilde;o ret&eacute;m odor ou gosto e mant&eacute;m a temperatura por mais tempo e com capacidade de 1,2 litros.Zero Condensa&ccedil;&atilde;o: a tecnologia de paredes duplas aumenta a termicidade, o que al&eacute;m de evitar que o calor da bebida aque&ccedil;a a parte externa, tamb&eacute;m evita a transpira&ccedil;&atilde;o quando est&aacute; com bebidas frias.Essa &eacute; a sua garrafa para levar chazinho ou suco para manter a energia, para mais um dia de luta! Ou at&eacute; para colocar a &aacute;gua e manter fresquinha durante seu treino na academia (para a turma dos suplementos est&aacute; garrafa &eacute; perfeita), em casa, no seu trabalho, na faculdade ou escola, ela &eacute; ideal para ir com voc&ecirc; aonde voc&ecirc; quiser e se manter hidratado todo dia.N&atilde;o acompanha infusor."
