Produto ID,Nome,Marca,SKU,EAN,Preço sem Desconto,Preço com Desconto,Descrição
sp-55714,Aspirador Nasal Likluc Aspirar Baby,Likluc,55714,0751320866066,104.99,99.99,"<h3>APRESENTAÇÃO:</h3><p>O Aspirador nasal Likluc Aspirar Baby é um produto inovador e útil para a <a href=""https://www.paguemenos.com.br/mamaes-e-bebes"" target=""_blank"">saúde das crianças</a>. Ajuda a remover o excesso de muco do nariz, deixando as crianças respirarem melhor. Além de ser um produto seguro e eficaz, o Aspirador também é fácil de usar e é recomendado para crianças com mais de um ano de idade.</p><p>CONTEÚDO DA EMBALAGEM</p><p class=""ql-align-justify"">Em cada embalagem, há: 1 produto completo com 1 bocal, 1 mangueira, 1 base, 1 ponteira de silicone e 1 estojo plástico).</p><h3>PARA QUE SERVE?</h3><p class=""ql-align-justify"">O Aspirador Nasal Baby é um produto inovador e eficaz para a limpeza do nariz das crianças. Ele é feito de um material suave e flexível, que se adapta perfeitamente ao nariz da criança, e tem uma extremidade arredondada para evitar lesões.</p><h3>COMO DEVO USAR?</h3><p class=""ql-align-justify"">Coloque uma ponta do aspirador no nariz do bebê e outra em sua boca; sugue com suavidade; repita o processo até que o nariz do bebê esteja limpo; lave o produto com água e sabão; seque o aspirador e guarde-o para usar novamente.</p><p><br></p>"
sp-92523,Suganon 5mg Com 30 Comprimidos,Suganon,62496,7891317005641,152.69,131.99,Suganon 5mg Com 30 Comprimidos
sp-51491,Chupeta Avent Recém Nascido De 0 A 2 Meses,Philips Avent,51491,8710103776666,30.44,28.99,Chupeta Avent Recém Nascido De 0 A 2 Meses
sp-115117,Sugador Nasal - Sana Babies,Sana Babies,,7898952193023,0.0,0.0,"ASPIRADOR NASAL - SANA BABIESO Sugador Nasal da SANA BABIES é o inovador sistema no Brasil para remoção da secreção nasal em bebês e crianças, na higiene do dia a dia e em gripes e resfriados.Indicado por Médicos do mundo todo, este produto tem sua qualidade reconhecida mundialmente e por sua eficiência oferece qualidade de vida para crianças de todas as idades, desde o 1º dia de vida até os 4 ou 5 anos, que é quando a criança conseguirá assoar o nariz com eficiência, tanto na higiene do dia a dia como também no combate ao foco infeccioso (gripes e resfriados). Além de contribuir muito no cuidado de pacientes especiais, pois não os submete ao traumático procedimento da aspiração através de sondas, e o Sugador Nasal chega a ser mais eficiente que as sondas!Devido a sua eficiência ajuda a criança a comer, dormir e a respirar melhor e é indicado por sua segurança para o uso ilimitado, atuando rigorosamente nas vias respiratórias superioras.Não é um produto invasivo ao sistema respiratório pulmonar!O sugador nasal funciona através de sucção que é feita por um adulto, através de uma ponteira de silicone bem macia que é colocado na entrada do nariz da criança, não é preciso introduzir no nariz, por isso não machuca!A secreção que sai do nariz da criança fica dentro de uma barreira que tem logo após a ponta do sugador, evitando qualquer contado com a nossa boca.Antes de usar o sugador primeiro lave o nariz da criança com soro fisiológico para umedecer e facilitar a retirada das sujeirinhas e secreções.Materiais Atóxicos e Livre de Bisfenol-A.Produto cadastrado na ANVISA.Conteúdo: 01 sugador nasal completo, composto por ponta e tubo em silicone e cápsula de plástico de poliproprileno.O uso deste produto deve ser feito conforme orientação de um profissional da saúde.Este produto não é um brinquedo, mantenha todas as peças fora do alcance de bebês e crianças.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-115063,Mamatutti Relactação e Suplementação Alimentar Tutticare,Tutti Care,,7898342430394,0.0,0.0,"Facilita a amamentação.Relactação, ou translactação, é um método que possibilita iniciar ou reiniciar a produção de leite da mãe biológica ou adotiva.É usado principalmente pelas mães que não puderam amamentar nos primeiros dias de vida.Desse modo, a criança começa a associar o peito com alimento, evitando assim, o uso da mamadeira, que pode levar a um desmame precoce por confusão de bicos ou por desinteresse do bebê pelo peito pela facilidade de fluxo de leite na mamadeira.- Com a utilização deste método a amamentação continua, enquanto o bebê recebe a suplementação, conforme indicação médica; - Mantém o vínculo entre mãe e filho; - Melhor método para introdução de suplementos; - Gradualmente com o estímulo, a produção do leite poderá aumentar; - Os bebês adotivos recebem o suplemento enquanto sugam o seio; - Continuar amamentando, mesmo com a diminuição da produção do leite materno; - Bebês, cujas mães adotivas desejam tentar amamentar.- Os tubos extensores são esterilizados e seu uso é exclusivo com o MamaTutti, após seu uso devem ser descartados.Contém:01 copo universal 120 ml01 tampa com sobretampa01 disco de vedação03 tubos extensores.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-110243,Umidificador de Ar Ultrassônico Fisher&Price HC055 2.2l - unidade,Multilaser,,7899838891675,0.0,0.0,"Umidificador de Ar UltrassônicoFisher-Price HC055 - 2,2 litrosDesenvolvido para aliviar a tosse seca, congestão nasal e outros sintomas de resfriados e alergias causados pela baixa umidade do ar.Por dias e noites mais tranquilos!CaracterísticasBico direcionável da névoa;Controle do nível de intensidade da névoa;Com compartimento para óleos essenciais;Funcionamento contínuo de 10 horas e com desligamento automático;Capacidade de 2,2 Litros;Acompanha adesivos para customização.Itens inclusos:1 Umidificador ultrassônico;1 Cartela de adesivos;1 Manual de instruções.EspecificaçõesMarcaFisher-PriceVoltagemBivoltPeso950 gSilenciosoSimCapacidade2,2 lRegulagem de NévoaSimDesligamento AutomáticoSimUltrassônicoSimCorBrancaAtenção! Este item é vendido por unidade.As cores apresentadas no site são meramente ilustrativas e podem ou não corresponder com exatidão à tonalidade aplicada.Para mais informações sobre manuseio e cuidados quanto ao uso do produto, consulte o Manual do Usuário.Imagem meramente ilustrativa e a descrição do produto é de responsabilidade do fabricante."
sp-55165,Mamadeira Avent Transparente 125ml,Philips Avent,55165,8710103881315,35.99,35.99,Mamadeira Avent Transparente 125ml
sp-57511,Chupeta Avent Ultra Air Cor Rosa 18m+ C/2,Philips Avent,57511,8710103905745,73.49,69.99,Chupeta Avent Ultra Air Cor Rosa 18m+ C/2
sp-57510,Chupeta Avent Ultra Air Night Rosa De 6 A 18 Meses Com 2 Unidades,Philips Avent,57510,8710103905844,73.49,69.99,Chupeta Avent Ultra Air Night Rosa De 6 A 18 Meses Com 2 Unidades
sp-60070,Bico Para Mamadeira Amorável Silicone Big R6501,Amoravel,59691,7896699033855,9.44,8.99,"<p><strong><em>BICO PARA MAMADEIRA AMORÁVEL SILICONE BIG R6501</em></strong></p><p><em>O bico de mamadeira Amorável </em><strong><em>Ortodôntico BIG </em></strong><em>é ideal para o </em><strong><em>desenvolvimento saudável </em></strong><em>da </em><strong><em>mandíbula </em></strong><em>do </em><strong><em>bebê </em></strong><em>e possui furo M para líquidos </em><strong><em>pouco consistentes</em></strong><em>. </em><strong><em>Proporciona conforto </em></strong><em>e </em><strong><em>segurança </em></strong><em>para o </em><strong><em>bebê</em></strong><em>, com sistema </em><strong><em>anticólica </em></strong><em>e </em><strong><em>estrutura </em></strong><em>que se </em><strong><em>adapta </em></strong><em>ao </em><strong><em>formato </em></strong><em>da </em><strong><em>boca </em></strong><em>da </em><strong><em>criança</em></strong><em>. Confeccionado em material de </em><strong><em>alta qualidade </em></strong><em>em </em><strong><em>silicone macio </em></strong><em>e </em><strong><em>livre </em></strong><em>de </em><strong><em>BPA (Bisfenol A)</em></strong><em>, certificado pelo Inmetro.</em></p><p><strong><em>BENEFÍCIOS</em></strong></p><p><em>Indicado para bebês a partir 6 meses.</em></p><p><em>Produzida em silicone macio.</em></p><p><em>Proporciona conforto e segurança para o bebê.</em></p><p><em>Certificado pelo Inmetro.</em></p><p><em>Livre de BPA (Bisfenol A)</em></p><p><em>Confeccionado em material de alta qualidade.</em></p><p><em>Resistente a fervura.</em></p><p><em>Ideal para o desenvolvimento saudável da mandíbula do bebê.</em></p><p><em>Adapta-se ao formato da boca da criança.</em></p><p><em>Possui sistema anticólica.</em></p><p><strong><em>MODO DE USAR</em></strong></p><p><em>Antes de usar, coloque sempre o bico em água fervente por pelo menos 5 minutos. Este bico pode ser esterilizado em forno micro-ondas e lavado em lava-louças. É importante substituir o bico a cada 1 a 2 meses de uso por motivos de higiene e segurança.</em></p><p><strong><em>RECOMENDAÇÕES</em></strong></p><p><em>Antes de usar, coloque sempre o bico em água fervente por pelo menos 5 minutos.</em></p><p><em>Examine se o bico apresenta rasgo ou perfuração e descarte caso esteja danificado. O furo do bico já está na medida exata. Não é necessário aumentar sob risco de provocar asfixia. Para prevenir cáries dentárias, evite mergulhar o bico em substâncias doces. Utilizar o produto sempre sob supervisão constante de um adulto. Guarde a embalagem e/ou rótulo para eventuais consultas. Este bico pode ser esterilizado em forno micro-ondas conforme instruções do esterilizador e lavado em lava-louças. Verifique o bico periodicamente e impeça que a criança continue com a mamadeira na boca após o uso, para evitar danos causados pelos dentes do bebê. Caso isso ocorra, descarte o bico imediatamente. Substituir o bico após 1 a 2 meses de uso por motivos de higiene e segurança.</em></p><p><em>ADVERTÊNCIAS</em></p><p><em>Nunca use o bico de mamadeira como chupetas. A utilização contínua/prolongada da sucção de líquidos poderá causar cáries dentárias. Não deixe exposto à luz solar ou calor. Mantenha em local seco e ao abrigo de luz. Não permita que a criança brinque com as peças pequenas.</em></p><p><strong style=""color: black;""><em>O Ministério da Saúde adverte: </em></strong><em style=""color: black;"">A criança que mama no peito não necessita de mamadeira, bico ou chupeta. O uso de mamadeira, bico ou chupeta prejudica o aleitamento materno.</em></p>"
