,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
0,DUCRAY ANAPHASE SH 200ML,LABORATORIO PIERRE FABRE,,"R$ 115,99",4389256,92964
1,MASCARA DE TRATAMENTO PANTENE COLAGENO 550ML,PANTENE,,"R$ 32,65",9992641,105364
2,Serum Concentrado Hidratante e Fortalecedor Bioderma Hy...,NAOS BRASIL,,"R$ 109,90",4079937,98732
3,AGUA MICELAR BIODERMA SEBIUM OLEOSA 100ML,NAOS BRASIL,,"R$ 45,90",4079913,93673
4,AGUA MICELAR BIODERMA SENSIBIO PELE SENSIVEL 250ML,NAOS BRASIL,,"R$ 89,90",4079934,97947
5,CREME DS+ SENSIBIO BIODERMA 40ML,BIODERMA,,"R$ 138,90",9992627,105497
6,GEL MOUSSANT BIODERMA SENSIBIO PELE SENSIVEL 200ML,NAOS BRASIL,,"R$ 98,90",4079920,93669
7,AGUA MICELAR BIODERMA SENSIBIO PELE SENSIVEL 500ML,NAOS BRASIL,,"R$ 119,90",4079915,93667
8,CREME AR BIODERMA SENSIBIO 40ML,NAOS BRASIL,,"R$ 144,90",4079916,93666
9,GEL CREME ATODERM BIODERMA INTENSIVE 500ML,BIODERMA,,"R$ 179,90",9992731,105915
10,PROTETOR SOLAR PHOTODERM COVER TOUCH FPS50 CLARA 40GR,NAOS BRASIL,,"R$ 105,59",9993749,106424
12,SENSIBIO GEL TUBO BIODERMA 100ML,BIODERMA,,"R$ 74,90",4079938,98731
13,SERUM BIODERMA HYDRABIO H2O 250ML,NAOS BRASIL,,"R$ 81,90",4079904,90792
14,AGUA MICELAR BIODERMA SENSIBIO PELE SENSIVEL 100ML,NAOS BRASIL,,"R$ 54,90",4078903,93662
15,BAUME ATODERM BIODERMA INTENSIVE 200ML,NAOS BRASIL,,"R$ 110,90",4078985,93661
16,BIODERMA ATODERM BARRA 150G,NAOS BRASIL,,"R$ 57,90",4079902,90796
17,BIODERMA GEL SEBIUM MOUSSANT 200ML,NAOS BRASIL,,"R$ 70,90",9993647,105498
18,CREME ATODERM BIODERMA ULTRA 200ML,NAOS BRASIL,,"R$ 79,90",4079931,97508
19,CREME BIODERMA CICABIO 40ML,NAOS BRASIL,,"R$ 62,90",9992920,105495
20,FORTALECEDOR DE MAOS E UNHAS ATODERM BIODERMA 50ML,BIODERMA,,"R$ 64,49",4079928,97215
21,OLEO BANHO ATODERM BIODERMA 200ML,NAOS BRASIL,,"R$ 112,90",4078603,99223
22,PIGMENTBIO BIODERMA SENSIVEL 75ML,NAOS BRASIL,,"R$ 135,90",9993750,105501
23,PROTETOR SOLAR PHOTODERM COVER TOUCH FPS50 40GR,NAOS BRASIL,,"R$ 94,90",4079906,90797
24,SEBIUM BIODERMA PORE REFINER 30ML,NAOS BRASIL,,"R$ 115,90",4079907,90798
25,SHAMPOO NODE BIODERMA DS+ANTICASPA 125ML,NAOS BRASIL,,"R$ 99,90",9993448,105486
26,PROTETOR SOLAR FACIAL ADCOS STICK NUDE FPS55 17G,ADCOS,,"R$ 169,00",9993449,105485
27,PROTETOR SOLAR FACIAL ADCOS STICK PEACH FPS55 17G,ADCOS,,"R$ 169,00",9991093,103778
28,PROTETOR SOLAR MOUSSE ADCOS MINERAL FPS50 PEACH 50G,ADCOS,,"R$ 169,00",9991094,103779
29,SERUM ADCOS MELAN-OFF CONCENTRADO CLAREADOR 30G,ADCOS,,"R$ 299,00",9991066,103749
30,DERMA COMPLEX ADCOS VITAMINA C20 15ML,ADCOS,,"R$ 199,00",9991065,103748
31,HIDRATANTE FACIAL ADCOS AQUA SERUM 30ML,ADCOS,,"R$ 199,00",9993185,105240
32,PROTETOR SOLAR FACIAL ADCOS STICK PEACH FPS80 17G,ADCOS,,"R$ 169,00",9991195,103881
33,SERUM ADCOS VITAMINA C15 + ACIDO HIALURONICO 15ML,ADCOS,,"R$ 199,00",1258024,84712
34,MANTEIGA DE CACAU LUXO NATURAVENE UNID**,NATURAVENE,,"R$ 4,90",7659918,97475
35,FISIOGEL LOC 100ML,MEGALABS FARMACEUTICA DERMO,,"R$ 56,90",258633,68517
36,CETAPHIL LOCAO HIDRATANTE PELE NORMAL SECA 473ML,GALDERMA BRASIL-DERMO,"R$ 109,90","R$ 99,90",8889927,85633
37,LENCO DEMAQUILANTE NIVEA AZUL 3X1 C/25UNID **,BDF NIVEA LTDA,,"R$ 25,49",7658801,82216
38,FISIOGEL LOC AI 200ML,MEGALABS FARMACEUTICA DERMO,,"R$ 158,90",9990133,102809
39,CERAVE CREME HIDRATANTE SEM PERFUME PELE SECA A EXTRA S...,LOREAL BR- DIV DCA LA ROCHE,"R$ 36,90","R$ 33,90",8884329,85594
40,CREME DE MAOS NIVEA HAND Q10 75G 6290,BDF NIVEA LTDA,,"R$ 20,90",4764202,83740
41,LA ROCHE KERIUM DS SHAMPOO ANTICASPA INTENSIVO 125ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 117,17",4388818,93496
42,AGUA THERMAL AVENE 300ML,LABORATORIO PIERRE FABRE,,"R$ 120,90",7098632,98532
43,CREME FACIAL REVITALIFT HIALURONICO NOTURNO,LOREAL BR- DIV DPGP CAPILAR,"R$ 60,30","R$ 49,90",4769915,83728
44,LA ROCHE EFFACLAR GEL DE LIMPEZA PROFUNDA CONCENTRADO 6...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 49,99",4769938,96655
45,LA ROCHE KERIUM SHAMPOO ANTICASPA 200G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 114,90",3308663,95963
46,NEUTROGENA HYDRO BOOST GEL HIDRATANTE FACIAL WATER 50G,JOHNSON & JOHNSON-HIGIENE,,"R$ 87,30",7094903,93020
47,SKINCEUTICALS BLEMISH+AGE 125ML 9297,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 103,91",4769956,98399
48,CERAVE CREME HIDRATANTE CORPORAL SEM PERFUME PELE SECA ...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 142,65",4769569,97076
49,CERAVE LOÇAO HIDRATANTE FACIAL SEM PERFUME PELE NORMAL ...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 96,90",9991507,104199
50,CREME SERUM FACIAL NIVEA CELLULAR LUMINOUS NOITE 630° 3...,NIVEA,"R$ 135,90","R$ 99,90",7659919,97476
51,FISIOGEL LOCAO A.I 100ML,MEGALABS FARMACEUTICA DERMO,,"R$ 132,90",4768697,95227
52,LA ROCHE EFFACLAR SABONETE CONCENTRADO 70GR,LOREAL BR- DIV DCA LA ROCHE,,"R$ 52,90",4769937,96576
53,LA ROCHE HYALU B5 REPAIR SERUM ANTI-IDADE 30ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 256,90",585001,88927
54,SKINCEUTICALS C E FERULIC 15ML 0491,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 370,75",498812,88109
55,ACTINE SAB BARRA 80GR 1411,DARROW,,"R$ 37,99",4769577,99097
56,CERAVE GEL DE LIMPEZA FACIAL 454G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 99,90",4769954,98269
57,CERAVE LOÇAO HIDRATANTE SEM PERFUME PELE SECA A EXTRA S...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 101,68",253101,68497
58,CETAPHIL CREME HIDRATANTE CORPO PELE SECA E SENSIVEL 45...,CETAPHIL,,"R$ 114,90",9990841,103520
59,DERSANI 200ML LV3 PG2,MEGALABS FARMACEUTICA SA-OTC,,"R$ 199,80",9993077,105118
60,GEL HIDRATANTE CORPO NEUTROGENA HYDRO BOOST WATER 400ML,NEUTROGENA,"R$ 62,99","R$ 45,90",4769945,97742
61,LA ROCHE EFFACLAR BB BLUR CLARA UNIFICADOR 20ML,LOREAL BR- DIV DCA LA ROCHE,"R$ 147,90","R$ 135,90",9992126,104848
62,LA ROCHE EFFACLAR GEL DE LIMPEZA FACIAL ALTA TOLERANCIA...,LA ROCHE - POSAY,,"R$ 98,90",9990710,103389
63,LOC HIDR CORPORAL THERASKIN KLAVIE CLINICAL 390ML,THERASKIN,,"R$ 69,90",3309918,97312
64,NEUTROGENA ESFOLIANTE FACIAL PURIFIED SKIN 100G,JOHNSON & JOHNSON-HIGIENE,,"R$ 58,40",4299903,98215
65,SERUM CLAREADOR THERASKIN KLASSIS TX+PUMP 30GR,THERASKIN,"R$ 179,00","R$ 159,90",9991203,103889
