,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
0,PITAVASTATINA CALCICA GEN 2MG 30 CPR BIOLAB,BIOLAB,"R$ 94,62","R$ 56,77",9993946,106606
1,CIPROFIBRATO GEN 100MG C/60 CPR MEDLEY,MEDLEY - GENERICO,"R$ 86,31","R$ 38,50",9991193,103879
2,"Questran Light 854,4mg/g 50 envelopes",MOKSHA8 - MOKSHA8 BRASIL DISTRI REPRES,"R$ 538,39","R$ 457,63",504301,87433
3,TICLOPIDINA GEN 250MG C/30CPR BIOLAB,BIOLAB - GENERICO,"R$ 63,16","R$ 37,90",9993985,106641
4,VICK XAROPE MEL 100ML,MYRALIS PHARMA,,"R$ 36,01",9994195,105571
5,CAPTOPRIL GEN 25MG 30CPR CIMED,EMS - GENERICOS,"R$ 13,31","R$ 2,69",9995024,107013
6,Apresolina 25mg 20 drageas,NOVARTIS,"R$ 9,70","R$ 8,24",638607,67192
7,"CARVEDILOL GEN 6,25MG C/30CPR BIOLAB",BIOLAB - GENERICO,"R$ 28,89","R$ 17,33",9993996,106652
8,"OLMESART+HIDROCL GEN 20+12,5MG C/30CPR EURO",EUROFARMA,"R$ 54,52","R$ 43,60",9995101,107036
9,Apresolina 50mg 20 Drageas,NOVARTIS,"R$ 12,98","R$ 11,03",638608,67193
10,NAPRIX 5MG C/90CPR,LIBBS,"R$ 183,38","R$ 155,87",9993560,106267
11,COLPOTROFINE 10MG 20APLIC 30GR R THERAMEX,THERAMEX FARMACEUTICA LTDA,"R$ 112,52","R$ 95,64",9992407,105732
12,"CABERGOLINA GEN 0,5MG 2CPR EURO",EUROFARMA,"R$ 86,79","R$ 57,99",9995213,107047
13,ARFLEX 200MG 6CAPS,DIFFUCAP-CHEMOBRAS,"R$ 46,71","R$ 39,70",9994924,106990
14,CALMINEX DICLO AERO 85GR,HYPERA PHARMA,,"R$ 35,00",9993664,106348
15,SALONPAS EMPLASTRO GRANDE COM 2,HISAMITSU,,"R$ 9,43",1254002,88408
16,SEKI XPE 120ML*,ZAMBON,"R$ 29,55","R$ 26,50",998751,88476
17,OXIMETAZOLINA GEN ADULTO 30ML EMS**,EMS,"R$ 16,26","R$ 8,48",9358894,86297
18,BENETOSSE HEDERA 15MG XPE 100ML,HYPERA PHARMA,,"R$ 30,88",9994945,106991
19,FOSTAIR DPI 200MCG/6MCG C/120DOSES,CHIESI,"R$ 237,30","R$ 201,70",9991785,104499
20,"BLUSORO JET INFANTIL 0,9% 100ML",HYPERA PHARMA,,"R$ 45,84",9993101,104984
21,SINUSTRAT HIDRAT NASAL 30ML,BIOLAB,,"R$ 54,49",9994987,107004
22,Proctyl Pomada 30g + 10 aplicadores,TAKEDA,,"R$ 78,54",218663,87259
23,TOPERMA 5% EMPLASTROS C/30,GRUNENTHAL,"R$ 476,33","R$ 404,88",3540802,89725
24,Xylocaina Pomada 50mg/g 25g,ASPEN PHARMA,"R$ 27,94","R$ 23,75",1590518,90462
25,DERMOMAX 4% CREME 5G,ACHE,"R$ 28,60","R$ 24,31",550501,80385
26,DERMOMAX 4% CREME 30G,ACHE,"R$ 127,18","R$ 108,10",550502,80384
27,LIDOCAINA PDA GEN 50MG 25GR EMS,EMS,"R$ 16,93","R$ 14,18",9350502,84139
28,TOPERMA 5% C/10 EMPLASTROS**,GRUNENTHAL,"R$ 184,61","R$ 156,92",3540801,89724
29,DALACIN-C 300MG C/16 CAPSULAS,PFIZER,,"R$ 181,47",470137,80223
30,Advantan 1mg/ml Solucao 20ml,LEO PHARMA,"R$ 111,45","R$ 94,73",748612,66587
31,CYLOCORT PDA 3.5G**,GENOM,"R$ 36,97","R$ 31,42",9213702,94040
32,Tobracort Suspensao Oftalmica 5ml,GENOM,,"R$ 37,78",1253502,89693
33,IRUXOL MONO POM 30GR,ABBOTT,,"R$ 106,52",128646,83377
34,METRONIDAZOL 250MG GEN 20 CPR TEUTO,TEUTO,"R$ 13,58","R$ 11,54",9993676,106359
35,"Tobradex 3mg + 1mg 3,5g",ALCON,,"R$ 49,09",250102,89696
36,ZINNAT 250MG SUSP 50ML,SANDOZ,,"R$ 194,80",650114,90562
37,Zitromax 500mg 3 Comprimidos,PFIZER,,"R$ 44,40",540142,90573
38,AZITROMICINA GEN 500MG C/5 CPR SANDOZ,SANDOZ,,"R$ 40,16",9430123,93548
39,CYLOCORT COLIRIO 5ML,GENOM,"R$ 38,72","R$ 32,91",9213503,80201
40,"MAXITROL PDA 3,5GR",ALCON,"R$ 37,02","R$ 31,47",250223,84857
41,CIPRO 500MG C/14 CPR**,BAYER,,"R$ 447,19",510113,68715
42,GINO KOLLAGENASE 30G,CRISTALIA,"R$ 74,16","R$ 63,04",9994032,106686
43,COLPOTROFINE VAG 20CPS,THERAMEX FARMACEUTICA LTDA,"R$ 94,55","R$ 80,37",1864308,68981
44,"MAXINOM PDA 3,5G",GENOM,"R$ 33,28","R$ 28,29",9210142,84855
45,"Tobracort 3mg + 1mg 3,5g",GENOM,,"R$ 40,73",1253510,89694
46,ZITROMAX 500MG C/2CPR,PFIZER,,"R$ 41,53",540146,90572
47,BETNOVATE CAPILAR 50GR,GSK,"R$ 90,81","R$ 77,19",1998618,67754
48,CIPRO 500MG C/6 CPR,BAYER,,"R$ 218,90",510112,68716
49,AMOXICILINA +CLAV GEN 500MG 21CPR SANDOZ,SANDOZ - GENERICO,"R$ 143,53","R$ 129,00",9993977,105491
50,AXETILCEFUROXIMA GEN 500MG 10CPR RANB,RANBAXY - RANBAXY FARMACEUTICA LTDA,,"R$ 128,89",9993811,106484
51,MEFEX 500MG 10CPR,ACHE,"R$ 127,21","R$ 108,13",9994107,106755
0,LUFTAL GTS 15ML*,RECKITT BENCKISER,"R$ 29,99","R$ 21,15",501033,84510
1,LUFTAGASTROPRO C/1 SACHE 10ML,RECKITT BENCKISER,,"R$ 3,90",7160802,95520
2,20 BI 30 Capsulas,MOMENTA,,"R$ 234,90",2900601,96928
3,PASTILHAS MASTIGAVEIS ENO MENTA C/8,ENO,,"R$ 9,90",9991185,103871
4,SIMETICONA 125MG C/10 CAPS UNIAO,UNIAO QUIMICA,"R$ 24,98","R$ 14,99",200802,93009
5,XANTINON COMPLEX CX C/60 FLAC,UNIAO QUIMICA,,"R$ 211,21",218835,90434
