,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
0,DORFLEX COM 24 COMPRIMIDOS,SANOFI CONSUMO,,"R$ 16,99",370804,97531
1,TARGIFOR C 1G16 COMPRIMIDOS,SANOFI CONSUMO,,"R$ 43,49",378739,89375
2,CREME SERUM FACIAL NIVEA CELLULAR LUMINOUS NOITE 630° 3...,NIVEA,"R$ 135,90","R$ 99,90",9991507,104199
3,CENTRUM MULHER COM 60 COMPRIMIDOS,HALEON,"R$ 132,89","R$ 99,90",618505,68464
4,PROTETOR SOLAR FACIAL ANTHELIOS FPS80 AIRLICIUM ANTIOLE...,LOREAL BR- DIV DCA LA ROCHE,"R$ 98,90","R$ 78,90",9995799,108427
5,NEUTROGENA AGUA MICELAR DEMAQUILANTE PURIFIED SKIN 200M...,JOHNSON & JOHNSON-HIGIENE,"R$ 40,80","R$ 32,90",3308656,96895
6,HIDRAT CORP NEUTROGENA BODY CARE INTENSIVE HIDRATA&SUAV...,NEUTROGENA,"R$ 25,90","R$ 20,90",9991491,104183
7,DESODORANTE NIVEA AERO FEM DRY COMFORT 200ML,NIVEA,"R$ 19,90","R$ 11,90",9993730,106406
8,OS-CAL D 500MG/400UI 60CPR MOBILITY,SANOFI CONSUMO,,"R$ 113,99",620607,86257
9,OsCal D 500mg + 1000UI 60 Comprimidos,SANOFI CONSUMO,,"R$ 125,99",620611,99222
10,OS-CAL 500MG 60CPR MOBILITY,SANOFI CONSUMO,,"R$ 102,99",9994171,105562
11,LACTOSIL FLORAL 8CAPS,APSEN,"R$ 39,90","R$ 19,90",9992174,104905
12,CEWIN 1G C/10CPR EFERV**,SANOFI CONSUMO,"R$ 15,99","R$ 9,99",170601,68556
13,Probiotico Enterogermina Plus com 10 frascos de 5ml cad...,SANOFI CONSUMO,"R$ 70,99","R$ 57,99",373101,99091
14,ENTEROGERMINA PLUS 5MLC/ 5 FLACONETES*,SANOFI CONSUMO,"R$ 44,99","R$ 36,99",620828,94328
15,ENTEROGERMINA 5ML COM 10 FLACONETES*,SANOFI CONSUMO,"R$ 44,99","R$ 36,99",626801,81205
16,ENTEROGERMINA 5ML COM 20 FRASCOS,SANOFI CONSUMO,"R$ 70,99","R$ 57,99",9990103,102779
17,ENTEROGERMINA ADULTO 9ENV 2GR,SANOFI +,"R$ 70,99","R$ 47,99",9994048,106701
18,PHARMATON IMUNIDADE E ENERGIA C/30 CAPS GEL,SANOFI CONSUMO,"R$ 56,99","R$ 45,99",370619,92669
19,PHARMATON IMUNIDADE E ENERGIA C/60 CAPS GEL,SANOFI CONSUMO,"R$ 103,99","R$ 85,99",370621,96160
20,PHARMATON MULHER C/30 CAPS,SANOFI CONSUMO,"R$ 74,99","R$ 49,99",370626,98968
21,Pharmaton Mulher frasco com 60 capsulas,SANOFI CONSUMO,"R$ 138,99","R$ 99,99",370631,99263
22,DORFLEX COM 36 COMPRIMIDOS**,SANOFI CONSUMO,"R$ 21,99","R$ 17,99",244003,91634
23,DORFLEX UNO 1G CAIXA C/10 CPR,SANOFI CONSUMO,"R$ 16,99","R$ 13,99",370807,98914
24,NOVALGINA 1G C/10COMP**,SANOFI CONSUMO,"R$ 22,99","R$ 17,49",620820,97367
25,ALLEGRA 60MG C/10 CPR*,SANOFI CONSUMO,"R$ 43,99","R$ 30,49",628703,66799
26,DORFLEX UNO 1G COM 20 COMPRIMIDOS,SANOFI CONSUMO,"R$ 25,99","R$ 19,99",9990074,102748
27,NOVALGINA 1G C/20CPR,SANOFI +,"R$ 39,99","R$ 31,99",9993740,105554
28,LUFTAFEM 200/500MG C/12CPR,RECKITT,"R$ 29,99","R$ 4,99",9991793,104507
29,RINOSORO JET DESCONGESTIONANTE INFANTIL 0.9% 100ML,HYPERA PHARMA,"R$ 49,80","R$ 42,33",6071801,97784
30,WELEDA GEL DENTAL INFANTIL 50ML,WELEDA - WELEDA DO BRASIL LAB. E FARMACIA LTDA,"R$ 39,61","R$ 32,59",7889901,93408
31,LAVITAN KIDS TUTTI-FRUTI 10CPR EFERVESCENTES,CIMED,"R$ 18,99","R$ 10,90",9995046,107173
32,CREME PARA PREVENCAO DE ASSADURAS CETRILAN 120G,THERASKIN,"R$ 76,86","R$ 49,90",9991113,103798
33,DESITIN CREAMY CREME 57,JOHNSON & JOHNSON - OTC,"R$ 34,99","R$ 25,90",2096802,94161
34,LOCAOHIDRATANTE CORPORAL JOHNSONS HORA DO SONO 200ML,JOHNSON & JOHNSON-HIGIENE,"R$ 39,90","R$ 29,90",9990419,103095
35,SABONETE GRANADO BARRA GLICERINA BEBE CAMOMILA 90GR,PONTELAND,"R$ 6,90","R$ 5,90",9995052,107600
36,GEL DENTAL INFANTIL GUM PATRULHA CANINA 50G,GUM,"R$ 7,90","R$ 6,90",9990865,103544
37,SUSTAGEN KIDS CHOCOLATE 350G**,RECKITT BENCKISER,"R$ 24,90","R$ 21,99",502956,89250
38,FRALDA HUGGIES TRIPLA ACAO HIPER G C/78UNID,HUGGIES,"R$ 100,90","R$ 89,90",9994370,107303
