,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
0,AGULHA 30X8 UNID,BD HEALTH CARE,,"R$ 0,50",1638426,66665
1,AGULHA 30X7 BD UNID,BD HEALTH CARE,,"R$ 0,50",1638466,66663
2,COLETOR UNIVERSAL 80ML,GPZ - GPZ COMERCIAL LTDA,,"R$ 1,50",8888841,68952
3,SERINGA 10ML S/AGU BD PLASTI LISA,BD HEALTH CARE,,"R$ 3,99",1638472,88512
4,"AGULHA 13X4,5 UNID.",BD HEALTH CARE,,"R$ 0,50",1638421,66659
5,SPRAY DE AMBIENTE MADRESSENZA LAVANDA TOSCANA 200ML,ABBOCCATO,,"R$ 57,90",9518602,95605
6,BOLSA TERMOGEL GRANDE 700ML 1129,TBC PERFUMES E COSMÉTICOS,,"R$ 16,90",1258068,67889
7,SUPER BONDER BLISTER ORIGINAL LOCTITE 3G,LOCTITE SUPER BONDER,,"R$ 8,70",9994132,106780
8,AGULHA P/CANETA NOVOFINE 4MM C/100,VULT,,"R$ 99,99",2628405,92323
9,KIT FLORA VIE 01 LA VIE BODY SPLASHS+LOTION,ANNA FLORA IND-FLORA VIE,"R$ 117,90","R$ 99,90",2195123,98106
10,AGULHA 25X7 UNID,BD HEALTH CARE,,"R$ 0,50",1638463,66661
11,BODY LOTION FLORA VIE SWEET SEDUCTION 200ML,ANNA FLORA IND-FLORA VIE,,"R$ 37,90",2199815,97205
12,DIFUSOR DE AROMA FLORA FV353 VIE VERBENA 350ML,ANNA FLORA IND-FLORA VIE,,"R$ 99,90",2198601,94686
13,AGUA PERFUMADA FLORA VIE CALENDULA 500ML,ANNA FLORA IND-FLORA VIE,,"R$ 59,90",2199901,82297
14,AGUA PERFUMADA MADRESSENZA LAVANDA TOSCANA 500ML,ABBOCCATO,,"R$ 69,90",9519981,95602
15,BODY LOTION FLORA VIE LOVE ME 200ML,ANNA FLORA IND-FLORA VIE,,"R$ 37,90",2199813,97203
16,FLORA VIE CALENDULA SAB LIQ 350ML,ANNA FLORA IND-FLORA VIE,,"R$ 62,90",2199980,92131
17,FLORA VIE SABONETE LIQ FLOR DE CEREJEIRA 350ML,FLORA VIE,,"R$ 56,90",9991351,104041
18,AGUA PERFUMADA FLORA VIE JARDIM SECRETO 500ML,ANNA FLORA IND-FLORA VIE,,"R$ 59,90",2199962,91704
19,BODY SPLASH FLORA VIE GLAMOUR 120ML,FLORA VIE,,"R$ 53,90",9991316,104004
20,BODY SPLASH FLORA VIE SWETT SED 250ML,ANNA FLORA IND-FLORA VIE,,"R$ 58,90",2199810,97200
