productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
Lenço Umedecido Huggies Puro & Natural 4 Unidades,Huggies,https://www.drogariasaopaulo.com.br/kit-lencos-umedecidos-huggies-pure-care-48un-l4p3-kimberly-clark-brasil/p,"As toalhas umedecidas Huggies Pure Care são ideais para recém nascido pois foram elaboradas com ingredientes suaves como água e algodão, para limpar cuidadosamente. Além de ajudar a prevenir assaduras, garantindo proteção e segurança à pele sensível do bebê desde o seu nascimento. \n\nFórmula 99% água e extratos naturais.",665037,7896018704022,46.69,46.69,46.69,true
Domperidona 10mg Genérico Eurofarma 30 Comprimidos Revestidos,Eurofarma,https://www.drogariasaopaulo.com.br/domperidona-10mg-generico-eurofarma-30-comprimidos-revestidos/p,"Domperidona 10mg Genérico Eurofarma 30 Comprimidos Revestidos é um medicamento que torna mais rápida a movimentação do alimento através do esôfago, estômago e intestinos, de tal maneira que o alimento não fique parado por muito tempo em um mesmo local, ou haja refluxo do mesmo. O controle dos sintomas é observado progressivamente com o decorrer do tratamento.",535567,7891317452995,6.09,21.07,6.09,true
Fralda Pampers Pants Premium Care Top XG 64 Unidades,Pampers,https://www.drogariasaopaulo.com.br/fraldas-pampers-pants-premium-care-top-xg-64-unidades/p,Fralda Pampers Pants Premium Care Top XG 64 Unidades,694975,7500435145992,129.99,129.99,129.99,true
Probiótico Enterogermina Plus 5ml Sanofi 10 Frascos,Sanofi,https://www.drogariasaopaulo.com.br/probiotico-enterogermina-plus-5ml-sanofi-10-frascos/p,"Enterogermina Plus é um probiótico de tripla ação para toda a família: ele equilibra, restaura a flora intestinal e fortalece a defesa*1. Enterogermina é o número 1 em recomendação pelos pediatras4. Os esporos do probiótico Bacillus clausii contidos em Enterogermina Adulto são resistentes ao ácido gástrico, portanto chegam intactos até o trato digestivo, no qual se espalham, promovendo o equilíbrio e restaurando a microbiota intestinal3.Disponível nas versões com 5 e 10 frascos, Enterogermina Plus possui formato de flaconete de 5ml, composto por água e cerca de 4 bilhões de esporos de Bacillus clausii. O probiótico vem pronto para consumo, é fácil de tomar e levar, não tem sabor, cheiro, corantes, lactose ou glúten e pode ser utilizado por toda a família1.Referências:*Uma flora intestinal equilibrada promove um ambiente desfavorável para bactérias patogênicas, promovendo a saúde intestinal. B. clausii suplementado por via oral tem prolongado tempo de eliminação fecal. 1. Lopetuso L et al. Bacillus clausii and gut homeostasis: State of the art and future perspectives. Exp Rev Gastroenterol Hepatol 2016;10(8):943-8; Paixão e Castro, 2016. 2. Ghelardi E, Celandroni F, Salvetti S, Gueye SA, Lupetti A, Senesi S. Survival and persistence of Bacillus clausii in the human gastrointestinal tract following oral administration as spore-based probiotic formulation. J Appl Microbiol. 2015 Aug;119(2):552-9 3. Bula Enterogermina 2bi4. IQVIA- GPS_Base de Prescrição_Setembro/2022",686395,7891058022594,66.29,72.99,66.29,true
Desodorante Feminino Rexona Clinical Classic Aerosol 150ml,Rexona,https://www.drogariasaopaulo.com.br/desodorante-feminino-rexona-clinical-classic-aerosol-150ml/p,"• Rexona Clinical oferece 3x mais proteção em qualquer situação* • Sua fórmula fornece uma proteção avançada e duradoura contra a transpiração e o mau odor todos os dias • Proteção + tecnologia formam um micro escudo contra a transpiração excessiva que dura por 96 horas • Desodorante antitranspirante recomendado para uso diário • A aplicação noturna produz resultados ótimos, já que permite que o desodorante Rexona Clinical forme um maior nível de proteção quando seu corpo está descansando • Não usar este desodorante caso esteja com alguma alergia ou ardência na pele  Todo mundo sua. Alguns de nós suamos mais do que outros. Alguns de nós suamos sem nenhuma razão aparente, na verdade. É natural – somos todos diferentes. Não importa sua temperatura ou seu nível de estresse, às vezes um desodorante regular não é suficiente. A transpiração excessiva pode parecer uma luta diária, mas não é páreo para o nosso antitranspirante. Ele não te abandonará. O Desodorante Antitranspirante Aerosol Rexona Clinical oferece a proteção que você precisa para se sentir sempre seca(o) e fresca(o). Especialmente formulado para fornecer proteção superior todos os dias. Este antitranspirante cria uma micro barreira contra o suor, não importa o que aconteça. O Rexona Clinical Aerosol foi testado por estresse, testado pelo calor e testado para dar a você uma proteção confiável e duradoura. Modo de usar: Agite antes de usar. Borrife o aerosol diariamente em suas axilas. Ao contrário do antitranspirante básico, não há necessidade de reaplicar durante o dia, mesmo para sudorese intensa. Toda a linha de desodorantes antitranspirantes Rexona foi desenvolvida com tecnologia de ponta para que você possa desafiar os seus limites diariamente. Não importa se você está escalando uma montanha, fazendo uma apresentação em sua empresa ou indo a um encontro, Rexona Clinical, não te abandona! *vs. antitranspirantes comuns",677906,7506306214989,18.69,18.69,18.69,true
Desvenlafaxina  50mg Genérico Eurofarma 30 Comprimidos Revestidos,Eurofarma,https://www.drogariasaopaulo.com.br/desvenlafaxina--50mg-30-comprimidos-revestidos---c1-g-eurofarma-labs/p,Desvenlafaxina  50mg Genérico Eurofarma 30 Comprimidos Revestidos,674125,7891317000509,29.09,141.35,29.09,true
Fórmula Infantil Nestlé Ninho Fases 1+  800g Lata,Ninho Fases,https://www.drogariasaopaulo.com.br/composto-lacteo-nestle-ninho-fases-1-sache-800g/p,"O NINHO® Fases 1+ é uma fórmula infantil rica em vitaminas e minerais. Composição fortalece as defesas naturais das crianças e contribui para o funcionamento adequado do intestino.\r\n\r\nO que mudou no Ninho Fases 1+?\r\nAlém da embalagem mais moderna, agora o novo Ninho Fases 1+ é uma fórmula infantil de seguimento para crianças de primeira infância. A nova fórmula foi desenvolvida especialmente para atender às necessidades nutricionais de crianças a partir de 1 ano de idade.\r\n\r\nQual a idade recomendada de consumo para Ninho Fases 1+?\r\nNinho Fases 1+ é desenvolvido especialmente para crianças a partir de um ano de idade. Ele apresenta um teor específico de proteínas, assim como a adição de vitaminas e minerais, recomendados para essa faixa etária. Mesmo assim, o ideal é que você procure o pediatra e/ou nutricionista do seu filho para que seja orientada da melhor forma possível.\r\n\r\nTamanho: 800g\r\nSabor: leite\r\nO produto não contém glúten\r\nO NINHO® Fases 1+ é uma fórmula infantil rica em vitaminas e minerais. Composição fortalece as defesas naturais das crianças e contribui para o funcionamento adequado do intestino.\r\nAviso Importante: este produto não deve ser usado para alimentar crianças menores de 1 (um) ano de idade. O aleitamento materno evita infecções e alergias e é recomendado até os 2 anos de idade ou mais\r\n\r\nModo de Conservação:\r\nConservar a lata bem tampada sempre em local seco, fresco e arejado. Após aberta a embalagem, recomenda-se o consumo do conteúdo em até 30 dias. Este produto é sensível à umidade, mantenha sempre mãos e colher medida secas. Durante o transporte, este produto pode se compactar. Seu volume, contudo, corresponde ao peso líquido indicado.\r\n\r\nIngredientes:\r\nIngredientes: Leite parcialmente desnatado*, soro de leite desmineralizado*, maltodextrina, galacto-oligossacarídeo, lactose, soro de leite*, óleo de canola, oleína da palma, concentrado proteico de soro de leite*, Cálcio (carbonato de cálcio), fruto-oligossacarídeo, Vitamina C (L-ascorbato de sódio), Ferro (sulfato ferroso), Potássio (cloreto de potássio), Zinco (sulfato de zinco), Vitamina E (acetato de DL-a-tocoferila), Ácido Pantotênico [Vitamina B5] (D-pantotenato de cálcio), Niacina (nicotinamida), Cobre (sulfato de cobre), Vitamina B1 (tiamina mononitrato), Vitamina A (acetato de retinila), Vitamina B6 (cloridrato de piridoxina), Vitamina B2 (riboflavina), Ácido Fólico [Vitamina B9] (ácido N-pteroil-L-glutâmico), Iodo (iodeto de potássio), Vitamina K (fitomenadiona), Biotina (D-biotina), Vitamina D (colecalciferol), Selênio (selenato de sódio), Vitamina B12 (cianocobalamina), emulsificante lecitina de soja e regulador de acidez hidróxido de potássio.\r\nALÉRGICOS: CONTÉM LEITE E DERIVADOS E DERIVADOS DE SOJA. CONTÉM LACTOSE. NÃO CONTÉM GLÚTEN.\r\n*fontes proteicas\r\n\r\n“AVISO IMPORTANTE: ESTE PRODUTO NÃO DEVE SER USADO PARA ALIMENTAR CRIANÇAS MENORES DE 1 (UM) ANO DE IDADE. O ALEITAMENTO MATERNO EVITA INFECÇÕES E ALERGIAS E É RECOMENDADO ATÉ OS 2 ANOS DE IDADE OU MAIS.\",312452,7891000062661,51.99,51.99,51.99,true
Losartana Potássica 50mg Genérico EMS 30 Comprimidos,EMS,https://www.drogariasaopaulo.com.br/losartana-potassica-50mg-generico-ems-30-comprimidos/p,"A Losartana Potássica 50mg Genérico Ems 30 Comprimidos age dilatando os vasos sanguíneos para ajudar o coração a bombear o sangue para todo o corpo com mais facilidade. Essa ação ajuda a reduzir a pressão alta. Em muitos pacientes com insuficiência cardíaca, losartana potássica irá auxiliar no melhor funcionamento do coração. A losartana potássica também diminui o risco de doenças do coração e dos vasos sanguíneos, como derrame  (acidente vascular cerebral), em pacientes com pressão alta e espessamento das paredes do ventrículo esquerdo do coração (hipertrofia ventricular esquerda).",196991,7896004706795,5.59,18.52,5.59,true
Nimesilam 100mg EMS 12 Comprimidos,EMS,https://www.drogariasaopaulo.com.br/nimesilam-100mg-ems-12-comprimidos/p,"Nimesilam é um medicamento que apresenta propriedades que combatem a inflamação, a dor e a febre. O medicamento alivia a dor, em adultos, dentro de 15 minutos após o uso oral.",53350,7896004738727,4.94,16.12,4.94,true
"Diclofenaco de Dietilamônio Gel 11,6mg/g Genérico Medley 60g",Medley,https://www.drogariasaopaulo.com.br/diclofenaco-de-dietilamonio-gel-11-6mg-g-generico-medley-60g/p,"Este medicamento é indicado para aliviar a dor e diminuir a inflamação e o inchaço em diversas condições dolorosas, tais como:\n• Lesões musculares, articulares (por exemplo: entorses, distensões, contusões) ou tendinites;\n• Dor de osteoartrite.\n\nNão use este medicamento se:\n- Você for alérgico ao diclofenaco ou a outro anti-inflamatório não esteroidal usado no tratamento da dor, febre ou inflamação, como o ibuprofeno, a aspirina ou qualquer outro excipiente presente neste medicamento. Se você não tiver certeza, procure um médico ou farmacêutico.\n- Os sintomas de reação alérgica a essas substâncias podem incluir: chiado, respiração ou falta de ar (asma), erupção cutânea com formação de bolhas ou urticária, inchaço da face ou da língua, nariz escorrendo.\n- Se você estiver nos 3 últimos meses de gravidez.\nEste medicamento é contraindicado para crianças menores de 14 anos.\nEste medicamento não deve ser utilizado por mulheres grávidas sem orientação médica. Informe\nimediatamente seu médico em caso de suspeita de gravidez.",36463,7896422504256,8.49,17.85,8.49,true
