,ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
0,7891317127800,"Tadalafila Eurofarma 20mg, 4 comprimidos revestidos",Eurofarma,Drogaven,14.9,185.37,-0.92,"Tadalafila Eurofarma 20mg, 4 comprimidos revestidos"
1,7891317458850,"Anastrozol Eurofarma 1mg, caixa com 30 comprimidos revestidos",Eurofarma,Drogaven,27.9,883.02,-0.97,"Anastrozol Eurofarma 1mg, caixa com 30 comprimidos revestidos"
2,7896714231143,"Neosoro 0,5mg/mL, frasco com 30mL de solução de uso nasal",Neo Química,Drogaven,5.99,11.55,-0.48,"Neosoro 0,5mg/mL, frasco com 30mL de solução de uso nasal"
3,7896004749716,"Tadalafila Germed Pharma 5mg, 30 comprimidos revestidos",Germed Pharma,Drogaven,14.99,88.23,-0.83,"Tadalafila Germed Pharma 5mg, 30 comprimidos revestidos"
4,7891106914086,"Triquilar (0,05mg + 0,03mg) + (0,075mg + 0,04mg) + (0,125mg + 0,03mg), 21 comprimidos revestidos",União Química,Drogaven,12.52,12.52,0.0,"Triquilar (0,05mg + 0,03mg) + (0,075mg + 0,04mg) + (0,125mg + 0,03mg), 21 comprimidos revestidos"
5,7908134200453,"Slinda 4mg, 24 comprimidos revestidos + 4 comprimidos placebos",Exeltis,Drogaven,123.03,123.03,0.0,"Slinda 4mg, 24 comprimidos revestidos + 4 comprimidos placebos"
6,7896422501651,"Tadalafila Medley 5mg, 30 comprimidos revestidos",Medley,Drogaven,35.9,89.73,-0.6,"Tadalafila Medley 5mg, 30 comprimidos revestidos"
7,7898037082082,"Colírio de Cinerária Marítima Homeopatia Almeida Prado 0,01mL/mL, frasco com 10mL de solução de uso oftálmico",Homeopatia Almeida Prado,Drogaven,28.56,28.56,0.0,"Colírio de Cinerária Marítima Homeopatia Almeida Prado 0,01mL/mL, frasco com 10mL de solução de uso oftálmico"
8,7897705202678,"Rybelsus 3mg, 30 comprimidos",Novo Nordisk,Drogaven,462.27,543.84,-0.15,"Rybelsus 3mg, 30 comprimidos"
9,7896226102511,"Vagi C 250mg, 6 comprimidos de uso vaginal + aplicador",Marjan Farma,Drogaven,,,,"Vagi C 250mg, 6 comprimidos de uso vaginal + aplicador"
10,7896422528580,"Rosuvastatina Cálcica Medley 10mg, 30 comprimidos revestidos",Medley,Drogaven,23.5,58.73,-0.6,"Rosuvastatina Cálcica Medley 10mg, 30 comprimidos revestidos"
11,7891317019310,"20 Bi, 30 cápsulas",Momenta Farma,Drogaven,149.9,216.15,-0.31,"20 Bi, 30 cápsulas"
12,7896422516921,"Alopurinol Medley 100mg, 30 comprimidos",Medley,Drogaven,5.58,11.16,-0.5,"Alopurinol Medley 100mg, 30 comprimidos"
13,7896004749655,"Tadalafila EMS 20mg, 1 comprimido revestido",EMS,Drogaven,4.5,29.27,-0.85,"Tadalafila EMS 20mg, 1 comprimido revestido"
14,7896094200357,"Sumax 6mg/0,5mL, 1 seringa com 0,5mL de solução uso intravenoso",Libbs,Drogaven,81.09,81.09,0.0,"Sumax 6mg/0,5mL, 1 seringa com 0,5mL de solução uso intravenoso"
15,7896637032247,Lactosil Flora 30 cápsulas,Apsen,Drogaven,49.9,95.99,-0.48,Lactosil Flora 30 cápsulas
16,7896422505666,"Meloxicam Medley 15mg, caixa contendo 10 comprimidos",Medley,Drogaven,12.46,24.91,-0.5,"Meloxicam Medley 15mg, caixa contendo 10 comprimidos"
17,7896637026901,"Lactosil 4.000FCC, 30 tabletes",Apsen,Drogaven,22.75,22.75,0.0,"Lactosil 4.000FCC, 30 tabletes"
18,7896422505369,"Propionato de Clobetasol Medley 0,5mg/g, bisnaga com 30g de creme de uso dermatológico",Medley,Drogaven,8.13,20.32,-0.6,"Propionato de Clobetasol Medley 0,5mg/g, bisnaga com 30g de creme de uso dermatológico"
19,7896422525237,"Citrato de Sildenafila Medley 100mg, 4 comprimidos revestidos",Medley,Drogaven,35.22,88.03,-0.6,"Citrato de Sildenafila Medley 100mg, 4 comprimidos revestidos"
20,7891317140458,"Dienogeste Eurofarma 2mg, 30 comprimidos revestidos",Eurofarma,Drogaven,71.56,71.56,0.0,"Dienogeste Eurofarma 2mg, 30 comprimidos revestidos"
21,7896422504812,"Clotrimazol Creme Dermatológico Medley 10mg/g, bisnaga com 20g de creme de uso dermatológico",Medley,Drogaven,7.34,14.68,-0.5,"Clotrimazol Creme Dermatológico Medley 10mg/g, bisnaga com 20g de creme de uso dermatológico"
22,7896004706795,"Losartana Potássica EMS 50mg, 30 comprimidos revestidos",EMS,Drogaven,18.52,18.52,0.0,"Losartana Potássica EMS 50mg, 30 comprimidos revestidos"
23,7896227800171,Salonsip envelope com 3 emplastros,Hisamitsu,Drogaven,17.37,17.37,0.0,Salonsip envelope com 3 emplastros
24,7896004707921,"Fluconazol Germed Pharma 150mg, caixa com 2 cápsulas gelatinosas duras",Germed Pharma,Drogaven,22.4,22.4,0.0,"Fluconazol Germed Pharma 150mg, caixa com 2 cápsulas gelatinosas duras"
25,7896023722721,"Catuama 40mg/25mL + 74mcg/25mL + 104mcg/25mL + 120mcg/25mL, frasco com 500mL de solução de uso oral",Catarinense Pharma,Drogaven,37.62,37.62,0.0,"Catuama 40mg/25mL + 74mcg/25mL + 104mcg/25mL + 120mcg/25mL, frasco com 500mL de solução de uso oral"
26,7891058001667,"Cloridrato de Amiodarona Medley 100mg, 30 comprimidos",Medley,Drogaven,11.01,18.34,-0.4,"Cloridrato de Amiodarona Medley 100mg, 30 comprimidos"
27,7896015516581,"Flixotide Spray 50mcg/dose, aerosol com 120 doses de solução de uso oral",GSK,Drogaven,199.54,199.54,0.0,"Flixotide Spray 50mcg/dose, aerosol com 120 doses de solução de uso oral"
28,7895296092111,"Carvedilol Multilab 6,25mg, 30 comprimidos",Multilab,Drogaven,15.49,51.57,-0.7,"Carvedilol Multilab 6,25mg, 30 comprimidos"
29,7896112400332,Pantogar Men 30 Cápsulas,Biolab,Drogaven,147.99,147.99,0.0,Pantogar Men 30 Cápsulas
30,7898037080033,Complexo Homeopático Almeida Prado Nº 3 frasco com 60 comprimidos,Homeopatia Almeida Prado,Drogaven,25.71,25.71,0.0,Complexo Homeopático Almeida Prado Nº 3 frasco com 60 comprimidos
31,7896004732923,"Valsartana Germed Pharma 320mg, 30 comprimidos revestidos",Germed Pharma,Drogaven,44.81,74.67,-0.4,"Valsartana Germed Pharma 320mg, 30 comprimidos revestidos"
32,7898037080286,Complexo Homeopático Almeida Prado Nº 28 60 comprimidos,Homeopatia Almeida Prado,Drogaven,25.71,25.71,0.0,Complexo Homeopático Almeida Prado Nº 28 60 comprimidos
33,7896004713724,"Cloridrato de Oximetazolina EMS 0,5mg/mL, frasco com 30mL de solução de uso nasal",EMS,Drogaven,16.26,16.26,0.0,"Cloridrato de Oximetazolina EMS 0,5mg/mL, frasco com 30mL de solução de uso nasal"
34,7897595618610,"Citrato de Sildenafila Sandoz 50mg, 4 comprimidos",Sandoz,Drogaven,11.99,37.13,-0.68,"Citrato de Sildenafila Sandoz 50mg, 4 comprimidos"
35,7891058002657,"Hidroclorotiazida Medley 25mg, 30 comprimidos",Medley,Drogaven,2.4,6.0,-0.6,"Hidroclorotiazida Medley 25mg, 30 comprimidos"
36,7896004730080,"Citrato de Sildenafila EMS 25mg, caixa com 4 comprimidos revestidos",EMS,Drogaven,77.52,77.52,0.0,"Citrato de Sildenafila EMS 25mg, caixa com 4 comprimidos revestidos"
37,7896094921115,Ofolato G caixa contendo frasco com 50mL de solução de uso oral,Cosmed,Drogaven,254.89,254.89,0.0,Ofolato G caixa contendo frasco com 50mL de solução de uso oral
38,7891317017699,"Rivaxa 10mg, 30 comprimidos revestidos",Eurofarma,Drogaven,44.61,44.61,0.0,"Rivaxa 10mg, 30 comprimidos revestidos"
39,7898037080774,Homeopax 30 comprimidos,Homeopatia Almeida Prado,Drogaven,60.52,60.52,0.0,Homeopax 30 comprimidos
40,7898074617438,"Fluimucil 40mg/mL, frasco com 120mL de xarope adulto + copo medidor",Zambon,Drogaven,44.5,44.5,0.0,"Fluimucil 40mg/mL, frasco com 120mL de xarope adulto + copo medidor"
