,Links
0,https://www.farmasilva.com.br/abiraterona-250mg-c-120comp-dr-reddys
1,https://www.farmasilva.com.br/aciclovir-400mg-c-30cp
2,https://www.farmasilva.com.br/acido-tranexamico-50mg-ml-cx-c-100-amp-5ml-iv
3,https://www.farmasilva.com.br/anastrozol-1mg-c-30-comp-sandoz
4,https://www.farmasilva.com.br/anastrozol-1mg-c-30comp-e-m-s
5,https://www.farmasilva.com.br/anastrozol-1mg-c-30comp-eurofarma
6,https://www.farmasilva.com.br/anastrozol-1mg-c-30comp-rev-blau
7,https://www.farmasilva.com.br/azacitidina-100mg-c-1fa-uso-sc-natcofarma
8,https://www.farmasilva.com.br/azacitidina-100mg-200mg-cx-c-1-fa-c-po-para-susp-de-uso-sc
9,https://www.farmasilva.com.br/bicalutamida-50mg-c-30-comp-eurofarma
10,https://www.farmasilva.com.br/bicalutamida-50mg-c-30comp-accord
11,https://www.farmasilva.com.br/bicalutamida-50mg-c-28comp-accord
12,https://www.farmasilva.com.br/bortezomibe-3-5-mg-po-liof-sol-inj-dr-reddys
13,https://www.farmasilva.com.br/bortezomibe-3-5-mg-po-liof-sol-inj-accord-farma
14,https://www.farmasilva.com.br/bortezomibe-3-5mg-po-liof-sol-inj-amgem
15,https://www.farmasilva.com.br/bortyz-3-5mg-cx-c-1fr-amp
16,https://www.farmasilva.com.br/bromoprida-ev-im-10mg-c-10amp-2ml
17,https://www.farmasilva.com.br/bromoprida-ev-im-10mg-c-50amp-2ml
18,https://www.farmasilva.com.br/capecitabina-150mg-c-120comp
19,https://www.farmasilva.com.br/capecitabina-500mg-c-120comp
20,https://www.farmasilva.com.br/capecitabina-500mg-c-120comp-rev
21,https://www.farmasilva.com.br/cefazolina-1g-c-10-fa
22,https://www.farmasilva.com.br/cefazolina-1g-c-50-fa
23,https://www.farmasilva.com.br/ceftriaxona-sodica-1g-cx-c-10-fa-iv
24,https://www.farmasilva.com.br/ceftriaxona-sodica-1g-cx-c-50-fa-iv
25,https://www.farmasilva.com.br/cefuroxima-sodica-750mg-c-10fa
26,https://www.farmasilva.com.br/cefuroxima-sodica-750mg-c-50fa
27,https://www.farmasilva.com.br/cetoprofeno-100mg-im-c-100amp-2ml
28,https://www.farmasilva.com.br/cetoprofeno-100mg-im-c-10amp-2ml
29,https://www.farmasilva.com.br/cetoprofeno-100mg-iv-c-50fa
30,https://www.farmasilva.com.br/clindamicina-600mg-c-100amp-4ml
31,https://www.farmasilva.com.br/cloridrato-de-doxorrubicina-50mg-c-10-fa-amp-50ml-uso-im
32,https://www.farmasilva.com.br/cloridrato-de-valganciclovir-450mg-cx-c-60-comp-rev
33,https://www.farmasilva.com.br/decitabina-50mg-c-1fa-amp-uso-iv
34,https://www.farmasilva.com.br/dexametasona-2mg-c-50amp-1ml
35,https://www.farmasilva.com.br/dexametasona-4mg-c-1amp-2-5ml
36,https://www.farmasilva.com.br/dexametasona-4mg-c-50amp-2-5ml
37,https://www.farmasilva.com.br/everolimo-10mg-c-28comp-natcofarma
38,https://www.farmasilva.com.br/everolimo-5mg-c-28comp-natcofarma
39,https://www.farmasilva.com.br/everolimo-5mg-c-28compr-natcofarma
40,https://www.farmasilva.com.br/exemestano-25mg-c-30-comp-rev-accord
41,https://www.farmasilva.com.br/exemestano-25mg-c-30-comp-rev-wyeth
42,https://www.farmasilva.com.br/exher-10mg-c-28comp-everolimo
43,https://www.farmasilva.com.br/fosaprepitanto-dimeglumina-150mg-c-1-fa-amp-5ml-uso-iv
44,https://www.farmasilva.com.br/fosaprepitanto-dimeglumina-150mg-iv
45,https://www.farmasilva.com.br/furosemida-10mg-ml-c-60amp-2ml
46,https://www.farmasilva.com.br/furosemida-20mg-cx-c-100amp-c-2ml-iv
47,https://www.farmasilva.com.br/furosemida-20mg-cx-c-10amp-c-2ml-iv
48,https://www.farmasilva.com.br/letrozol-2-5mg-c-28-comp-sun-pharma
49,https://www.farmasilva.com.br/letrozol-2-5mg-c-30-comp-accord
50,https://www.farmasilva.com.br/letrozol-2-5mg-c-30-comp-eurofarma
51,https://www.farmasilva.com.br/letrozol-2-5mg-c-30-comp-dr-reddys
52,https://www.farmasilva.com.br/letrozol-2-5mg-c-30-comp-ems
53,https://www.farmasilva.com.br/letrozol-2-5mg-c-30-comp-natcofarma
54,https://www.farmasilva.com.br/letrozol-2-5mg-c-30comp-blau
55,https://www.farmasilva.com.br/meropenem-iv-1gr-c-1fa
56,https://www.farmasilva.com.br/mesilato-de-imatinibe-100mg-c-60-comp-cristalia
57,https://www.farmasilva.com.br/mesilato-de-imatinibe-100mg-c-60-cp-eurofarma
58,https://www.farmasilva.com.br/mesilato-de-imatinibe-400-mg-c-30-comp-cristalia
59,https://www.farmasilva.com.br/mesilato-de-imatinibe-400mg-c-30-comp-eurofarma
60,https://www.farmasilva.com.br/micofenolato-de-mofetila-500mg-c-50-comp-rev-e-m-s
61,https://www.farmasilva.com.br/micofenolato-de-mofetila-500mg-c-50-comp-rev-ems
62,https://www.farmasilva.com.br/micofenolato-de-mofetila-500mg-c-500comp
63,https://www.farmasilva.com.br/micofenolato-de-mofetila-500mg-c-50comp-rev-e-m-s
64,https://www.farmasilva.com.br/micofenolato-de-sodio-360mg-c-120-comp-ems
65,https://www.farmasilva.com.br/micofenolato-de-sodio-360mg-c-120comp-ems
