Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Neosoro 0 5Mg Ml Neo Química Caixa 30Ml,7896714231143,NEO QUÍMICA,"Neosoro 0,5mg/mL Neo QuímicaNeosoro 0,5mg/mL Neo QuímicaÉ um descongestionante nasal de confiança, formulado para proporcionar alívio imediato dos sintomas de congestão nasal, facilitando a respiração e proporcionando conforto. Este produto é reconhecido pela sua eficácia e rapidez de ação, tornando-se uma escolha popular para quem busca alívio dos desconfortos causados por resfriados, alergias ou outras condições respiratórias.Forma de Uso:Preparação:Antes de utilizar o Neosoro 0,5mg/mL Neo Química, leia atentamente as instruções contidas na embalagem.Administração:Incline ligeiramente a cabeça para trás e aplique a solução nas narinas conforme a dosagem recomendada, geralmente algumas gotas em cada narina.Massagem Suave:Após a aplicação, massageie delicadamente a base do nariz para facilitar a distribuição da solução.Uso Pontual:Utilize conforme necessário, respeitando o intervalo de tempo recomendado entre as aplicações e a duração total de uso.Precauções:O Neosoro 0,5mg/mL Neo Química é indicado apenas para uso nasal. Evite contato com os olhos e mucosas.Não exceda a dosagem recomendada ou utilize por períodos prolongados sem orientação médica.Em caso de irritação, reações alérgicas ou persistência dos sintomas, interrompa o uso e consulte um profissional de saúde.Mantenha fora do alcance de crianças e animais de estimação, evitando ingestão acidental.Armazene o produto em local fresco, seco e protegido da luz solar direta.",11.72,6.99,40.0%,Santo Remedio,Sudeste,Sao Paulo
Epocler Abacaxi Flaconete 10Ml,7896094903289,HYPERMARCAS CH,"Epocler Abacaxi FlaconeteO Epocler Abacaxi FlaconeteÉ uma solução líquida formulada para oferecer alívio rápido e eficaz de desconfortos estomacais e sintomas relacionados à indigestão. Cada flaconete contém 10ml de uma fórmula especial com sabor agradável de abacaxi, facilitando o consumo e proporcionando uma sensação refrescante.Forma de Uso:Agite bem o flaconete antes de usar. Recomenda-se consumir o conteúdo de 1 flaconete, preferencialmente após as refeições ou conforme orientação médica. A embalagem individual facilita o transporte e a administração do produto, tornando-o ideal para uso em casa, no trabalho ou em viagens.Precauções:Mantenha fora do alcance de crianças.Não exceda a dose recomendada.Consulte um médico se os sintomas persistirem ou se agravarem.Não utilize se a embalagem estiver violada ou danificada.Armazene em local fresco e seco, protegido da luz e do calor excessivo.Este produto é indicado para adultos e não é recomendado para crianças sem orientação médica.",,,,Santo Remedio,Sudeste,Sao Paulo
Fluconazol 150Mg 2 Comprimidos Genérico Cimed,7896523208770,CIMED,"Fluconazol 150mg: Forma de Uso e PrecauçõesFluconazol 150mgOFluconazol 150mg, É um antifúngico indicado para o tratamento de infecções fúngicas, como candidíase vaginal, candidíase oral e outras condições causadas por fungos. Cada comprimido contém 150mg do princípio ativo fluconazol, proporcionando um tratamento eficiente para aliviar sintomas e combater a infecção.Forma de Uso:Siga rigorosamente a orientação médica ou as instruções presentes na bula.Adultos: Geralmente, uma dose única de 150mg é recomendada para o tratamento de candidíase vaginal. No entanto, o regime posológico pode variar conforme a gravidade e tipo de infecção.Consulte um médico para diagnóstico correto e prescrição adequada antes de iniciar o tratamento.Precauções:Mantenha o produto fora do alcance de crianças e animais domésticos.Não utilize se você tem história de alergia a qualquer componente da fórmula ou a derivados de azóis.Informe ao médico sobre qualquer medicamento que esteja utilizando ou condição médica pré-existente.Evite o consumo de álcool durante o tratamento com fluconazol.Armazene em local fresco e seco, protegido da luz solar direta e umidade.",,,,Santo Remedio,Sudeste,Sao Paulo
Nistatina Oxido Zinco Genérico Neo Química 60G,7896714224688,NEO QUIMICA GENERICO,"""Indicação: para o tratamento para assaduras em bebês, principalmente relacionadas ao
uso de fraldas. """,,,,Santo Remedio,Sudeste,Sao Paulo
Cenevit Zinco 1G 10Mg Com 10 Comprimidos,7896004723280,LEGRAND,"Cenevit Zinco 1G 10MgO Cenevit Zinco 1G 10MgÉ um suplemento formulado especificamente para fornecer uma dose concentrada de zinco, um mineral essencial para diversas funções metabólicas e imunológicas do corpo. Cada embalagem contém 10 comprimidos de vitamina C + Zinco.Forma de Uso:Recomenda-se tomar um comprimido por dia, preferencialmente junto com uma refeição, para melhor absorção. É importante seguir as orientações de um profissional de saúde ou nutricionista para determinar a dosagem adequada de acordo com as necessidades individuais.Precauções:Mantenha fora do alcance de crianças.Não exceda a dose recomendada, a menos que indicado por um profissional de saúde.Consulte um médico ou nutricionista antes de iniciar o uso, especialmente se estiver grávida, amamentando, tomando medicamentos ou tiver condições médicas preexistentes.Armazene em local fresco e seco, longe da luz solar direta.Este produto não é um medicamento e não substitui uma alimentação equilibrada e um estilo de vida saudável.",20.74,10.55,49.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Dorflex 10 Comprimidos,7891058002916,SANOFI - CHC,"Dorflex: Forma de Uso e PrecauçõesDorflexODorflexé uma solução eficaz e reconhecida para o alívio rápido de dores musculares, tensões e desconfortos associados a condições como cefaleias tensionais. Com sua fórmula potente, este analgésico combina a ação analgésica do dipirona e a relaxante muscular do orfenadrina, proporcionando um alívio efetivo para restaurar o bem-estar e a mobilidade.Forma de Uso:Adultos: Tome 1 a 2 comprimidos com água, preferencialmente após as refeições, conforme a necessidade e conforme orientação médica.Não exceda a dose máxima recomendada em um período de 24 horas.Consulte um médico se os sintomas persistirem ou se houver dúvidas sobre o uso adequado.Precauções:Mantenha fora do alcance de crianças e animais domésticos.Não utilize se você é alérgico a qualquer componente da fórmula ou a outros relaxantes musculares.Evite o consumo de álcool durante o uso deste medicamento.Informe ao médico sobre qualquer outro medicamento que esteja tomando ou condição médica pré-existente.Armazene em local fresco e seco, protegido da luz solar direta e umidade.",7.66,7.09,7.0%,Santo Remedio,Sudeste,Sao Paulo
Buscopan Composto 20 Comprimidos Revestidos,7896026301428,HYPERMARCAS CH,"Informações sobre Buscopan CompostoDescrição do Produto:Buscopan Composto, uma solução eficaz em forma de comprimidos revestidos desenvolvida para aliviar sintomas associados a cólicas e espasmos intestinais. Com sua fórmula equilibrada, este medicamento é indicado para proporcionar alívio rápido e confiável em situações de desconforto abdominal.Forma de Uso:Ingerir Buscopan Composto conforme recomendação médica ou conforme a indicação da embalagem. Os comprimidos revestidos devem ser tomados inteiros, sem mastigar, com a ajuda de um pouco de água. Evite exceder a dose recomendada e consulte um profissional de saúde para orientações específicas sobre a frequência e duração do tratamento.Precauções:Não utilize este medicamento se você for alérgico a qualquer um dos componentes da fórmula.Mantenha fora do alcance de crianças e animais de estimação.Não consuma álcool enquanto estiver em tratamento com Buscopan Composto.Em caso de efeitos colaterais persistentes ou reações adversas, interrompa o uso e consulte um médico.Armazene em local fresco e seco, protegido da luz e umidade.",24.97,21.49,14.0%,Santo Remedio,Sudeste,Sao Paulo
Dipirona Monoidratada 10 Comprimidos 500Mg,7896004703398,EMS GENERICO,"Dipirona Monoidratada 500mgDipirona Monoidratada 500mgÉ um analgésico e antipirético eficaz, formulado para proporcionar alívio rápido e eficiente contra dor e febre. Este medicamento é amplamente reconhecido por sua eficácia e segurança, tornando-se uma escolha comum para o tratamento de diversos tipos de desconforto, desde dores de cabeça até febres associadas a condições diversas.Forma de Uso:Administração:Tome a quantidade indicada de Dipirona Monoidratada 10 comprimidos 500mg conforme a prescrição médica ou as orientações de uso indicadas na embalagem.Ingestão:Engula o comprimido inteiro com água, sem mastigar, para garantir a absorção adequada do medicamento.Intervalo:Respeite o intervalo de tempo recomendado entre as doses, evitando exceder a dose máxima diária sem orientação médica.Duração do Tratamento:Utilize o medicamento pelo período indicado ou até a completa cessação dos sintomas, conforme a orientação médica.Precauções:A Dipirona Monoidratada é destinada para uso analgésico e antipirético. Não utilize para outras finalidades sem orientação médica.Evite consumir álcool durante o período de tratamento com este medicamento.Consulte um profissional de saúde antes de iniciar o uso se você possui histórico de reações alérgicas a medicamentos ou outras condições de saúde.Mantenha o produto fora do alcance de crianças e animais de estimação, em local fresco, seco e protegido da luz solar direta.Não exceda a dosagem recomendada ou prolongue o uso sem avaliação médica.",7.62,6.49,15.0%,Santo Remedio,Sudeste,Sao Paulo
Simeticona 125Mg Cimed 10 Cápsulas,7896523226675,CIMED,,20.52,8.99,56.0%,Santo Remedio,Sudeste,Sao Paulo
Probiótico Enterogermina Plus 5 frascos,7891058020286,SANOFI - CHC,,59.96,38.99,35.0%,Santo Remedio,Sudeste,Sao Paulo
