URL,Preço sem desconto,Preço com desconto
https://farmaciapermanente.com.br/neosoro-0-5mg-ml-neo-quimica-caixa-30ml,"11,72","6,99"
https://farmaciapermanente.com.br/epocler-abacaxi-flaconete-10ml,,
https://farmaciapermanente.com.br/fluconazol-150mg-caixa-2-cap-gel-dura,,
https://farmaciapermanente.com.br/nistatina-oxido-zinco-generico-neo-quimica-60g,,
https://farmaciapermanente.com.br/cenevit-zinco-1g-10mg-com-10-comprimidos,"20,74","10,55"
https://farmaciapermanente.com.br/analgesico-dorflex-10-comprimidos,"7,66","7,09"
https://farmaciapermanente.com.br/buscopan-composto-20-comprimidos-revestidos,"24,97","21,49"
https://farmaciapermanente.com.br/dipirona-monoidratada-10-comprimidos-500mg,"7,62","6,49"
https://farmaciapermanente.com.br/simeticona-125mg-cimed-10-capsulas,"20,52","8,99"
https://farmaciapermanente.com.br/probiotico-enterogermina-plus-5-frascos,"59,96","38,99"
https://farmaciapermanente.com.br/probiotico-enterogermina-10-frascos,"66,00","38,99"
https://farmaciapermanente.com.br/sonridor-caf-analgesico-efervescente-para-alivio-da-febre-dor-e-enxaqueca-com-4-comprimidos,"15,22","14,99"
https://farmaciapermanente.com.br/citrato-de-sildenafila-50-mg-4-comprimidos-hypermarcas-generico,,
https://farmaciapermanente.com.br/xantinon-complex-uniao-quimica-1-flaconete-10ml,"R$ 3,09","R$ 3,09"
https://farmaciapermanente.com.br/nimesulida-100mg-com-12cp-neo-quimica,"24,30","5,99"
https://farmaciapermanente.com.br/avamys-27-5mcg-gsk-caixa-10g-120-doses,"71,70","56,99"
https://farmaciapermanente.com.br/cimegripe-20-capsulas-duras-400mg-4mg-4mg,"26,02","12,99"
https://farmaciapermanente.com.br/besilato-de-anlodipino-5mg-teuto-caixa-30-comprimidos,,
https://farmaciapermanente.com.br/sal-de-fruta-eno-laranja-antiacido-para-azia-e-ma-digestao-com-2-saches-de-5g-cada,,
https://farmaciapermanente.com.br/engov-6-comprimidos-15mg-150mg-150mg-50mg,,
https://farmaciapermanente.com.br/cha-para-gripe-vick-pyrena-sabor-mel-e-limao-5g,"4,63","3,99"
https://farmaciapermanente.com.br/analgesico-dorflex-36-comprimidos,"22,60","18,90"
https://farmaciapermanente.com.br/analgesico-dorflex-uno-enxaqueca-1g-10-comprimidos,"17,26","14,99"
https://farmaciapermanente.com.br/maxalgina-500mg-ml-solucao-oral-natulab-10ml,"10,75","2,99"
https://farmaciapermanente.com.br/pomada-prevencao-de-assaduras-bepantriz,"R$ 9,99","R$ 9,99"
https://farmaciapermanente.com.br/pastilhas-para-garganta-strepsils-sabor-mel-e-limao-caixa-8-pastilhas,"14,67","14,40"
https://farmaciapermanente.com.br/tadalafila-5mg-x-2-bl-x-15-comp-rev,"95,84","27,99"
