Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Dipirona 500mg 10 Comprimidos Medley,7896422507066,MEDLEY - GEN,,9.47,6.5,31.0%,Santo Remedio,Sudeste,Sao Paulo
Tresiba Flex Touch 100Ui/Ml 3Ml,7897705201916,NOVO NORDISK,"Atenção:Não aceitamos trocas ou devoluções de produtos refrigerados. Checar em sua portaria e residência a entrega do produto. Confirmar no ato da entrega o pedido e já o acondicionar em refrigerador. O produto termolabel é acondicionado em embalagem apropriada, dentro de todas boas práticas de transporte e acondicionamento! Não nos responsabilizamos, uma vez que o pedido é entregue integro e dentro das normas estabelecidas, por mal acondicionamento ou esquecimento de aviso a terceiros do responsável pelo recebimento do produto no endereço indicado no ato da compra.",215.8,148.0,31.0%,Santo Remedio,Sudeste,Sao Paulo
Xantinon 1 Flaconete,7896641812880,NYCOMED - OL,,3.12,3.12,,Santo Remedio,Sudeste,Sao Paulo
Nistatina+Óxido de Zinco Pomada 60g Cimed,7896523226972,CIMED,"A indicação principal deste medicamento é para assaduras de bebês, principalmente relacionadas ao uso de fraldas. Além dessa indicação, este medicamento pode ser usado em crianças maiores e adultos, no tratamento de irritações na região dos órgãos genitais e das nádegas, entre os dedos, nas axilas, sob os seios ou em outras áreas da pele que sofrem atrito.",31.29,11.99,62.0%,Santo Remedio,Sudeste,Sao Paulo
Epocler Flaconete 10Ml Abacaxi,7896094903289,HYPERMARCAS-DM,,3.9,3.9,,Santo Remedio,Sudeste,Sao Paulo
Teste de Gravidez Gravtest Easy,7898075310383,CIMED,,9.99,9.99,,Santo Remedio,Sudeste,Sao Paulo
Dorflex Uno Enxaqueca 1g 10 Comprimidos,7891058022815,AVENTIS - OL,"Para que serve o Dorflex Uno?Este medicamento é indicado como analgésico (para dor) e antitérmico (para febre).Como usar o Dorflex Uno?Modo de usar1 comprimido até 4 vezes ao dia para adultos e crianças acima de 15 anos.Dissolver o comprimido em meio copo de água e beber imediatamente após o término da dissolução.O tratamento pode ser interrompido a qualquer instante sem provocar danos ao paciente, inerentes à retirada da medicação.Se o efeito de uma única dose for insuficiente ou após o efeito analgésico ter diminuído, a dose pode ser repetida respeitando-se o modo de usar e a dose máxima diária, conforme descrito acima.Não há estudos dos efeitos de DORFLEX UNO comprimidos efervescentes administrada por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral.Em pacientes com insuficiência nos rins ou no fígado, recomenda-se que o uso de altas doses de dipirona seja evitado, uma vez que a taxa de eliminação é reduzida nestes pacientes. Entretanto, para tratamento em curto prazo não é necessária redução da dose.Não existe experiência com o uso de dipirona em longo prazo em pacientes com insuficiência nos rins ou no fígado.Em pacientes idosos e pacientes debilitadosdeve-se considerar a possibilidade das funções do fígado e dos rins estarem prejudicadas.Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou do cirurgião-dentista.Este medicamento não deve ser mastigado.Quando não devo usar o Dorflex UnoDORFLEX UNO não deve ser utilizada caso você tenha:Alergia ou intolerância à dipirona ou a qualquer um dos componentes da formulação ou a outras pirazolonas ou a pirazolidinas (ex. fenazona, propifenazona, isopropilaminofenazona, fenilbutazona, oxifembutazona) incluindo, por exemplo, experiência prévia de agranulocitose (diminuição acentuada na contagem de glóbulos brancos do sangue) com uma destas substâncias;Função da medula óssea prejudicada (ex:. após tratamento citostático) ou doenças do sistema hematopoiético (responsável pela produção das células sanguíneas);Desenvolvido broncoespasmo (contração dos brônquios levando a chiado no peito) ou outras reações anafilactoides, como urticária (erupção na pele que causa coceira), rinite (irritação e inflamação da mucosa do nariz), angioedema (inchaço em região subcutânea ou em mucosas) depois do uso de medicamentos para dor (ex.: salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina, naproxeno);Porfiria hepática aguda intermitente (doença metabólica que se manifesta através de problemas na pele e/ou com complicações neurológicas) pelo risco de indução de crises de porfiria;Deficiência congênita da glicose-6-fosfato-desidrogenase (G6PD), pelo risco de hemólise (destruição dos glóbulos vermelhos, o que pode levar à anemia);Gravidez e amamentação (vide “O QUE DEVO SABER ANTES DE USAR ESTE MEDICAMENTO? na bula).Este medicamento é contraindicado para menores de 3 meses de idade ou pesando menos de 5 kg.Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista. Informe imediatamente seu médico em caso de suspeita de gravidez.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE.",17.22,15.37,11.0%,Santo Remedio,Sudeste,Sao Paulo
Buscopan Composto com 20 Drageas,7896094921399,HYPERA,"Buscopan Composto é indicado para o tratamento dos sintomas de cólicas intestinais, estomacais, urinárias, das vias biliares, dos órgãos sexuais femininos e menstruais.",24.06,21.9,9.0%,Santo Remedio,Sudeste,Sao Paulo
"Diad 1,5mg 1 Comprimido",7896523216812,CIMED,"Indicação
Este medicamento é destinado à prevenção de gravidez, após uma relação sexual sem proteção por método contraceptivo, ou quando há suspeita de falha do método anticoncepcional rotineiramente utilizado. Diad é um contraceptivo de emergência e deve ser utilizado apenas nas seguintes situações: em casos de suspeita de falha do método contraceptivo normalmente utilizado (por exemplo: ruptura ou deslocamento do preservativo masculino ou feminino, que tenha permitido contato do esperma na genitália feminina; deslocamento, ruptura ou remoção antecipada do diafragma ou capuz cervical; falha na interrupção do coito com contato do esperma na genitália feminina, cálculo incorreto do método periódico de abstinência; expulsão/extrusão de D.I.U ou implante subcutâneo em caso de ter ocorrido relação sexual desprotegida; em momento de uso incorreto da pílula anticoncepcional rotineira); em casos de relação sexual sem proteção por método contraceptivo; em casos de agressão sexual por meio de força física. 
Posologia
O comprimido de Diad deve ser administrado por via oral o mais breve possível após a relação sexual desprotegida, não ultrapassando 72 horas, pois ocorre diminuição da eficácia significativa quando há demora para tomar o comprimido. Quanto mais longe do momento do intercurso sexual desprotegido for a administração do medicamento, menor será sua eficácia. 
Quando não devo usar este medicamento
Diad não deve ser utilizado quando houver sangramento genital anormal ou de origem desconhecida, ou quando há hipersensibilidade a quaisquer dos componentes de sua fórmula. Diad não deve ser usado em casos de gravidez confirmada ou suspeita.DIAD 1,5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.DIAD 1,5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM OFARMACÊUTICO.VENDA SOB PRESCRIÇÃO MÉDICA.",21.83,11.99,45.0%,Santo Remedio,Sudeste,Sao Paulo
Engov 6Comprimidos,7896094903104,HYPERMARCAS-DM,,8.49,8.49,,Santo Remedio,Sudeste,Sao Paulo
