URL,Preço sem desconto,Preço com desconto
https://www.farmaciasindependente.com.br/dipirona-500mg-10-comprimidos-medley,"R$ 9,47","R$ 6,50"
https://www.farmaciasindependente.com.br/tresiba-flex-touch-100ui-ml-3ml,"R$ 215,80","R$ 148,00"
https://www.farmaciasindependente.com.br/xantinon-1-flaconete,,"R$ 3,12"
https://www.farmaciasindependente.com.br/nistatina-oxido-de-zinco-pomada-60g-cimed,"R$ 31,29","R$ 11,99"
https://www.farmaciasindependente.com.br/epocler-flaconete-10ml-abacaxi,,"R$ 3,90"
https://www.farmaciasindependente.com.br/teste-de-gravidez-gravtest-easy,,"R$ 9,99"
https://www.farmaciasindependente.com.br/dorflex-uno-enxaqueca-1g-10-comprimidos,"R$ 17,22","R$ 15,37"
https://www.farmaciasindependente.com.br/buscopan-composto-com-20-drageas,"R$ 24,06","R$ 21,90"
https://www.farmaciasindependente.com.br/diad-15mg-1-comprimido,"R$ 21,83","R$ 11,99"
https://www.farmaciasindependente.com.br/engov-6comprimidos,,"R$ 8,49"
https://www.farmaciasindependente.com.br/lacto-purga-16comprimidos,,"R$ 12,30"
https://www.farmaciasindependente.com.br/neosoro-adulto-solucao-nasal-30ml,"R$ 11,84","R$ 6,27"
https://www.farmaciasindependente.com.br/ciclo-21-21-comprimidos,"R$ 10,44","R$ 8,00"
https://www.farmaciasindependente.com.br/glifage-xr-500mg-30comprimidos,"R$ 11,46","R$ 9,49"
https://www.farmaciasindependente.com.br/cimegripe-400mg-20-capsulas,"R$ 27,34","R$ 9,99"
https://www.farmaciasindependente.com.br/avamys-spray-120-doses,"R$ 72,49","R$ 61,36"
https://www.farmaciasindependente.com.br/dorflex-analgesico-e-relaxante-muscular-24-comprimidos,"R$ 17,52","R$ 17,42"
https://www.farmaciasindependente.com.br/analgesico-e-antitermico-novalgina-1g-10-comprimidos,"R$ 27,45","R$ 23,57"
https://www.farmaciasindependente.com.br/sal-de-fruta-eno-sabor-laranja-2-envelopes-5g-cada,,Leve4pague3
https://www.farmaciasindependente.com.br/tylenol-sinus-500mg-24comprimidos,,"R$ 23,33"
https://www.farmaciasindependente.com.br/aerolin-100mg-spray-200-doses,"R$ 27,57","R$ 24,15"
https://www.farmaciasindependente.com.br/cebion-1g-10comprimidos-efervescente-laranja,"R$ 18,32","R$ 12,52"
https://www.farmaciasindependente.com.br/salonpas-emplastro-grande-1env-2-unidades,,"R$ 9,67"
https://www.farmaciasindependente.com.br/gastrol-efervescente-sache-5g-laranja,"R$ 3,75","R$ 3,06"
https://www.farmaciasindependente.com.br/dorflex-10comprimidos,,"R$ 9,88"
https://www.farmaciasindependente.com.br/loratamed-10mg-12-comprimidos,"R$ 20,84","R$ 9,73"
https://www.farmaciasindependente.com.br/bepantriz-pomada-30g,"R$ 24,08","R$ 14,46"
https://www.farmaciasindependente.com.br/lufta-gastro-pro-sache-10ml,,"R$ 4,00"
https://www.farmaciasindependente.com.br/losartana-potassica-50mg-30-comprimidos-medley,,"R$ 4,30"
https://www.farmaciasindependente.com.br/tadalafila-20mg-1-comprimido-neo-quimica,"R$ 21,64","R$ 11,66"
https://www.farmaciasindependente.com.br/dorflex-analgesico-e-relaxante-muscular-36-comprimidos,"R$ 25,57","R$ 22,08"
https://www.farmaciasindependente.com.br/xantinon-10comprimidos,,"R$ 5,67"
https://www.farmaciasindependente.com.br/salonpas-emplastro-pequeno-1env-4-unidades,"R$ 4,85","R$ 4,81"
https://www.farmaciasindependente.com.br/citrato-de-sildenafila-50mg-2-comprimidos-medley,"R$ 9,89","R$ 7,50"
https://www.farmaciasindependente.com.br/nimesulida-100mg-12-comprimidos-cimed,,"R$ 3,92"
https://www.farmaciasindependente.com.br/neosaldina-20drageas,"R$ 28,31","R$ 23,03"
https://www.farmaciasindependente.com.br/saxenda-liraglutida-6mg-ml-3x3ml-sem-agulhas,"R$ 1.011,58","R$ 685,95"
https://www.farmaciasindependente.com.br/tadalafila-5mg-30-comprimidos-medley,"R$ 98,71","R$ 36,77"
https://www.farmaciasindependente.com.br/dipirona-500mg-10-comprimidos-ems,"R$ 7,71","R$ 6,53"
https://www.farmaciasindependente.com.br/aciclovir-50mg-creme-10g-cimed,"R$ 30,77","R$ 17,05"
https://www.farmaciasindependente.com.br/vitamina-c-redoxon-200mg-ml-gotas-com-20ml,"R$ 21,41","R$ 21,10"
https://www.farmaciasindependente.com.br/indux-50mg-10comprimidos,,"R$ 74,32"
https://www.farmaciasindependente.com.br/puran-t4-50mcg-30comprimidos,"R$ 19,50","R$ 16,46"
https://www.farmaciasindependente.com.br/luftal-max-10capsulas-gelatinosas,,"R$ 28,60"
https://www.farmaciasindependente.com.br/dulcolax-20-drageas,"R$ 18,04","R$ 16,90"
https://www.farmaciasindependente.com.br/koide-d-xarope-120ml,"R$ 50,53","R$ 42,93"
https://www.farmaciasindependente.com.br/tadalafila-20mg-4-comprimidos-cimed,,"R$ 7,31"
https://www.farmaciasindependente.com.br/citrato-de-sildenafila-50mg-4-comprimidos-neo-quimica,,"R$ 3,67"
https://www.farmaciasindependente.com.br/citrato-de-sildenafila-50mg-4-comprimidos-medley,"R$ 19,40","R$ 16,91"
https://www.farmaciasindependente.com.br/lantus-solostar-3ml,"R$ 119,57","R$ 92,91"
https://www.farmaciasindependente.com.br/luftal-gotas-30ml,"R$ 57,30","R$ 56,27"
https://www.farmaciasindependente.com.br/histamin-2mg-5ml-xarope-100ml,"R$ 24,82","R$ 15,49"
https://www.farmaciasindependente.com.br/alcool-70-uniphar-50ml,,"R$ 2,59"
https://www.farmaciasindependente.com.br/sal-de-fruta-eno-tradicional-2-envelopes-5g-cada,,Leve4pague3
https://www.farmaciasindependente.com.br/ibuprofeno-600mg-20-comprimidos-prati-donaduzzi,"R$ 21,74","R$ 12,82"
https://www.farmaciasindependente.com.br/sonrisal-2comprimidos-efervescente-limao,,"R$ 2,86"
https://www.farmaciasindependente.com.br/buscofem-400mg-10capsulas,"R$ 31,24","R$ 29,79"
https://www.farmaciasindependente.com.br/novalgina-50mg-ml-solucao-oral-100ml,"R$ 46,80","R$ 38,63"
https://www.farmaciasindependente.com.br/dorflex-uno-enxaqueca-1g-20-comprimidos,"R$ 26,97","R$ 25,62"
https://www.farmaciasindependente.com.br/tylenol-sinus-500mg-36-comprimidos,"R$ 34,96","R$ 34,61"
https://www.farmaciasindependente.com.br/ibuprofeno-100mg-gotas-20ml-medley,"R$ 16,65","R$ 12,99"
https://www.farmaciasindependente.com.br/tadalafila-20mg-4-comprimidos-neo-quimica,"R$ 37,34","R$ 20,67"
https://www.farmaciasindependente.com.br/nistatina-oxido-de-zinco-pomada-60g-germed,"R$ 31,59","R$ 10,12"
https://www.farmaciasindependente.com.br/torsilax-12-comprimidos,"R$ 16,98","R$ 7,88"
https://www.farmaciasindependente.com.br/nasonex-120-doses-spray-nasal,"R$ 66,57","R$ 61,33"
https://www.farmaciasindependente.com.br/histamin-2mg-20-comprimidos,"R$ 17,29","R$ 8,99"
https://www.farmaciasindependente.com.br/engov-24comprimidos,,"R$ 26,51"
https://www.farmaciasindependente.com.br/buscofem-400mg-2capsulas,,"R$ 7,28"
https://www.farmaciasindependente.com.br/allegra-pediatrico-6mg-60ml,"R$ 38,62","R$ 35,77"
https://www.farmaciasindependente.com.br/addera-d3-50-000ui-4-capsulas,,"R$ 61,96"
https://www.farmaciasindependente.com.br/decongex-plus-4comprimidos,,"R$ 10,09"
https://www.farmaciasindependente.com.br/allegra-60mg-10-comprimidos,"R$ 45,78","R$ 44,07"
https://www.farmaciasindependente.com.br/benegrip-12drageas,"R$ 26,48","R$ 24,08"
https://www.farmaciasindependente.com.br/sal-de-fruta-eno-sabor-guarana-2-envelopes-5g-cada,,Leve4pague3
https://www.farmaciasindependente.com.br/seki-xarope-120ml,"R$ 30,29","R$ 29,71"
https://www.farmaciasindependente.com.br/fiasp-flex-touch-insulina-100u-ml-solucao-injetavel-3ml,"R$ 63,61","R$ 44,00"
https://www.farmaciasindependente.com.br/sorine-adulto-30ml,"R$ 26,84","R$ 25,54"
https://www.farmaciasindependente.com.br/allegra-d-180mg-10-comprimidos,"R$ 71,18","R$ 60,87"
https://www.farmaciasindependente.com.br/sumaxpro-500-50mg-2comprimidos,,"R$ 42,21"
https://www.farmaciasindependente.com.br/decongex-plus-xarope-120ml,"R$ 24,54","R$ 24,08"
https://www.farmaciasindependente.com.br/benegrip-20drageas,"R$ 38,93","R$ 35,87"
https://www.farmaciasindependente.com.br/apresolina-50mg-20comprimidos,"R$ 13,30","R$ 12,66"
https://www.farmaciasindependente.com.br/predsim-3mg-ml-solucao-com-60ml,"R$ 35,60","R$ 33,09"
https://www.farmaciasindependente.com.br/dipirona-500mg-gotas-10ml-medley,"R$ 12,16","R$ 4,79"
https://www.farmaciasindependente.com.br/prednisona-20mg-10-comprimidos-germed,"R$ 26,27","R$ 12,07"
https://www.farmaciasindependente.com.br/vitaxon-c-1g-10-comprimidos-efervescente-laranja,,"R$ 11,47"
https://www.farmaciasindependente.com.br/miosan-10mg-10como,,"R$ 22,90"
https://www.farmaciasindependente.com.br/cloridrato-de-metformina-500mg-30-comprimidos-prati-donaduzzi,"R$ 8,11","R$ 7,99"
https://www.farmaciasindependente.com.br/pantoprazol-40mg-28-comprimidos-medley,"R$ 45,43","R$ 30,17"
https://www.farmaciasindependente.com.br/sal-de-fruta-eno-sabor-limao-2-envelopes-5g-cada,,Leve4pague3
https://www.farmaciasindependente.com.br/paracetamol-750mg-20-comprimidos-medley,"R$ 31,63","R$ 16,23"
https://www.farmaciasindependente.com.br/tadalafila-20mg-4-comprimidos-eurofarma,"R$ 203,90","R$ 15,37"
https://www.farmaciasindependente.com.br/cloridrato-de-naratriptana-25mg-10-comprimidos-nova-quimica,"R$ 39,69","R$ 29,93"
https://www.farmaciasindependente.com.br/losartana-potassica-50mg-30-comprimidos-ems,"R$ 20,38","R$ 7,45"
https://www.farmaciasindependente.com.br/pulmicort-suspensao-025mg-ml-5x2ml,,"R$ 56,13"
https://www.farmaciasindependente.com.br/vick-pyrena-sache-unitario-5g-mel-limao,,"R$ 4,59"
