,ids
0,95130
1,103788
2,95045
3,95040
4,95043
5,10016074
6,103766
7,95041
8,95046
9,10017269
10,95042
11,10016293
12,10017017
13,10017272
14,10017276
15,95163
16,95044
17,10015869
18,10016384
19,10016698
20,10016978
21,103764
22,95786
23,95050
24,10015876
25,10016879
26,103767
27,103763
28,95122
29,95165
30,95189
31,95049
32,104332
33,111006
34,111653
35,112146
36,10015927
37,10015972
38,10016063
39,10016105
40,10016151
41,10016147
42,10016182
43,10016251
44,10016253
45,10016271
46,10016259
47,10016273
48,10016300
49,10016306
50,10016393
51,10016403
52,10016641
53,10016615
54,10016804
55,10016829
56,10017016
57,10017021
58,10016941
59,10017042
60,10017194
61,10017238
62,10017215
63,10017252
64,10017356
65,10017345
66,10017358
67,10017403
68,10017420
69,10017521
70,114874
71,117572
72,120210
73,114870
74,628280
75,111498
76,117575
77,860060
78,104300
79,447250
80,99208
81,111185
82,114414
83,101839
84,109716
85,120209
86,106537
87,119274
88,119364
89,111540
90,97318
91,113933
92,113688
93,842850
94,106589
95,104823
96,103171
97,98919
98,105490
99,111495
100,100615
101,115486
102,406100
103,111505
104,629600
105,112649
106,102666
107,576920
108,931460
109,112719
110,111788
111,104301
112,111186
113,104482
114,102389
115,105101
116,102321
117,403410
118,97389
119,102501
120,857440
121,102794
122,635750
123,616700
124,100703
125,113753
126,109827
127,112157
128,99768
129,101607
130,492360
131,106822
132,857420
133,105102
134,446690
135,99318
136,334804
137,576940
138,615500
139,103748
140,385522
141,115175
142,397300
143,530250
144,116065
145,97700
146,102875
147,400850
148,698320
149,450730
150,107190
151,111367
152,102378
153,103875
154,119275
155,846260
156,10008232
157,118881
158,96376
159,114338
160,115594
161,115176
162,104328
163,367621
164,846290
165,106590
166,99715
167,115476
168,436750
169,119365
170,100096
171,120111
172,105487
173,638400
174,118420
175,110822
176,104330
177,97821
178,105944
179,100628
180,424670
181,437120
182,101837
183,111506
184,111868
185,562330
186,103607
187,103872
188,537260
189,97707
190,111522
191,114410
192,484310
193,111366
194,100095
195,95463
196,443210
197,101836
198,102693
199,95466
200,109265
201,111069
202,868410
203,100645
204,102667
205,115103
206,103611
207,111561
208,115535
209,49650
210,97701
211,472060
212,111475
213,111510
214,101866
215,104174
216,104312
217,102377
218,115955
219,106034
220,105835
221,103730
222,595810
223,104676
224,103721
225,424450
226,659580
227,629590
228,99185
229,102542
230,96224
231,484380
232,100702
233,111794
234,116869
235,109511
236,114597
237,117571
238,114873
239,665700
240,96225
241,104318
242,658900
243,113376
244,97706
245,104323
246,117254
247,115533
248,105488
249,111784
250,96223
251,109389
252,111187
253,104302
254,105500
255,985430
256,101986
257,107162
258,100087
259,106833
260,104326
261,880550
262,857290
263,96138
264,98044
265,106935
266,557810
267,103722
268,104341
269,118841
270,102051
271,104339
272,120034
273,119087
274,95464
275,116571
276,96356
277,95468
278,802550
279,110826
280,104013
281,114297
282,118419
283,998830
284,106200
285,564290
286,96070
287,102381
288,97107
289,316960
290,97699
291,106305
292,99227
293,102383
294,603670
295,115523
296,632370
297,100747
298,103355
299,980100
300,421820
301,111165
302,615490
303,998090
304,99320
305,109515
306,127159
307,103609
308,99352
309,96071
310,111396
311,625880
312,865360
313,104756
314,706220
315,99759
316,127191
317,682220
318,101834
319,111639
320,99079
321,111523
322,111511
323,118493
324,106579
325,530240
326,102010
327,95467
328,102163
329,106793
330,98584
331,118842
332,101797
333,97703
334,107931
335,100050
336,96231
337,436380
338,104338
339,865380
340,104819
341,102783
342,99834
343,97122
344,446030
345,109828
346,110821
347,110824
348,102044
349,111504
350,385590
351,104337
352,117725
353,102361
354,96333
355,660780
356,698550
357,103280
358,446670
359,111965
360,109174
361,100555
362,102232
363,96546
364,106574
365,680700
366,103052
367,114864
368,97684
369,100212
370,420660
371,101606
372,104769
373,854190
374,104185
375,980110
376,114302
377,105012
378,421830
379,112639
380,111628
381,110825
382,108213
383,859130
384,100748
385,114301
386,109266
387,99187
388,832350
389,105865
390,109714
391,96374
392,372830
393,104095
394,111800
395,106234
396,115857
397,372790
398,992770
399,108904
400,116375
401,914980
402,112147
403,117301
404,102755
405,102045
406,102386
407,99322
408,859140
409,104329
410,542280
411,106426
412,104303
413,103057
414,868430
415,102052
416,104333
417,113644
418,97315
419,111474
420,104314
421,943570
422,103048
423,96226
424,111507
425,107937
426,112773
427,99148
428,97108
429,345760
430,102500
431,719660
432,111785
433,113408
434,96801
435,103716
436,426330
437,562320
438,101867
439,111000
440,10007633
441,111454
442,111793
443,693770
444,103825
445,601450
446,103608
447,96149
448,98588
449,115386
450,817210
451,373160
452,102777
453,106425
454,112578
455,99769
456,401571
457,112209
458,108251
459,120694
460,104317
461,111786
462,346570
463,96830
464,119899
465,857670
466,102382
467,102015
468,104342
469,371378
470,102687
471,117475
472,116820
473,957350
474,103723
475,104331
476,107187
477,110782
478,115202
479,100357
480,114365
481,109854
482,494220
483,549720
484,100718
485,527620
486,114043
487,485180
488,428490
489,105164
490,96367
491,707190
492,698330
493,98590
494,101991
495,106140
496,109251
497,106199
498,103451
499,110375
500,96820
501,118820
502,165940
503,682090
504,102856
505,108876
506,115522
507,115534
508,117729
509,120693
510,117468
511,104022
512,96832
513,96232
514,107774
515,842960
516,95777
517,101123
518,112148
519,385565
520,110837
521,96941
522,666810
523,106198
524,106925
525,832460
526,105494
527,829240
528,103873
529,681720
530,943590
531,104470
532,96823
533,103750
534,110272
535,110755
536,119348
537,101993
538,118401
539,497320
540,682170
541,693340
542,881350
543,103079
544,112342
545,104009
546,103749
547,541220
548,821820
549,112301
550,104822
551,110564
552,100051
553,96609
554,677250
555,112220
556,101917
557,979090
558,105491
559,846950
560,115178
561,108870
562,102702
563,117470
564,110056
565,115396
566,469110
567,151850
568,96369
569,880180
570,103690
571,400017
572,943610
573,111390
574,111640
575,346430
576,112645
577,701180
578,161260
579,416110
580,943950
581,103712
582,103055
583,848150
584,99119
585,105341
586,99872
587,113092
588,883620
589,700440
590,114598
591,115237
592,112628
593,671660
594,118433
595,106427
596,103285
597,117138
598,99766
599,385638
600,118963
601,101868
602,601490
603,111819
604,113197
605,698350
606,102858
607,96120
608,117334
609,112626
610,106431
611,19850
612,480450
613,104678
614,104315
615,110053
616,106430
617,880330
618,103078
619,111138
620,957190
621,112923
622,96839
623,103058
624,843490
625,381284
626,382493
627,110259
628,670710
629,97223
630,113199
631,99226
632,111244
633,97141
634,598480
635,103720
636,97580
637,19840
638,846040
639,108058
640,494200
641,96856
642,316407
643,117139
644,110508
645,414000
646,102016
647,101249
648,421230
649,118379
650,106500
651,110057
652,96917
653,99878
654,104369
655,111166
656,425980
657,117731
658,101216
659,103887
660,501930
661,99832
662,427090
663,119088
664,105100
665,97702
666,104038
667,104534
668,104771
669,849970
670,103185
671,97142
672,98239
673,96395
674,854780
675,96394
676,100380
677,106432
678,96150
679,118331
680,475010
681,589460
682,102000
683,103610
684,119133
685,103711
686,96119
687,119949
688,96862
689,112300
690,117141
691,119421
692,883060
693,103826
694,111492
695,462410
696,594930
697,857460
698,874660
699,111153
700,118422
701,445720
702,880170
703,96978
704,957240
705,582680
706,101897
707,96652
708,857430
709,108211
710,107186
711,101814
712,106492
713,872200
714,103613
715,99535
716,109233
717,698370
718,468450
719,96698
720,961770
721,910570
722,462420
723,404670
724,117476
725,118769
726,96072
727,111787
728,108210
729,101833
730,108875
731,110870
732,957390
733,550960
734,100624
735,435670
736,385701
737,102040
738,105814
739,109896
740,494230
741,943680
742,101649
743,102037
744,103709
745,112592
746,113195
747,97328
748,106429
749,106428
750,104313
751,110760
752,96980
753,106600
754,105866
755,103882
756,109173
757,97202
758,111389
759,117477
760,840680
761,106025
762,101987
763,105514
764,117436
765,120003
766,102007
767,109440
768,96829
769,99874
770,693790
771,691940
772,96979
773,98020
774,101921
775,111651
776,96818
777,98733
778,706260
779,104336
780,100918
781,829160
782,105496
783,116346
784,640490
785,830640
786,106739
787,111859
788,347205
789,471490
790,104946
791,112637
792,110339
793,110562
794,99165
795,108658
796,109859
797,108335
798,667360
799,427160
800,998120
801,101832
802,436330
803,103717
804,110753
805,111418
806,440270
807,97705
808,601970
809,102384
810,102770
811,111818
812,108894
813,113194
814,110260
815,99758
816,95844
817,111020
818,117923
819,120047
820,671610
821,698540
822,102588
823,100971
824,96610
825,111409
826,115900
827,857410
828,106141
829,105905
830,953930
831,668890
832,595060
833,103687
834,98474
835,117386
836,108888
837,105773
838,874200
839,857480
840,534630
841,527430
842,345900
843,120698
844,113790
845,110943
846,823200
847,805630
848,829670
849,589020
850,108176
851,99180
852,877920
853,682160
854,32557
855,111410
856,605310
857,403910
858,96826
859,97123
860,111465
861,502320
862,120692
863,117931
864,112769
865,99225
866,96366
867,114478
868,110055
869,104770
870,101115
871,564280
872,97232
873,101809
874,108900
875,967650
876,856030
877,103705
878,84630
879,494210
880,442710
881,113868
882,99032
883,105827
884,96263
885,116025
886,102264
887,100622
888,102658
889,111862
890,108214
891,96719
892,726300
893,880060
894,103019
895,109687
896,95778
897,494190
898,102779
899,111949
900,113085
901,97002
902,99223
903,666490
904,601500
905,104211
906,104316
907,109894
908,682070
909,106522
910,101835
911,104677
912,106829
913,112902
914,115196
915,119900
916,106143
917,101652
918,114140
919,99222
920,817800
921,631610
922,100382
923,102754
924,102047
925,116819
926,679520
927,100301
928,105822
929,101239
930,114272
931,99118
932,543540
933,957260
934,890120
935,105764
936,107157
937,114322
938,109203
939,100524
940,104308
941,115228
942,97316
943,120204
944,803730
945,100341
946,106499
947,106571
948,103212
949,115193
950,99422
951,99073
952,111493
953,117236
954,115387
955,114985
956,113638
957,114506
958,112328
959,118421
960,109441
961,872210
962,102850
963,98585
964,446680
965,104565
966,113198
967,110052
968,101287
969,101245
970,99716
971,98591
972,117635
973,119360
974,119361
975,119086
976,113412
977,105906
978,968450
979,100346
980,100159
981,427310
982,427220
983,104467
984,119911
985,112776
986,116614
987,957640
988,110756
989,97708
990,111470
991,386987
992,100616
993,100784
994,103018
995,96834
996,96854
997,117318
998,698360
999,857470
1000,100070
1001,105760
1002,103689
1003,104778
1004,115043
1005,97565
1006,8340
1007,645310
1008,103713
1009,100262
1010,102014
1011,112347
1012,112581
1013,108059
1014,120646
1015,829650
1016,100779
1017,101869
1018,105907
1019,104304
1020,108657
1021,114951
1022,117142
1023,119977
1024,120554
1025,957370
1026,943740
1027,112281
1028,114647
1029,424420
1030,372800
1031,594680
1032,806840
1033,108999
1034,109713
1035,108056
1036,111473
1037,950810
1038,856040
1039,106526
1040,104335
1041,105057
1042,112629
1043,96833
1044,115590
1045,116064
1046,417490
1047,604430
1048,104423
1049,49630
1050,107161
1051,96824
1052,436370
1053,406070
1054,817770
1055,943690
