url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/fralda-infantil-voike-baby-p-pacote-28un,"R$ 19,99","R$ 24,99"
https://www.santoremedio.com.br/fralda-infantil-descartavel-baby-tamanho-m-voike-24un,"R$ 19,99","R$ 24,99"
https://www.santoremedio.com.br/fralda-infantil-voike-baby-xg-pacote-16un,"R$ 19,99","R$ 24,99"
https://www.santoremedio.com.br/fralda-descartavel-infantil-baby-tamanho-g-voike-20un,"R$ 19,99","R$ 24,99"
https://www.santoremedio.com.br/chupeta-orto-n2-girl,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/chup-ultra-air-6-18m-d-meninos-dup-avt,"R$ 64,99","R$ 64,99"
https://www.santoremedio.com.br/chup-ultra-soft-6-18m-cinza-avt,"R$ 43,99","R$ 43,99"
https://www.santoremedio.com.br/chup-ultra-soft-6-18m-meninos-avt,"R$ 43,99","R$ 43,99"
https://www.santoremedio.com.br/chupeta-n1-lumina-azul-2081-kuka,"R$ 12,50","R$ 16,99"
https://www.santoremedio.com.br/chupeta-premium-ortodontica-no1-branca-ref-2746-kuka,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/chupeta-neopan-silic-azul-tam-2,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/chupeta-neopan-silic-ort-rosa-tam-2,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/chupeta-neopan-silic-ort-branco-tam-2,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/chupeta-lumina-n1-rosa-2082-kuka,"R$ 10,05","R$ 15,99"
https://www.santoremedio.com.br/chup-buba-comfort-tam1-not-foguete,"R$ 10,00","R$ 18,90"
https://www.santoremedio.com.br/kit-chup-buba-comfort-tam1-not-foguet,"R$ 19,16","R$ 22,99"
https://www.santoremedio.com.br/kit-chup-buba-conf-tam1-urs-est-rosa-2un,"R$ 12,95","R$ 19,99"
https://www.santoremedio.com.br/chup-buba-comfort-tam2-azul,"R$ 10,71","R$ 12,99"
https://www.santoremedio.com.br/chupeta-de-silicone-soothie-neutra-4-6-meses-avent,"R$ 28,92","R$ 48,99"
https://www.santoremedio.com.br/chup-soothies-4-6m-meninos-dup-azul-avt,"R$ 46,27","R$ 74,99"
https://www.santoremedio.com.br/chup-ultra-air-6-18m-flamingo-avt,"R$ 28,99","R$ 28,99"
https://www.santoremedio.com.br/chup-ultra-air-6-18m-d-meninas-dup-avt,"R$ 64,99","R$ 64,99"
https://www.santoremedio.com.br/chup-decor-conv-n-2-azul-nep,"R$ 9,99","R$ 9,99"
https://www.santoremedio.com.br/chup-decor-conv-n-2-rosa-nep,"R$ 9,99","R$ 9,99"
https://www.santoremedio.com.br/chup-criativa-conv-n-1-azul-nep,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/chup-criativa-conv-n-2-azul-nep,"R$ 10,99","R$ 10,99"
