farmacia,cidade,nome,preco_com_desconto,preco_sem_desconto,percentual_de_desconto,marca,ean,descricao
Amo Beleza,São Paulo,Sem nome disponível.,,,,Sem marca disponível.,,Sem descrição disponível.
Amo Beleza,São Paulo,Sem nome disponível.,,,,Sem marca disponível.,,Sem descrição disponível.
Amo Beleza,São Paulo,Sem nome disponível.,,,,Sem marca disponível.,,Sem descrição disponível.
Amo Beleza,São Paulo,Sem nome disponível.,,,,Sem marca disponível.,,Sem descrição disponível.
Amo Beleza,São Paulo,Sem nome disponível.,23.0,,,Wella Professionals,,"A Ampola para Nutrição Wella Professionals Invigo Nutri Enrich 10 ml, tem ativos e vitaminas que nutrem, hidratam e restauram a saúde dos fios.Em cabelos secos e danificados a ampola para nutrição tem ação instantânea. Benefícios:Nutre;Hidrata;Restaura;Brilho e Maciez.Modo de usar:Use a ampola nos cabelos limpos e úmidos, pelo comprimento e pontas.  Massageie mecha a mecha, como finalizador sem enxágue."
Amo Beleza,São Paulo,Sem nome disponível.,30.0,,,L'Oréal Professionnel,,"Powerdose Nutrifier é uma ampola de hidratação profunda própria para cabelos secos, fazendo com que os cabelos fiquem livres de ressecamentos e pontas duplas. Sua fórmula é a primeira profissional que contém óleo de coco que ajuda na textura dos cabelos e equilibrar a umidade natural dos cabelos. L'Oréal Professionnel Power Nutrifier Ampola faz com que os cabelos fiquem cheios de vida, hidratados, nutridos e protegidos de futuros ressecamentos."
Amo Beleza,São Paulo,Sem nome disponível.,,,,Sem marca disponível.,,Sem descrição disponível.
Amo Beleza,São Paulo,Sem nome disponível.,57.0,,,Cadiveu Professional,,"A Cadiveu Professional Oxidante Estabilizada com 12% de Peróxido de Hidrogênio associada à Coloração ou ao Descolorante permite uma revelação perfeita e uniformidade dos pigmentos, sendo utilizada para os Serviços de clareamento de 5 a 8 tons, de acordo com o diagnóstico, o produto e a técnica, associados, garantindo ainda um resultado de maciez e balanço, por possuir uma formulação cosméticamente tecnológica."
Amo Beleza,São Paulo,Sem nome disponível.,,,,Cadiveu Professional,,"Ampola de Reconstrução Cadiveu Professional Glamour é um tratamento cosmético em dose única que nutre os cabelos secos, sensibilizados e quimicamente tratados. Sua fórmula ultra condicionante é enriquecida com proteínas do trigo, soja e aveia que formam um escudo protetor na fibra capilar, preservando a cor, impedindo a perda de água e blindando os fios contra as agressões externas. As micropartículas de rubi, presentes em sua composição, possuem alta concentração de nutrientes minerais que promovem brilho, efeito cintilante e toque acetinado. O resultado são cabelos nutridos, hidratados e iluminados da raiz às pontas."
Amo Beleza,São Paulo,Sem nome disponível.,49.0,,,Cadiveu Professional,,"A Cadiveu Professional Oxidante Estabilizada com 9% de Peróxido de Hidrogênio associada à Coloração ou ao Descolorante permite uma revelação perfeita e uniformidade dos pigmentos, sendo utilizada para os Serviços de clareamento de 3 a 5 tons, de acordo com o diagnóstico, o produto e a técnica, associados, garantindo ainda um resultado de maciez e balanço, por possuir uma formulação cosméticamente tecnológica."
