Nome,Descrição,SKU,Preço
Dipirona Sódica 500mg Prati Genérico Envelope com 10 Comprimidos,DIPIRONA 500MG CPR EV 10 PRATI GEN,82510,2.96
Ozempic 1mg Solução Injetável com 1 Sistema de Aplicação + 4 Agulhas Descartáveis,Ozempic 1mg 1 Caneta + 4 Agulhas,5157,1017.05
Sildenafila 50mg Neo Química Genérico com 4 Comprimidos,Sildenafila 50mg com 4 Comprimidos Revestidos Neo Química Genérico,77775,4.00
Nimesulida 100mg EMS Genérico com 12 Comprimidos,Nimesulida 100mg com 12 Comprimidos Ems Genéricos,34624,2.99
Tadalafila 20mg Neo Química Genérico com 4 Comprimidos,Tadalafila 20mg com 4 Comprimidos Revestidos Neo Quimica Genéricos,7008,4.89
Dipirona Sódica 1g Neo Química Genérico com 10 Comprimidos,Dipirona Sódica 1g com 10 Comprimidos Neo Química Genérico,72248,8.61
Glifage XR 500mg com 30 Comprimidos de Liberação Prolongada,Glifage XR 500mg RM Com 30 Comprimidos,11979,7.99
Aradois 50mg com 30 Comprimidos,Aradois 50mg com 30 Comprimidos,1757,6.99
Rosuvastatina 10mg EMS Genérico com 30 Comprimidos,Rosuvastatina Cálcica 10mg com 30 comprimidos Revestidos EMS Génerico,89525,13.33
Losartana Potássica 50mg EMS Genérico com 30 Comprimidos,Losartana Potássica 50mg com 30 Comprimidos Revestidos EMS Génerico,85294,4.00
Alopurinol 300mg Medley Genérico com 30 Comprimidos,Alopurinol 300mg com 30 Comprimidos Medley Genéricos,70107,9.99
Atorvastatina 20mg EMS Genérico com 30 Comprimidos,Atorvastatina 20mg com 30 comprimidos EMS Genérico,62823,10.20
Besilato Anlodipino 5mg Geolab Genérico com 30 Comprimidos,Besilato de Anlodipino 5mg com 30 Comprimidos Geolab Genérico,87310,3.86
"Reidratante Catarinense Envelope com 8,5g","REIDRATANTE CATARINENSE EV 8,5G",70620,1.79
Albendazol 400mg Medley Genérico com 1 Comprimido,Albendazol 400mg com 1 Comprimido Medley Genéricos,48693,2.99
Pantoprazol 40mg Medley Genérico com 42 Comprimidos Revestidos,Pantoprazol 40mg com 42 Comprimidos Medley Genéricos,77918,16.00
Paracetamol 750mg Neo Química Genérico com 20 Comprimidos,Paracetamol 750mg Com 20 Comprimidos Neo Química Genéricos,72256,5.99
"Indapamida 1,5mg com 30 Comprimidos Revestidos de Liberação Prolongada","Indapamida 1,5mg EMS Genérico é um comprimido de liberação prolongada que contém indapamida como seu princípio ativo. A indapamida é um diurético e é indicado no tratamento da hipertensão arterial essencial.",72926,9.49
Dipirona Sódica 500mg/ml Medley Genérico Gotas com 10ml,Dipirona Monoidratada 500mg Gotas 10ml Medley Genérico,34286,3.00
Tadalafila 20mg EMS Genérico com 4 Comprimidos,Tadalafila 20mg Com 4 Comprimidos Revestidos Genérico,12365,9.99
Rosuvastatina 20mg EMS Genérico com 30 Comprimidos,Rosuvastatina 20mg Com 30 Comprimidos Revestidos EMS Genérico,1442,22.00
Desvenlafaxina 100mg Medley Genérico com 30 Comprimidos,Desvenlafaxina 100mg com 30 Comprimidos Revestidos Medley Generico,19168,47.99
Ibuprofeno 600mg Prati Genérico com 20 Comprimidos,Ibuprofeno 600mg com 20 Comprimidos Prati Genérico,58307,7.99
Lorasliv 10mg com 12 Comprimidos,Lorasliv 10mg com 12 Comprimidos,94936,3.79
Prednisona 20mg EMS Genérico com 10 Comprimidos,Prednisona 20mg com 10 Comprimidos Ems Genéricos,43863,7.99
Prednisolona 20mg EMS Genérico com 10 Comprimidos,Prednisolona 20mg com 10 Comprimidos EMS Genéricos,73289,7.99
Fexofenadina 120mg Neo Química Genérico com 10 Comprimidos Revestidos,Fexofenadina 120mg com 10 comprimidos Neoquimica Genéricos,30645,11.33
Sildenafila 50mg Medley Genérico com 4 Comprimidos,Citrato de Sildenafila 50mg 4 Comprimidos Medley Genérico,70291,5.01
Doralgina com 20 Drágeas,Doralgina com 20 Drágeas,69861,8.99
Atorvastatina 40mg EMS Genérico com 30 Comprimidos Revestidos,Atorvastatina 40mg com 30 Comprimidos EMS Genérico,62822,22.00
Pantoprazol 20mg com 28 Comprimidos Medley Genérico,Pantoprazol 20mg com 28 Comprimidos Medley Genérico,40051,8.00
Simeticona 125mg Biosintética Genérico com 10 Cápsulas,Simeticona 125mg com 10 Cápsulas Gel Aché,71680,5.99
Alopurinol 100mg Prati Genérico com 30 Comprimidos,Alopurinol 100mg com 30 Comprimidos Prati Genéricos,72633,6.99
Apresolina 50mg com 20 Drágeas,Apresolina 50mg com 20 Drágeas,3086,7.99
"Drospirenona 3mg + Etinilestradiol 0,03mg EMS Genérico com 21 Comprimidos",Drospirenona 3mg + Etinilestradiol 30mcg Com 21 Comprimidos EMS Genérico,11151,17.33
Metoprolol Succinato 25mg Neo Química Genérico com 30 Comprimidos Revestidos de Liberação Prolongada,Succinato de Metoprolol 25mg com 30 Comprimidos Revestidos de Liberação Prolongada Neo Química Genéricos,85448,10.79
Espironolactona 25mg EMS Genérico com 30 Comprimidos,Espironolactona 25mg com 30 Comprimidos EMS Genéricos,43858,9.29
Tadalafila 5mg Biosintética Genérico com 30 Comprimidos Revestidos,Tadalafila 5mg com 30 Comprimidos Revestidos Ache Genéricos,10004,15.99
Epocler Flaconete 10ml,Epocler Flaconete 10ml Avulso,2537,3.08
Fluconazol 150mg Medquímica Genérico com 2 Cápsulas,Fluconazol 150mg com 2 Comprimidos Medquímica Genérico,88097,5.00
Neosoro Adulto Solução Nasal Gotas 30ml,Neosoro Solução Nasal Adulto Gotas 30ml,38718,5.99
Omeprazol 20mg Globo Genérico com 56 Cápsulas Gelatinosas Duras,Omeprazol 20mg Com 56 Capsulas Globo Genéricos,9463,8.69
Simeticona 75mg/ml Biosintética Genérico Gotas com 15ml,Simeticona 75mg Sabor Laranja Antigases Emulsão Oral Uso Adulto e Pediátrico Sem Corante Gotas 15ml Biosintética,96257,4.59
Atorvastatina 10mg EMS Genérico com 30 Comprimidos,Atorvastatina 10mg com 30 comprimidos EMS Genérico,62824,13.60
Atenolol 25mg Sandoz Genérico com 30 Comprimidos,Atenolol 25mg 30 Comprimidos Sandoz Genéricos,45098,2.89
Saxenda 6mg/ml Injetável com 3 Canetas Preenchidas de 3ml cada,Saxenda 6mg/ml Solução Injetável de 3ml com 3 Sistemas de Aplicação,84348,686.01
Venvanse 70mg com 28 Cápsulas,Venvanse 70mg 28 Cápsulas,66460,454.99
Duloxetina 60mg EMS Genérico com 30 Cápsulas,Duloxetina Ret 60mg Com 30 Capsulas EMS Genérico,6639,89.99
Hidroclorotiazida 25mg Neo Química Genérico com 30 Comprimidos,Hidroclorotiazida 25mg com 30 Comprimidos Neo Quimica Genérico,65159,2.10
