EAN,SKU,Nome,Marca,Descrição,Farmácia,Preço_sem_desconto,Preço_com_desconto,Porcentagem_desconto,Cidade,Região
7897316805411.0,5961,LUMIGAN RC SOLUCAO OFTALMICA 0.1MG 5 ML x 1 (/ML),ALLERGAN,"Lumigan RC Colírio Allergan 5ml é uma solução oftálmica destinada a reduzir a pressão aumentada dentro dos olhos, especialmente em casos de glaucoma. LUMIGAN® é contraindicado para pessoas que apresentam alergia a bimatoprosta ou qualquer um dos componentes de sua fórmula",Farma Conde,261.85,187.46,0.28,São Paulo,Sudeste
7897316804926.0,6548,COMBIGAN SOLUCAO OFTALMICA 2MG/ 5MG 5 ML x 1 (/ML),ALLERGAN,"COMBIGAN é indicado no tratamento de pacientes com glaucoma ou que apresentam pressão aumentada nos olhos e que podem correr o risco de perder a visão. O produto tem a propriedade de reduzir a pressão ocular, mantê-la em níveis normais e evitar que ocorram as lesões nas estruturas oculares que levam à perda da visão.COMBIGAN É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,149.59,115.89,0.23,São Paulo,Sudeste
7897316806012.0,5927,LASTACAFT SOLUCAO OFTALMICA 0.25% 3 ML x 1,ALLERGAN,Lastacaft 025% Frasco Com 3M,Farma Conde,76.37,62.62,0.18,São Paulo,Sudeste
7897316805404.0,5602,LUMIGAN RC SOLUCAO OFTALMICA 0.1MG 3 ML x 1 (/ML),ALLERGAN,"Lumigan RC 0,01% 3ml Solução Estéril é uma solução oftálmica destinada a reduzir a pressão aumentada dentro dos olhos, especialmente em casos de glaucoma. LUMIGAN® é contraindicado para pessoas que apresentam alergia a bimatoprosta ou qualquer um dos componentes de sua fórmula",Farma Conde,157.16,112.51,0.28,São Paulo,Sudeste
7897316805268.0,5097,ALPHAGAN Z SOLUCAO OFTALMICA 0.1% 5 ML x 1,ALLERGAN,"Alphagan Z é indicado no tratamento de pacientes com glaucoma de ângulo aberto ou pressão ocular elevada (pressão aumentada dentro dos olhos).ALPHAGAN Z 0,1% É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,68.17,55.9,0.18,São Paulo,Sudeste
7897316806623.0,4509,TRIPLENEX SOLUCAO OFTALMICA 5 ML x 1,ALLERGAN,Triplenex é indicado para redução da pressão intraocular (PIO) em pacientes com glaucoma de ângulo aberto ou hipertensão ocular que requerem o uso de terapia combinada para controle da PIO.TRIPLENEX 5ML É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA,Farma Conde,254.36,208.58,0.18,São Paulo,Sudeste
7897316805053.0,4477,GANFORT SOLUCAO OFTALMICA 0.3/ 5MG 3 ML x 1 (/ML),ALLERGAN,Ganfort é indicado para tratamento de pacientes com glaucoma ou que apresentam hipertensão ocular (pressão nos olhos aumentada).GANFORT É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA,Farma Conde,159.51,122.92,0.23,São Paulo,Sudeste
7897316802335.0,3692,STILL COLIRIO 1% 5 ML x 1,ALLERGAN,"Indicado para Reações inflamatórias do segmento anterior do globo ocular: conjuntivite crônica, ceratoconjuntivite, afecções pós-traumáticas dolorosas da córnea e conjuntiva, no pré e pós-operatório de cirurgia ocular, úlceras marginais da córnea, ceratite fotoelétrica e episclerite. Adjuvante no tratamento da inflamação na ceratite do estroma corneano por herpes.",Farma Conde,21.51,17.64,0.18,São Paulo,Sudeste
7897316800300.0,3153,PRED FORT SUSPENSAO OFTALMICA 1% 5 ML x 1,ALLERGAN,"Nas inflamações da conjuntiva bulbar e palpebral, nas inflamações da córnea e segmento anterior do globo, suscetíveis a esteróides.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. PRED FORT COLÍRIO 5ML É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO E O FARMACÊUTICO. LEIA A BULA",Farma Conde,55.98,45.9,0.18,São Paulo,Sudeste
7897316805077.0,4876,RESTASIS EMULSAO OFTALMICA 0.05% 0.4 ML x 30,ALLERGAN,Restasis emulsão oftálmica é indicada para aumentar a produção de lágrimas em pacientes cuja produção é supostamente suprimida devido à inflamação ocular associada à ceratoconjuntivite seca (síndrome do olho seco). O aumento da produção de lágrimas não foi observado em pacientes recebendo medicamentos tópicos oculares anti-inflamatórios ou usando tampões para ocluir o sistema de drenagem lacrimal.,Farma Conde,291.75,239.24,0.18,São Paulo,Sudeste
7897316804179.0,4133,LUMIGAN SOLUCAO OFTALMICA 0.03% 3 ML x 1,ALLERGAN,Indicação:- É indicado para pacientes com glaucoma ou que apresentam pressão ocular aumentada.- Prevenção e tratamento da dor e da inflamação pós-operatórias associadas à cirurgia da catarata.,Farma Conde,194.55,159.53,0.18,São Paulo,Sudeste
7897316806081.0,4235,GANFORT UD FLACONETE OFTALMICO 0.3/ 5MG 0.4 ML x 30 (/ML),ALLERGAN,"O Optive UD é um lubrificante indicado para a superfície ocular, proporciona alívio da ardência, irritação, sensação de areia e corpo estranho.  Optive UD possui uma formulação de dupla ação: lubrificante e osmoprotetor da superfície ocular, proporcionando alívio da ardência, irritação, secura ocular, sensação de areia e corpo estranho que podem ser causados por poeira, fumaça, sol, vento, ar seco e ar condicionado. Optive UD é indicado também no uso pós-operatório de cirurgias de correção visual - LASIK (laser assisted in-situ keratomileusis). Age também como protetor contra as irritações oculares.",Farma Conde,223.29,183.1,0.18,São Paulo,Sudeste
7897316801154.0,3426,ATROPINA COLIRIO 1% 5 ML x 1,ALLERGAN,"Indicado para exames de fundo de olho, exames de refração, para prevenir aderências da íris ao cristalino nas irites, irodiclites e coroidites e nas ceratites. O tempo para desenvolver midríase máxima pela Atropina aplicada topicamente no globo ocular é de 30 a 40 minutos. O efeito persiste e a recuperação completa ocorre dentro de cerca de 7 a 10 dias. Devido à possibilidade de borramento de visão, a Atropina pode causar distúrbios na capacidade de dirigir veículos e operar máquinas, recomendando-se cautela aos pacientes nessas situações.",Farma Conde,13.68,11.22,0.18,São Paulo,Sudeste
7897316805299.0,3700,RELESTAT SOLUCAO OFTALMICA 0.5MG 5 ML x 1 (/ML),ALLERGAN,"Este medicamento é indicado é um colírio indicado para o tratamento e prevenção dos sintomas de irritação e coceira nos olhos, que caracterizam a conjuntivite alérgica sazonal.",Farma Conde,81.09,66.49,0.18,São Paulo,Sudeste
7897316801390.0,3428,CROMOLERG COLIRIO 2% 5 ML x 1,ALLERGAN,"Por sua ação antialérgica, Cromolerg® (cromoglicato dissódico) solução oftálmica é indicado no tratamento das afecções alérgicas conjuntivais.",Farma Conde,16.4,13.45,0.18,São Paulo,Sudeste
7898582380183.0,6698,BELARA COMPRIMIDO REVESTIDO 2MG x 21,GRUNENTHAL,"Belara é um anticoncepcional hormonal que deve ser tomado por via oral que, ao ser tomado da forma indicada nesta bula, inibe a ovulação e previne a gravidez. Ocorre, também, modificação do muco cervical, com consequente redução da migração e alteração da motilidade dos espermatozoides. Quando Belara é utilizado corretamente como contraceptivo, a chance de você engravidar é de 0,04% a cada ano de uso. A possibilidade de engravidar aumenta com o uso incorreto. A proteção contraceptiva tem início no primeiro dia de tomada e continua durante os intervalos de 7 dias livres de medicação. Os anticoncepcionais orais que contêm 2 hormônios como Belara, são também chamados de “contraceptivo oral combinado” (COC). Os 21 comprimidos presentes na embalagem possuem a mesma quantidade de hormônio e, portanto, Belara também é chamado de “preparação monofásica”",Farma Conde,64.25,51.04,0.21,São Paulo,Sudeste
7898582380206.0,6311,TOPERMA EMPLASTROS 5% x 10,GRUNENTHAL,"Toperma (lidocaína 5%) é indicado para o tratamento da dor neuropática associada à infecção anterior por herpes zoster (neuralgia pós-herpética, NPH).TOPERMA É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,189.25,155.19,0.18,São Paulo,Sudeste
7898582380268.0,3348,BELARINA COMPRIMIDO REVESTIDO 2MG x 28,GRUNENTHAL,"Belarina é indicado como anticoncepcional.BELARINA 2/0,02MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,64.25,51.39,0.2,São Paulo,Sudeste
7898582380527.0,13118,BELARA COMPRIMIDO REVESTIDO 21+7 2MG x 28,GRUNENTHAL,Belara C/21+7 Com,Farma Conde,64.25,52.69,0.18,São Paulo,Sudeste
7898582380237.0,6312,TOPERMA EMPLASTROS 5% x 30,GRUNENTHAL,Toperma 5% 30 Emplastro,Farma Conde,462.35,379.13,0.18,São Paulo,Sudeste
7891058464073.0,6853,NOVALGINA SOLUCAO ORAL 50MG 100 ML x 1 (/ML),NOVALGINA,"Novalgina é um medicamento à base de dipirona, utilizado no tratamento das manifestações dolorosas e febre. Os efeitos analgésico e antitérmico podem ser esperados em 30 a 60 minutos após a administração e geralmente persistem por aproximadamente 4 horas. ovalgina 50mg/ml é indicado como antitérmico (medicamento para febre) e analgésico (medicamento para dor).SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE",Farma Conde,46.93,37.5,0.2,São Paulo,Sudeste
7891058015756.0,14637,NOVALGINA COMPRIMIDO EFERVESCENTE 5X2 1G x 10,NOVALGINA,Novalgina Comprimido Efervescente 5X2 1G X 1,Farma Conde,33.49,27.46,0.18,São Paulo,Sudeste
7891058001155.0,6746,NOVALGINA COMPRIMIDO 1G x 10,NOVALGINA,"Novalgina é um medicamento à base de dipirona, utilizado no tratamento da dor e febre. Tempo médio de início de ação: 30 a 60 minutos após a administração e geralmente duram aproximadamente 4 horas. Este medicamento é indicado como analgésico (para dor) e antitérmico (para febre).SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE",Farma Conde,23.63,22.99,0.03,São Paulo,Sudeste
7891058467098.0,6854,NOVALGINA SUPOSITORIO INFANTIL 300MG x 5,NOVALGINA,Novalgina Supositorio Infantil 300Mg X,Farma Conde,19.81,16.24,0.18,São Paulo,Sudeste
7891058008635.0,8236,NOVALGINA COMPRIMIDO 3X10 500MG x 30,NOVALGINA,"Novalgina é um medicamento à base de dipirona, utilizado no tratamento da dor e febre. Tempo médio de início de ação: 30 a 60 minutos após a administração e geralmente duram aproximadamente 4 horas. Novalgina 500mg é indicado como analgésico (para dor) e antitérmico (para febre)",Farma Conde,43.17,35.4,0.18,São Paulo,Sudeste
7891058489038.0,6794,Novalgina 500Mg Solução Oral Frasco Gotejador Com 20Ml,NOVALGINA,"Novalgina é a marca mais recomendada por pediatras e especialistas em dor e febre. Com quase 100 anos de tradição, Novalgina é indicado como antitérmico para febre e analgésico para dor. Novalgina é um medicamento à base de dipirona, utilizado no tratamento dor e febre. Os efeitos analgésico e antitérmico podem ser esperados em 30 a 60 minutos após a administração e geralmente persistem por aproximadamente 4 horas. Novalgina cuidando de toda a família.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE",Farma Conde,30.52,30.52,0.0,São Paulo,Sudeste
7891058015787.0,14636,Novalgina 1Gr C/02 Comp Efervescente,NOVALGINA,Novalgina 1Gr C/02 Comp Efervescent,Farma Conde,6.05,4.69,0.22,São Paulo,Sudeste
7891058002848.0,13234,Novalgina 1G Com 4 Comprimidos,NOVALGINA,Novalgina 1G Com 4 Comprimido,Farma Conde,10.78,8.84,0.18,São Paulo,Sudeste
7891058001599.0,8265,Novalgina500 Mg,NOVALGINA,Novalgina500 M,Farma Conde,15.31,12.55,0.18,São Paulo,Sudeste
