EAN,SKU,Nome,Marca,Fabricante,Descrição,Preço_sem_desconto,Preço_com_desconto,Porcentagem_desconto,Tipo_desconto
7891317489663,1021246,VAST 10MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,VAST 10MG 30 CPRS,87.83,80.0,0.09,Normal
7891317000547,37218,EBASTEL XAROPE 60ML,eurofarma-laboratori,EUROFARMA LABORATORI,"Ebastel é um antialérgico que trata e alivia os sintomas da rinite alérgica como coceira, espirros, coriza, lacrimejamento, entupimento e secreção nasal associados ou não à conjuntivite. Na pele, trata a urticária aliviando os sintomas de coceira, ardor, lesões avermelhads e sobrelevadas, sendo o uso somente 1 vez ao dia e o tempo do início de ação rápido variando de 1 a 3 horas não causando sonolência.",71.22,65.0,0.09,Normal
7891317002787,1053192,Quet Xr 200Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,QUET XR 200MG 30 CPRS */B,406.69,375.05,0.08,Normal
7891317019204,153085,TAMIRAM 500MG 3 CPRS  */A,eurofarma-laboratori,EUROFARMA LABORATORI,"Tamiram é indicado para o tratamento de sinusite aguda bacteriana, pneumonia adquirida na comunidade, infecções do trato urinário complicadas e pielonefrite aguda causadas por cepas susceptíveis de bactérias, em pacientes com funcionamento normal dos rins.",49.96,44.99,0.1,Normal
7891317421755,1010733,SINOT CLAV 875MG+125MG 20CPRS  */A,eurofarma-laboratori,EUROFARMA LABORATORI,Gel Hidratante Intravaginal Relactagel 35g + 7 Aplicadores,156.95,145.01,0.08,Normal
7891317191689,1031423,Quet 25Mg 30Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,QUET 25MG 30CPRS */B,49.62,45.99,0.07,Normal
7891317124465,1031239,PRAIVA 400G 5 CPRS */A,eurofarma-laboratori,EUROFARMA LABORATORI,PRAIVA 400G 5 CPRS */A,156.17,145.0,0.07,Normal
7897076910554,998202,ALTIVA 120MG 10 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,ALTIVA 120MG 10 CPRS,53.64,50.0,0.07,Normal
7891317457211,1011180,ZINA 5MG 10CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,"Bramicar Hct 80mg/12,5mg Ems 60 Comprimidos",53.69,50.0,0.07,Normal
7897076910585,998772,ALTIVA 180MG 10 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,ALTIVA 180MG 10 CPRS,81.87,75.0,0.08,Normal
7891317443955,1017708,TAMISA 75/30MCG 84 DRGS SEM PARAR $,eurofarma-laboratori,EUROFARMA LABORATORI,TAMISA 75/30MCG 84 DRGS SEM PARAR $,114.83,100.01,0.13,Normal
