Região,Cidade,Farmácia,Produto,EAN,SKU,Preço sem Desconto,Preço com Desconto,Percentual de Desconto,Descrição
SE,São Paulo,Drogasil,"Colírio Hyabak 0,15% 10ml - Preço e para que serve?",3662042000058,14951,73.39,69.79,4.905300449652533,"Descrição do ProdutoPara que serve o Colírio Hyabak?Hyabak contém uma solução destinada a ser administrada nos olhos ou nas lentes de contato. É indicado para umedecimento e lubrificação dos olhos, em caso de sensações de secura ou de fadiga ocular induzidas por fatores exteriores, tais como o vento, fumaça, poluição, poeira, ar seco, ar condicionado, viagem de avião ou trabalho prolongado à frente de um computador.Como usar o Colírio Hyabak?Lavar cuidadosamente as mãos antes de fazer a aplicação, evite o contato da extremidade do frasco com os olhos ou as pálpebras.Instilar 1 gota de produto no canto do saco lacrimal inferior, puxando ligeiramente a pálpebra inferior para baixo e dirigindo o olhar para cima. O tempo de aparição de uma gota é mais longo do que com um frasco clássico.Tapar o frasco após utilização.Ao colocar as lentes de contato: instilar uma gota de Hyabak na concavidade da lente.Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do médico ou farmacêutico.Quando não devo usar o Colírio Hyabak?Se tiver hipersensibilidade aos componentes da fórmula."
SE,São Paulo,Drogasil,Xantinon Complex com 10ml,7896641812880,47441,3.52,3.52,0.0,"Descrição do ProdutoXantinon Complex também é indicado para o tratamento de transtornos metabólicos, nos casos de doença hepática gordurosa não alcoólica.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. XANTINON COMPLEX É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE O MÉDICO E O FARMACÊUTICO. LEIA A BULA."
SE,São Paulo,Drogasil,Sal de Fruta Eno Tradicional com 2 Envelopes de 5g Cada,7896015511159,76449,4.42,3.35,24.208144796380086,"Descrição do ProdutoPara que serve o Eno Sal de Frutas?Eno Sal de Fruta é um antiácido indicado para auxiliar na azia, má digestão e outros transtornos estomacais, tais como excesso de acidez do estômago e indigestão ácida.Como funciona o Eno Sal de Frutas?Os componentes do Sal de Frutas Eno quando dissolvidos em água, reagem entre si, produzindo um sal de efeito antiácido, capaz de iniciar a redução da acidez do estômago em 6 segundos.Como usar o Eno Sal de Frutas?Quando os sintomas ocorrerem, você deve dissolver 5g (conteúdo de 1 envelope ou 1 colher de chá) de Sal de Fruta Eno em um copo pequeno de água (200 ml) em temperatura ambiente.Espere completar a efervescência e beba de uma vez.Se necessário, repita a ingestão após 2 horas.ImportanteVocê não deve ultrapassar a dose diária máxima recomendada, de 2 envelopes ou 2 colheres de chá deste medicamento a cada 24 horas.Para esta dose, o período máximo de uso é de 14 dias.Siga corretamente o modo de usar.Em casos de dúvidas sobre este medicamento, procure orientação do farmacêutico.Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista.EspecificaçõesSal de Fruta Eno está disponível em 6 sabores e 2 tamanhos:Sabores Original, Tutti-Frutti, Laranja, Abacaxi, Guaraná e Limão.Sachê com 2 doses ou frasco de 100g com 20 doses.Quando não devo usar Eno Sal de Frutas?Você não deve tomar este medicamento se tiver história de alergia a quaisquer componentes da fórmula, se tiver pressão alta, problemas no fígado, coração ou rins ou se seguir uma dieta restrita em sódio.Este medicamento é contraindicado para menores de 12 anos de idade.Se persistirem os sintomas, o médico deverá ser consultado. Não use este medicamento se você tem restrição ao consumo de sal, insuficiência dos rins, do coração ou do fígado."
SE,São Paulo,Drogasil,Nimesulida 100mg Eurofarma com 12 comprimidos - Preço online,7891317422028,50199,31.78,4.85,84.73882945248583,"Descrição do ProdutoPara que serve o Nimesulida?Este medicamento é destinado ao tratamento de uma variedade de condições que requeiram atividade antiinflamatória (contra a inflamação), analgésica (contra a dor) e antipirética (contra a febre).Como usar o Nimesulida?USO ORALUSO ADULTO E PEDIÁTRICO ACIMA DE 12 ANOSVocê pode tomar nimesulida comprimidos após as refeições. Recomenda-se que a nimesulida, assim como todos os anti-inflamatórios não-esteroidais (AINEs), seja utilizada com a menor dose segura e pelo menor tempo possível de duração do tratamento.Você deve usar nimesulida apenas sob orientação do médico. Caso os sintomas não melhorem em 5 dias, entre em contato com o seu médico.Uso em adultos e crianças acima de 12 anos:A dose mais recomendada corresponde a 50 - 100 mg, ou seja, meio a um comprimido, que deve ser ingerido via oral junto a meio copo de água duas vezes ao dia. Nos casos excepcionais indicados pelo médico pode-se alcançar até 200 mg duas vezes ao dia, que devem ser tomados pelo tempo mais breve possível.Populações especiaisUso em pacientes com insuficiência renal (mau funcionamento dos rins)Não há necessidade de ajuste de dose para pacientes com mau funcionamento dos rins. Em casos de insuficiência renal grave (mau funcionamento grave dos rins) o medicamento é contraindicado.Uso em pacientes com insuficiência hepática (mau funcionamento do fígado)O uso de nimesulida é contraindicado em pacientes com insuficiência hepática.A segurança e eficácia de nimesulida somente são garantidas na administração por via oral. Os riscos de uso por via de administração não-recomendada são: a não-obtenção do efeito desejado e ocorrência de reações desagradáveis.Dose máxima diária limitada a 4 comprimidos.O uso deste medicamento é exclusivamente oral.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento de seu médico.Quando não devo usar o Nimesulida?Este medicamento é contraindicado para uso por pacientes que tenham alergia à nimesulida ou a qualquer outro componente do medicamento; histórico de reações de hipersensibilidade (exemplo: broncoespasmo – estreitamento dos brônquios que causa dificuldade para respirar, rinite – inflamação da mucosa do nariz, urticária –alergia na pele e angioedema – inchaço por baixo da pele) ao ácido acetilsalicílico ou a outros antiinflamatórios não-esteroidais (informe seu médico caso você tenha alergia a algum produto); histórico de reações hepáticas (do fígado) ao produto; pacientes com úlcera péptica (úlceras no estômago ou intestino) em fase ativa, ulcerações recorrentes (úlceras que vão e voltam) ou tenham hemorragia no trato gastrintestinal (sangramento no estômago e/ou intestinos); pacientes com distúrbios de coagulação graves; pacientes com insuficiência cardíaca grave (mau funcionamento grave do coração); pacientes com mau funcionamento dos rins grave e pacientes com mau funcionamento do fígado.Este medicamento é contraindicado para menores de 12 anos.Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.NIMESULIDA 100MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO.Venda sob prescrição médica. Medicamento Genérico – Lei N.º 9.787/99."
SE,São Paulo,Drogasil,Neosoro Solução Nasal Gotas: Leia a bula e veja onde encontrar,7896714231143,26878,11.55,6.25,45.88744588744589,"Descrição do ProdutoNeosoro apresenta como principio ativo cloridrato de nafazolina o qual é um descongestionante nasal de uso local (mucosa do nariz), com um rápido início de ação vasoconstritora (aproximadamente 10 minutos) e com efeito prolongado (entre 2 a 6 horas). É indicado no tratamento da congestão nasal (obstrução nasal) para o alívio dos sintomas em resfriados, quadros alérgicos nasais, rinites e rinossinusites.NEOSORO É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA."
SE,São Paulo,Drogasil,Buscopan Composto 10mg + 250mg 20 comprimidos: Preço online,7896026301428,4169,24.29,24.29,0.0,"Descrição do ProdutoDescriçãoO que é?O Buscopan composto é analgésico auxilia a controlar espasmos gastro-intestinais e cuidar da saúde do corpo e do organismo.Princípio ativoButilbrometo de Escopolamina, dipirona.Para que serve Buscopan composto butilbrometo de escopolamina?O Buscopan auxilia a combater dores fortes na região do abdômen, na urina e vias biliares ou região que liga o fígado e a vesícula biliar ao intestino.Quanto tempo leva para o Buscopan composto fazer efeito?O efeito é iniciado logo após o consumo e pode durar entre 6 a 8 horas.Qual a função do Buscopan Composto?O Buscopan Composto é indicado para:Alívio das cólicas intestinaisIncômodos nos órgãos sexuais e menstruais femininosAtua como relaxante muscular, evitando inflamações no sistema digestivoQual a diferença entre Buscopan e Buscopan Composto?Os dois medicamentos possuem Butilbrometo de escopolamina, que tem a função de aliviar as dores ou cólicas, porém, o Buscopan composto contém Dipirona, que atua como analgésico para relaxar os músculos durante as dores intensas.Como tomar o Buscopan Composto?Ingerir os comprimidos por via oral e com águaTomar entre 1 a 2 comprimidos de 10mg/250mg, por 3 a 4 vezes ao diaEvitar o consumo em excesso, fora do prazo recomendado e sem prescrição de uma pessoa médica.Idosos, reduzir o consumo do medicamento, em casos de distúrbios gerais de eliminação de creatinina do sangueSituações em que os rins ou fígado apresente mau funcionamento, evitar repetição das doses, porém o uso pode ser mantido se for por tempo reduzidoPrecauçõesEvitar o uso do Buscopan Composto nos seguintes casos:Pessoas grávidas ou em período de amamentação, o uso somente com orientação de uma pessoa médicaSituações de intolerância à galactoseDor ou vermelhidão no olho, casos de glaucoma.Asma induzida ou alguma alergia na pele, inchaço nos lábios, língua e gargantaBroncoespasmos( redução das vias respiratóriasAmpliação da próstata ou alguma dificuldade para urinarDoença porfiria hepática aguda intermitente( doença do metabolismo do sangue e que promove alterações na pele e sistema nervosoConsumo superior ao recomendado pode causar: enjoo, vômitos, dificuldade para urinar, dores abdominais, machucados no fígado, função dos rins comprometida. Em casos mais raros: tonturas, sonolência, convulsões, taquicardia.Mantenha fora do alcance de crianças. Em caso de dúvidas, procure uma pessoa médica.ComposiçãoButilbrometo de escopolamina 10mgDipirona 250mgDióxido de silícioPovidonaLactose monoidratadaAmidoAmidoglicolato de sódioEstearato de magnésioHipromeloseMacrogolTalcoDióxido de titânioSimeticonaSE PERSISTIREM OS SINTOMAS, procure uma pessoa MÉDICA. buscopan composto É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. LEIA A BULA."
SE,São Paulo,Drogasil,Succinato de Desvenlafaxina 100mg comprimidos Eurofarma: bula,7891317000530,20885,155.57,39.39,74.68020826637527,"Descrição do ProdutoPara que serve o Succinato Desvenlafaxina?Desve (succinato de desvenlafaxina monoidratado) é indicado para tratamento do transtorno depressivo maior (TDM, estado de profunda e persistente infelicidade ou tristeza acompanhado de uma perda completa do interesse pelas atividades diárias normais).Desve (succinato de desvenlafaxina monoidratado) não é indicado para uso em nenhuma população pediátrica.Como usar o Succinato Desvenlafaxina?Desve (succinato de desvenlafaxina monoidratado) deve ser usado apenas por via oral. Engula inteiro o comprimido de Desve (succinato de desvenlafaxina monoidratado), diretamente com um pouco de líquido.Tome sempre o medicamento exatamente como orientado por seu médico. Só o médico deve definir a duração do tratamento.A dose recomendada de Desve (succinato de desvenlafaxina monoidratado) é de 50 mg uma vez por dia, com ou sem alimentos.Para alguns pacientes o médico pode indicar aumento gradativo da dosagem, o que deve acontecer em intervalos de 7 dias.A dose máxima não pode ser maior do que 200 mg/dia.Pacientes com Insuficiência Renal (prejuízo na função dos rins): A dose inicial recomendada em pacientes com insuficiência renal grave ou doença renal em estágio terminal (DRET) é de 50 mg em dias alternados.Pacientes com Insuficiência Hepática (prejuízo na função do fígado): O uso de doses acima de 100 mg/dia não é recomendado.Pacientes Idosos: Não é necessário ajuste de dose exclusivamente com base na idade.Descontinuação de Desve (succinato de desvenlafaxina monoidratado): Recomenda-se que seja feita gradativamente, sempre sob orientação médica. A interrupção repentina deve ser evitada sempre que possível, pois pode ser acompanhada de: alteração do humor para a euforia ou tristeza, irritabilidade, agitação, tontura, ansiedade, confusão, dores de cabeça, letargia (sensação de lentidão), labilidade emocional (falta de controle das emoções), insônia, tinido (escuta de um chiado inexistente) e convulsões. Embora esses eventos sejam, geralmente, autolimitados, houve relatos de sintomas sérios de descontinuação.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento.Não interrompa o tratamento sem o conhecimento do seu médico. Este medicamento não deve ser partido ou mastigado.Quando não devo usar o Succinato DesvenlafaxinaEste medicamento não deve ser usado em caso de hipersensibilidade (alergia) ao succinato de desvenlafaxina monoidratado, ao cloridrato de venlafaxina ou a qualquer componente da fórmula.Este medicamento não deve ser utilizado simultaneamente com inibidores da monoaminoxidase (outra classe de antidepressivo) e outros medicamentos que contenham venlafaxina e/ou desvenlafaxina. Se você estiver usando um inibidor da monoaminoxidase o intervalo recomendado entre a suspensão desta classe de medicação e a introdução deve ser de pelo menos 14 dias.succinato de desvenlafaxina 100mg É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO.venda sob prescrição médica. Medicamento genérico - lei n.º 9.787/99."
SE,São Paulo,Drogasil,Tadalafila 20mg 8 Comprimidos Legrand,7894916149815,21157,61.01,15.59,74.44681199803311,Descrição do ProdutoTadalafila é indicado para o tratamento da disfunção erétil.TADALAFILA 20MG  É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.
SE,São Paulo,Drogasil,Hidroclorotiazida 25mg Medley genérico comprimidos: preço e bula,7891058002657,43867,6.0,2.27,62.166666666666664,"Descrição do ProdutoPara que serve o Hidroclorotiazida?Este medicamento é destinado ao tratamento da pressão alta, quer isoladamente ou em associação com outros fármacos anti-hipertensivos (medicamentos que tratam a pressão alta). Pode ser ainda utilizado no tratamento dos inchaços associados com insuficiência cardíaca congestiva (condição em que o coração é incapaz de bombear sangue suficiente para satisfazer as necessidades do corpo), cirrose hepática (condição ocasionada por certas doenças crônicas do fígado que destroem suas células) e com a terapia por corticosteroides ou estrógenos (hormônios). Também é eficaz no inchaço relacionado a várias formas de disfunção renal, como síndrome nefrótica (condição caracterizada por presença de proteína na urina), glomerulonefrite aguda (inflamação dos glomérulos dos rins) e insuficiência renal crônica (condição nas quais os rins apresentam atividade abaixo dos níveis normais).Como usar o Hidroclorotiazida?O tratamento deve ser individualizado de acordo com a resposta do paciente. A dose deve ser ajustada para se obter a resposta terapêutica desejada, bem como para determinar a menor dose capaz de manter esta resposta.Você deve tomar os comprimidos com líquido, por via oral.Uso adulto:Pressão altaDose inicial: 50 a 100 mg/dia, em uma só tomada pela manhã ou em doses fracionadas. Após 1 semana a posologia deve ser ajustada pelo médico até se conseguir a resposta terapêutica desejada sobre a pressão sanguínea.Quando a hidroclorotiazida é usada com outro agente anti-hipertensivo, a dose deste último deve ser reduzida para prevenir a queda excessiva da pressão arterial.InchaçoDose inicial: 50 a 100 mg uma ou duas vezes ao dia, até se obter o peso seco.Dose de manutenção: a dose de manutenção varia de 25 a 200 mg por dia ou em dias alternados, de acordo com a sua resposta.Com a terapia intermitente é menor a probabilidade de ocorrência de distúrbios hidroeletrolíticos.Uso em lactentes (crianças em fase de amamentação) e crianças:Até 2 anos de idade: dose diária total de 12,5 a 25 mg administrada em duas tomadas.De 2 a 12 anos de idade: dose de 25 a 100 mg, administrada em duas tomadas.A dose pediátrica diária usual deve ser baseada em 2 a 3 mg/kg de peso corporal, ou a critério médico, dividida em duas tomadas.Não há estudos dos efeitos de hidroclorotiazida administrada por vias não recomendadas. Portanto, por segurança e para garantir a eficácia deste medicamento, a administração deve ser somente por via oral, conforme recomendado pelo médico.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento.Não interrompa o tratamento sem o conhecimento de seu médico.Quando não devo usar o HidroclorotiazidaA hidroclorotiazida é contraindicada para os pacientes com:Hipersensibilidade (alergia) à hidroclorotiazida ou a qualquer um dos excipientes;Com comprometimento grave da função renal (depuração da creatinina abaixo de 30 mL/min);Com distúrbio hepático (do fígado) grave;Icterícia em crianças;Com distúrbio grave do equilíbrio de eletrólitos (equilíbrio de líquidos no corpo);Anúria (ausência de formação de urina).HIDROCLOROTIAZIDA 25MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO."
SE,São Paulo,Drogasil,Besilato de Anlodipino 5mg Cimed com 30 comprimidos,7896523213569,33397,26.54,6.95,73.8131122833459,"Descrição do ProdutoO besilato de anlodipino comprimidos é indicado como medicamento de primeira escolha no tratamento da hipertensão (pressão alta) e angina de peito (dor no peito, por doença do coração) devido à isquemia miocárdica (falta de sangue no coração).O besilato de anlodipino comprimidos pode ser usado isoladamente ou em combinação com outros medicamentos para tratar as mesmas indicações acima.BESILATO DE ANLODIPINO 5MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA."
