farmacia,cidade,nome,preco_com_desconto,preco_sem_desconto,desconto,marca,ean,descricao
Época Cosméticos,São Paulo,Lavanda Johnson's Baby - Perfume Unissex - Deo Colônia - 400ml,56.9,65.99,0.13774814365812998,Johnson's,7891010877507,"A Colônia Johnson's Baby Lavanda  traz um frescor natural e agradável à pele do bebê, deixando um cheirinho de banho tomado. É dermatologicamente testado e é livre de parabenos e ftalatos; a aplicação do produto no bebê deixa sua pele delicadamente perfumada. Benefícios:•	Dermatologicamente testado•	Hipoalergênico•	Perfuma suavementeModo de Usar:Coloque uma pequena quantidade da colônia na mão e espalhe sobre a pele do bebê, sua roupa ou bercinho; adequada ao uso diário. Não utilizar em pele ou couro cabeludo que apresente irritações ou lesões; evitar a região dos olhosIndicação: uso infantil e adulto.Dica de Segurança:Mantenha fora do alcance de crianças. Deve ser aplicado por adulto ou sob sua supervisão. Não usar na pele irritada ou lesionada. Evite contato com os olhos, boca, narinas. Depois do uso, lavas as mãos com água e sabão. Cuidado: perigoso se ingerido.A Marca:Nossa missão é criar os melhores produtos do mundo para o cuidado com os bebês.Queremos garantir que famílias de todo o mundo tenham acesso a produtos que sejam seguros, rigorosamente testados, sustentáveis e criados especialmente para cuidar das necessidades específicas dos bebês.Nossas escolhas estão fortemente baseadas na ciência e no amor. Também somos pais e cuidadores, por isso entendemos que sem a contribuição e a experiência de pais e cuidadores como você não conseguiríamos fazer os produtos que fazemos."
Época Cosméticos,São Paulo,Black Orchid Tom Ford – Perfume Unissex  Eau de Parfum,1525.0,0.0,,Tom Ford,0888066000062,"Uma fragrância luxuosa e sensual, rica em acordes enigmáticos, uma combinação viciante de orquídeas negras e especiarias.Tom Ford Black Orchid é ao mesmo tempo moderno e clássico. Envolto em um vidro negro, seu aroma é uma declaração inesquecível de puro estilo e glamour. Sobre a Fragrância:”Black Orchid é um rico blend de especiarias e escuridão que te envolvem, para estarem perto - cada vez mais - de vocês. Sinta o poder perfeito - ao mesmo tempo raro e extraordinário."" Tom FordSobre a marca: “Tom Ford é um dos designers americanos mais celebrados dessa era. Ele lançou sua marca que carrega seu nome em 2005, com a missão de redefinir o luxo moderno do século XXI.Composta por roupas femininas e masculinas, acessórios, óculos e artigos de beleza, Tom Ford é sinônimo de sexy, de elegância clássica, matérias primas, trabalho de excelência e um serviço personalizado excepcional. A coleção de beleza de Tom Ford é o guarda roupa do próprio designer, com cosméticos suntuosos e fragrâncias extraordinárias.É desenvolvida para atingir um glamour feminino arrebatador e um estilo masculino impecável, que amplifica a individualidade.Essa coleção invejável é a fusão entre a inovação da beleza provocada por matérias primas da última geração e o toque artesanal de nível superior, apurado pela visão única do glamour moderno de Tom Ford”."
Época Cosméticos,São Paulo,Escova de Cabelo Vertix - Hot Thermal Anion 33 - 1 Un,78.99,0.0,,Vertix,7897517914974,"A escova de cabelo Hot Thermal Anion 33 da marca Vertix possui cerdas ionizadas que combatem o frizz no cabelo. Corpo vazado que permite a passagem do ar do secador e aceleram o processo de transformação do cabelo. Base de cerâmica que retém e distribui o calor do secador com mais eficiênciaDisponível  nas cores Verde e Laranja. O envio das cores será aleatório.Indicado:• Modelar e Cachear o cabelo • Todos os tipos de cabelo de tamanho curto e médioMaterial:Plástico resistente ao calor Modo de Usar:Separe o cabelo em mechas e com movimentos circulares de dentro para fora enrole e deslize a escova até as pontas. Recomenda-se deixar o secador a uma distância de 3cm das cerdas evitando danificá-las precocemente.A Marca:Vertix é uma marca da Belliz Company criada para que o profissional possa maximizar suas habilidades e talento através de produtos de alta tecnologia e performance como cosméticos, escovas, pentes, tesouras, acessórios profissionais e descartáveis. Vertix Compreende suas expectativas e necessidades para atingir resultados surpreendentes, por isso traz em seus produtos inovação e tecnologia, sempre acompanhando as últimas tendências em produtos profissionais para salon hair."
Época Cosméticos,São Paulo,Bolsa Térmica Termogel Cristal Azul - 1 Un,27.9,31.1,0.10289389067524124,TermoGel,17896085111102,"Substitui a bolsa de água quente tradicional com vantagens, não vaza e mantém a temperatura por mais tempo que a água.É indicada para dores musculares, abdominais, contusões, febre e dor de ouvido.Pode ser usada quente ou fria.Nossa bolsa térmica é: • Prática e eficiente• Reutilizável• Contém gel térmico não tóxico• Compressa quente• Compressa geladaSubstitui a bolsa de água quente tradicional com vantagens: não vaza, mantém a temperatura por mais tempo que a água e pode ser usada quente ou fria. É indicada para dores musculares, abdominais, contusões, febre e dor de ouvido.Compressa quente: Aquecer 3 litros de água até ferver, apagar o fogo ou desligar o micro-ondas e mergulhar a bolsa na água quente de 3 a 5 minutos até alcançar a temperatura desejada.Compressa gelada: Colocar a bolsa na geladeira de 2 a 4 horas antes de usar, ou no congelador cerca de 30 minutos antes de usar."
Época Cosméticos,São Paulo,Manteiga Corporal Granado - Calêndula - 200g,67.5,0.0,,Granado,7896512914828,"A Manteiga Corporal Calêndula de Granado é composta por manteigas de karité, cupuaçu e murumuru; óleo de castanha do Brasil e vitamina E.Enriquecida com alta concentração de extrato natural de calêndula, que acalma a pele. Promove um sensorial aveludado e perfumação prolongada. Livre de parabenos, corantes e ingredientes de origem animal.Indicação:Indicado para todo tipo de pele.Modo de Usar:Aplicar a Manteiga Corporal Calêndula de Granado por todo o corpo para uma hidratação profunda.	Sobre a Marca:Pioneira na fabricação de sabonetes vegetais, a Granado | Phebo é responsável pela maior produção do Brasil, e atravessa seus mais de 100 anos de existência com uma definida posição em relação à preservação do meio ambiente: desenvolver cosméticos formulados com extratos naturais, livres de corantes e de fragrâncias artificiais. Nenhum produto Granado é testado em animais.A busca por produtos cada vez mais naturais é um dos desafios da Empresa. Por isso, a Granado | Phebo pretende continuar a crescer em parceria com a natureza e, acima de tudo, oferecer produtos de qualidade e com eficácia comprovada, a fim de promover bem-estar e equilíbrio entre o corpo e a mente."
Época Cosméticos,São Paulo,Manteiga Corporal Granado - Chá Branco - 200g,67.5,0.0,,Granado,7896512929938,"A Manteiga Corporal Chá Branco de Granado promove uma hidratação profunda para sua pele. Sua Fórmula é composta por manteigas de karité, cupuaçu e murumuru; óleo de castanha do Brasil e vitamina E. Enriquecida com alta concentração de extrato natural de chá branco, que tem ação revigorante. Sensorial aveludado e perfumação prolongada. Livre de parabenos, corantes e ingredientes de origem animal.Modo de Usar:Aplicar a manteiga corporal por todo o corpo para uma hidratação profunda. Indicado para todo tipo de pele.	Sobre a Marca:Pioneira na fabricação de sabonetes vegetais, a Granado | Phebo é responsável pela maior produção do Brasil, e atravessa seus mais de 100 anos de existência com uma definida posição em relação à preservação do meio ambiente: desenvolver cosméticos formulados com extratos naturais, livres de corantes e de fragrâncias artificiais. Nenhum produto Granado é testado em animais.A busca por produtos cada vez mais naturais é um dos desafios da Empresa. Por isso, a Granado | Phebo pretende continuar a crescer em parceria com a natureza e, acima de tudo, oferecer produtos de qualidade e com eficácia comprovada, a fim de promover bem-estar e equilíbrio entre o corpo e a mente."
Época Cosméticos,São Paulo,Pincel para Pó Baims - 85 Powder Brush Luxus Vegan - 1 Un,128.25,135.0,0.05,Baims,7898676620195,"Este pincel grande e fofo com cerdas longas e suaves tem o comprimento e a densidade perfeitos para aplicar pós compactos ou soltos. Oferece uma cobertura leve para um acabamento uniforme e suave e por isso é ideal também para fixar a maquiagem.• Cerdas de Taklon de alta performance, incrivelmente suaves imitando o pelo natural• Cabo natural de madeira• Alumínio reciclado• Desenvolvido na AlemanhaLuxus Vegan• Nossa nova geração de pincéis luxuosos foi desenvolvida na Alemanha com as cerdas Taklon mais macias e suaves que existem no mercado. • Usamos alumínio reciclado na cor bronze com acabamento escovado, e os cabos são de madeira natural.• Nossos pincéis são cuidadosamente feitos à mão com material da mais alta qualidade e podem durar vários anos se forem cuidados da maneira correta.• O pelo sintético é mais fácil de limpar e também mais higiênico, pois não retém as bactérias da mesma forma que o pelo animal, que é poroso. Mantenha seu pincel limpo!Esta não é só uma questão de higiene, também é essencial para obter a máxima performance do seu pincel.Limpar os pincéis é essencial para seu desempenho porque a maquiagem em pó ou em creme pode craquelar ou ressecar nas cerdas, que se tornariam menos macias, menos flexíveis e menos capazes de absorver o produto, reduzindo assim a eficácia e performance do seu pincel.É muito importante lavar as cerdas antes do primeiro uso. Lave as cerdas em água morna (nunca quente demais) com sabão ou shampoo neutro e livre de fragrâncias, evitando ao máximo molhar a parte de metal e de madeira para evitar a infiltração de água. Em seguida, esprema suavemente as cerdas e sacuda bem para retirar a água excedente. Com uma toalha de tecido ou de papel, seque ainda mais. Por fim deixe secar naturalmente, com as cerdas inclinadas para baixo.Se não houver uma certa frequência na limpeza dos pincéis, as cerdas vão abrigar bactérias que podem causar problemas de pele e até infecções, como espinhas por exemplo.IMPORTANTE:Nunca use secador quente nem deixe o pincel no sol para secar, e evite qualquer produto de limpeza agressivo ou abrasivo porque poderia danificar o seu pincel. Sobre a MarcaBAIMS é uma empresa de cosméticos com sede no Brasil e na Alemanha que veio para oferecer produtos de alta qualidade com requinte e inovação, respeitando o princípio da sustentabilidade e da transparência. A BAIMS já nasceu com consciência ecológica, ética e responsável. Responsabilidade com o meio ambiente, para nós, significa priorizar o uso de insumos e matérias-primas naturais ou orgânicas, não testadas em animais e livres de ingredientes tóxicos. Responsabilidade com o consumidor significa oferecer produtos de alta tecnologia a favor da beleza, com benefícios reais associados à saúde. Nossa filosofia é trabalhar com total respeito à saúde, aos recursos naturais e aos animais, comprometidos com um mundo mais justo e mais ético, no qual possamos viver sem destruir e sim contribuir para a manutenção da biodiversidade em nosso planeta.A BAIMS se propõe a inspirar algo muito maior que a beleza aparente; esperamos poder elevar a autoestima das pessoas e incentivá-las a cuidar de si mesmas, dos seres que amam e do ambiente em que vivem."
Época Cosméticos,São Paulo,Manteiga Corporal Granado - Lavanda - 200g,67.5,0.0,,Granado,7896512922434,"A Manteiga Corporal Lavanda de Granado promove uma hidratação profunda para sua pele. Sua fórmula é composta por manteigas de karité, cupuaçu e murumuru; óleo de castanha do Brasil e vitamina E. Enriquecida com alta concentração de extrato natural de lavanda, que tem ação relaxante. Sensorial aveludado e perfumação prolongada. Livre de parabenos, corantes e ingredientes de origem animal.Modo de Usar:Aplicar a manteiga corporal por todo o corpo para uma hidratação profunda. Indicado para todo tipo de pele. Sobre a Marca:Pioneira na fabricação de sabonetes vegetais, a Granado | Phebo é responsável pela maior produção do Brasil, e atravessa seus mais de 100 anos de existência com uma definida posição em relação à preservação do meio ambiente: desenvolver cosméticos formulados com extratos naturais, livres de corantes e de fragrâncias artificiais. Nenhum produto Granado é testado em animais.A busca por produtos cada vez mais naturais é um dos desafios da Empresa. Por isso, a Granado | Phebo pretende continuar a crescer em parceria com a natureza e, acima de tudo, oferecer produtos de qualidade e com eficácia comprovada, a fim de promover bem-estar e equilíbrio entre o corpo e a mente."
Época Cosméticos,São Paulo,Condicionador Pantene Restauração - 400ml,38.7,44.9,0.1380846325167037,Pantene,7501006721317,"Aproveite esta fórmula com nova tecnologia, rica em textura e com cor dourada, que confere mais condicionamento sem deixar os cabelos pesados. Os níveis de condicionamento foram otimizados em todas as nossas coleções. Experimente uma hidratação profunda sem deixar os cabelos pesados ou oleosos, com uma textura rica que proporciona a sensação de esplendor. A coleção Restauração foi formulada para restaurar* o cabelo com aminoácidos, óleo de argan e a exclusiva provitamina da Pantene. Complemente os cuidados com o cabelo com os outros produtos da coleção Restauração: shampoo, 2 em 1 shampoo e condicionador, shampoo Minute Miracle, condicionador 3 Minute Miracle, creme para pentear, máscara intensiva e ampolas; tudo formulado para restaurar os cabelos. • Sem sal* • Ajuda a reparar os danos a cada uso • Contém aminoácidos, óleo de argan e as provitaminas exclusivas da Pantene • Ajuda a reduzir a perda de proteínas** e a reparar* as cutículas para prevenir as pontas duplas • A fórmula exclusiva Pro-V da Pantene penetra nos cabelos por uma infusão de ingredientes naturais, vitamina B5 e antioxidantes que ajudam na reposição de lipídios • O óleo de argan é excepcionalmente rico em vitaminas naturais e gorduras essenciais Modo de Usar: •  Aplique o condicionador  uniformemente sobre os cabelos e enxágue."
Época Cosméticos,São Paulo,Dolce Vivere Pisa Nesti Dante - Sabonete Perfumado em Barra - 250g,40.76,42.9,0.0498834498834499,Nesti Dante,0837524002476,"Feche os olhos e pense o melhor que a Itália pode oferecer. Visões encantadoras de baías, cidades e vilas cheias de charme, cultura e história. Experiências do Mediterrâneo, que evocam os aromas e as emoções de um país rico em essências encantadoras. A linha Dolce Vivere é uma homenagem à beleza e o estilo de vida italianos. Ela cria a sensação de estar em um dos seus mais encantadores lugares, evocando situações nostálgicas e românticas e experiências, que estimulam os sentidos. Desde 1947, a filosofia Nesti Dante tem sido a de ser apaixonado sobre a vinculação de ótima qualidade com uma sensibilidade para todas as coisas naturais e belas.Ao contrário da cerâmica e do vidro, ele não deixa vestígios arqueológicos nem é reproduzida em afrescos e pinturas. Estamos falando de sabonetes. É talvez por estas razões que ninguém nunca tenha sido capaz de reconstruir a sua história, desde a antiguidade até os dias atuais.  Por isso, a Nesti Dante se dedica para levar ao consumidor sabonetes de qualidade.Dolce Vivere Pisa é sensual, fresca e revigorante, deliciosamente espontâneo e natural, este sabonete é imbuído com notas florais de magnólia, lírio e flor de damasco. É a essência da leveza e alegria.Indicado:Para todos os tipos de pele.Modo de Usar:Sobre a pele úmida, aplique o sabonete sobre o corpo delicadamente. Enxágue."
