SKU,Marca,Nome,Categoria,produto_id,valor_ini,valor_fim,perc_desc,tipo_desc
45115,EUROWLABS,Paracetamol+Fosfato de Codeina 500+30mg 24 Comprimidos Eurowlabs ,MEDICAMENTOS,45115.0,52.10,29.73,42.94,comumValor
94035526,PRATI-DONADUZZI,Paracetamol 750mg 24 Comprimidos Prati-Donaduzzi,MEDICAMENTOS,94035526.0,19.55,16.46,15.81,comumValor
94034304,SANDOZ GENERICOS,Dicloridrato de Cetirizina 10mg 12 Comprimidos Sandoz,MEDICAMENTOS,94034304.0,47.95,38.06,20.63,comumValor
42221,MEDLEY - GEN,Esomeprazol Magnesico 20mg 28 Comprimidos Medley,MEDICAMENTOS,42221.0,151.59,86.24,43.11,comumValor
32963,EMS GENÉRICO,Lansoprazol 30mg 14 Cápsulas EMS,MEDICAMENTOS,32963.0,83.45,31.88,61.80,comumValor
43243,GERMED-SIGMA PHARMA,Prednisolona 20mg 10 Comprimidos Germed,MEDICAMENTOS,43243.0,22.74,13.59,40.24,comumValor
47112,EUROFARMA - GEN,Paracetamol+Codeina 500+30mg 24 Comprimidos Eurofarma,MEDICAMENTOS,47112.0,52.19,41.24,20.98,comumValor
94037805,GERMED-SIGMA PHARMA,Cloridrato de Ciclobenzaprina 5mg 10 Comprimidos Germed,MEDICAMENTOS,94037805.0,13.37,6.51,51.31,comumValor
94035869,GEOLAB,Cloridrato de Ranitidina 150mg 20 Comprimidos Geolab,MEDICAMENTOS,94035869.0,15.33,11.83,22.83,comumValor
94039480,EMS GENÉRICO,Maleato de Trimebutina 200mg 60 Cápsulas EMS,MEDICAMENTOS,94039480.0,151.24,83.94,44.50,comumValor
94035570,UNIAO QUIMICA GENERICOS,Diclofenaco Sódico 25mg 5 Ampolas 3ml União Química,MEDICAMENTOS,94035570.0,11.75,7.95,32.34,comumValor
39894,NOVA QUIMICA,Omeprazol 40mg 28 Cápsulas Nova Química,MEDICAMENTOS,39894.0,151.29,54.49,63.98,comumValor
94035602,LEGRAND GENERICOS,Bromoprida 4mg/ml Gotas 20ml Legrand,MEDICAMENTOS,94035602.0,23.18,15.31,33.95,comumValor
94035689,LEGRAND GENERICOS,Desloratadina 5mg 10 Comprimidos Legrand,MEDICAMENTOS,94035689.0,58.08,28.57,50.81,comumValor
94035708,LEGRAND GENERICOS,Domperidona 10mg 30 Comprimidos Legrand,MEDICAMENTOS,94035708.0,23.18,8.04,65.31,comumValor
94035735,LEGRAND GENERICOS,Ibuprofeno 50mg Gotas 30ml Legrand,MEDICAMENTOS,94035735.0,18.81,18.81,,
94035781,LEGRAND GENERICOS,Pantoprazol 40mg 42 Comprimidos Legrand,MEDICAMENTOS,94035781.0,72.52,27.13,62.59,comumValor
94035884,GEOLAB,"Maleato de Dexclorfeniramina+Betametasona 0,4+0,05mg Xarope 120ml Geolab",MEDICAMENTOS,94035884.0,26.97,14.22,47.27,comumValor
50625,LEGRAND GENERICOS,Cloridrato de Tramadol 50mg 10 Comprimidos Legrand,MEDICAMENTOS,50625.0,33.12,17.03,48.58,comumValor
42789,GERMED-SIGMA PHARMA,Cloridrato de Hidroxizina 25mg 30 Comprimidos Germed,MEDICAMENTOS,42789.0,37.44,29.00,22.54,comumValor
94035709,LEGRAND GENERICOS,Domperidona 10mg 60 Comprimidos Legrand,MEDICAMENTOS,94035709.0,43.96,22.50,48.82,comumValor
94035731,LEGRAND GENERICOS,Fosfato Sódico de Prednisolona 5mg 20 Comprimidos Legrand,MEDICAMENTOS,94035731.0,16.08,6.15,61.75,comumValor
94035984,GEOLAB,Paracetamol 200mg Gotas 15ml Geolab,MEDICAMENTOS,94035984.0,12.65,7.47,40.95,comumValor
48675,GERMED-SIGMA PHARMA,Pantoprazol 40mg 28 Comprimidos Germed,MEDICAMENTOS,48675.0,48.34,31.61,34.61,comumValor
