SKU,Marca,Nome,Categoria,produto_id,valor_ini,valor_fim,perc_desc,tipo_desc
493514,HYPERMARCAS PP,OMMAX OMEGA 3 90CPS MATIG ,MEDICAMENTOS,493514,131.44,131.44,,
481195,MOMENTA FARMACEUTICA,Matrice Pó 30 Sachês 12G,MEDICAMENTOS,481195,244.03,244.03,,
484417,LEGRAND GENERICO    ,Ibuprofeno 50 Mg Ml Suspensão Oral Legrand Genérico,MEDICAMENTOS,484417,19.66,9.77,50.31,comumValor
484772,EMS PRESCRICAO,Colágeno Condres 40Mg,MEDICAMENTOS,484772,378.08,378.08,,
509810,CIFARMA SIM / GEN,Florent 200Mg Cifarma,MEDICAMENTOS,509810,34.36,19.62,42.90,comumValor
551947,MARJAN              ,Omegafolin 60 Cápsulas,MEDICAMENTOS,551947,122.91,122.91,,
554517,MEGALABS,Enxaguante Bucal Noplak Max 250Ml,MEDICAMENTOS,554517,38.80,38.80,,
554627,FQM                 ,Cartigen C 11 5G Pó Env 30 Sem Sabor,MEDICAMENTOS,554627,297.11,297.11,,
554628,FQM                 ,Colágeno Cartigen C Baunilha 30 Sachês 11 5G,MEDICAMENTOS,554628,200.12,200.12,,
555388,CIMED               ,Ácido Acetilsalicilico 500Mg Caixa 20 Comp,MEDICAMENTOS,555388,11.43,9.15,19.95,comumValor
555723,HYPERMARCAS PP,GESTAMAX 30CAPS,MEDICAMENTOS,555723,109.50,109.50,,
550792,CELLERA FARMA,Tiaplex 50 Mg G Pomada Laboratórios Delta Similar,MEDICAMENTOS,550792,25.45,19.09,24.99,comumValor
550926,DIVINA PHARMA        ,SUNDOWN VITAM E-1000IU 30CPR,MEDICAMENTOS,550926,130.04,130.04,,
550931,DIVINA PHARMA        ,SUNDOWN CALCIO 600MG+D 120CPR,MEDICAMENTOS,550931,111.28,111.28,,
540323,BIOWELL AMERICA,All Nutri Plus 40S 200567,MEDICAMENTOS,540323,66.65,66.65,,
540327,BIOWELL AMERICA,Óleo De Linhaça Fdc,MEDICAMENTOS,540327,123.16,123.16,,
