EAN,SKU,Nome,Marca,Descrição,Farmácia,Preço_sem_desconto,Preço_com_desconto,Porcentagem_desconto,Cidade,Região
7891142982971,284778,Coristina D Congest Frasco 120ml,HYPERMARCAS S/A,"Adultos - 1 a 1 ½ copos dosadores (10 a 15mL), 3 a 4 vezes ao dia.
Crianças acima de 2 anos - ¼ a ½ copo dosador (2,5 a 5mL), 4 vezes ao dia.
Dosagem máxima diária limitada a 60mL. Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista.",Farma Conde,20.36,18.99,0.07,São Paulo,Sudeste
7891142982308,284804,Bifilac Mind Caixa 30 Cápsulas,HYPERMARCAS S/A,Ingerir 1 cápsula ao dia.,Farma Conde,122.91,115.9,0.06,São Paulo,Sudeste
7896094925915,284832,Buscofem Tutti-Frutti 200mg Solução Oral Gotas 20ml,HYPERMARCAS S/A,"A posologia recomendada pode variar de 10 gotas (200mg) a 40 gotas (800mg), podendo ser repetida por, no máximo, 4 vezes por dia. A dose máxima permitida por dia em adultos é de 160 gotas (3.200mg).",Farma Conde,29.9,27.99,0.06,São Paulo,Sudeste
7896094920736,284798,Aviv 100mg Caixa 30 Comprimidos Revestidos,HYPERMARCAS S/A,"Aviv deve ser usado apenas por via oral. Engula inteiro o comprimido de Aviv, diretamente com um pouco de líquido. Tome sempre o medicamento exatamente como orientado por seu médico. Só o médico deve definir a duração do tratamento. A dose recomendada de Aviv é de 50mg uma vez por dia, com ou sem alimentos. Para alguns pacientes o médico pode indicar aumento gradativo da dosagem, o que deve acontecer em intervalos de 7 dias. A dose máxima não pode ser maior do que 200mg/dia.",Farma Conde,83.22,71.99,0.13,São Paulo,Sudeste
7896094920729,284797,Aviv 50mg Caixa 30 Comprimidos Revestidos,HYPERMARCAS S/A,"Aviv deve ser usado apenas por via oral. Engula inteiro o comprimido de Aviv, diretamente com um pouco de líquido. Tome sempre o medicamento exatamente como orientado por seu médico. Só o médico deve definir a duração do tratamento. A dose recomendada de Aviv é de 50mg uma vez por dia, com ou sem alimentos. Para alguns pacientes o médico pode indicar aumento gradativo da dosagem, o que deve acontecer em intervalos de 7 dias. A dose máxima não pode ser maior do que 200mg/dia.",Farma Conde,76.28,66.29,0.13,São Paulo,Sudeste
7891142982889,284831,Predsim 10mg Caixa 10 Comprimidos Revestidos,HYPERMARCAS S/A,"""A dosagem inicial de Predsim® pode variar de 5 a 60mg por dia, dependendo da doença específica que está sendo tratada. As doses de Predsim® requeridas são variáveis e devem ser individualizadas de acordo com a doença em tratamento e a resposta do paciente. Para bebês e crianças, a dosagem recomendada deve ser controlada pela resposta clínica e não pela adesão estrita ao valor indicado pelos fatores idade e peso corporal. 

A dosagem deve ser reduzida ou descontinuada gradualmente quando o medicamento for administrado por mais do que alguns dias.""",Farma Conde,20.43,18.7,0.08,São Paulo,Sudeste
7896094928732,284833,Lisador Cólica Caixa 20 Comprimidos Revestidos,HYPERMARCAS S/A,"""Os comprimidos revestidos devem ser ingeridos inteiros por via oral com água.
A dose recomendada é de 1 a 2 comprimidos de 10mg/250mg, 3 a 4 vezes ao dia
Você não deve usar o produto em altas doses ou por longo tempo, sem prescrição de um médico ou dentista
Idosos ou com distúrbios das condições gerais de eliminação de creatinina do sangue devem reduzir a dose de Lisador® Cólica
Pacientes com mau funcionamento dos rins e fígado devem evitar o uso repetido de doses elevadas, não há necessidade de diminuir a dose se a sua utilização for por pouco tempo.
Não deve ser partido, aberto ou mastigado",Farma Conde,24.09,22.39,0.07,São Paulo,Sudeste
7896094921269,284959,Coledue-R 10mg/10mg Caixa 30 Cápsulas Duras,HYPERMARCAS S/A,"Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico. Este medicamento não deve ser partido, aberto ou mastigado.",Farma Conde,73.37,67.6,0.08,São Paulo,Sudeste
7896094920453,284938,Macrodantina 100mg Caixa 40 Cápsulas,HYPERMARCAS S/A,"""A ingestão de Macrodantina® acompanhada de alimentação reduz a frequência de eventos adversos gastrintestinais.

Tomar 1 cápsula dura de 100mg de 6 em 6 horas, durante 7 a 10 dias.""",Farma Conde,22.91,22.91,0.0,São Paulo,Sudeste
7896094928176,284736,Buscopan Pediátrico 10mg/ml Solução Oral Frasco 20ml + Seringa Dosadora,HYPERMARCAS S/A,"A dose de Buscopan® Pediátrico baseada no peso corpóreo para crianças até 6 anos pode ser calculada conforme segue: Crianças entre 3 e 11 meses: 0,7mg/kg/dose, repetidas 3 vezes ao dia. Crianças de 1 a 6 anos: 0,3mg/kg/dose a 0,5mg/kg/dose, repetidas 3 vezes ao dia.",Farma Conde,21.85,19.99,0.09,São Paulo,Sudeste
