Farmácia,cidade,nome,marca,sku,ean,preco_sem_desconto,preco_com_desconto,perc_desconto,tipo_desconto,descricao
Farmácias Nissei,São Paulo,Hidrogel Dersani com Alginato 85g,DERSANI,13782,07898087340132,101.95,101.95,,,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Hidrogel Dersani com Alginato&amp;nbsp;&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Gel hidratante absorvente, composto de alginato de sódio, ácidos graxos e vitaminas A e E - Dersani Hidrogel com Alginato é indicado para promover o desbridamento autolítico e auxiliar a cicatrização em feridas secas e exsudativas, com necrose ou esfacelo, causadas por: úlceras venosas, arteriais e por pressão, queimaduras de primeiro e segundo graus com perda parcial ou total de tecidos, abrasões e lacerações e também para estimular a granulação e epitelização.&amp;nbsp;Não deixe de conferir todos os produtos Dersani nas &lt;b&gt;Farmácias Nissei&lt;/b&gt;.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Instruções de Uso:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;O tratamento de feridas com Dersani Hidrogel deve ser monitorado por um profissional da saúde que deverá aplicar o produto de maneira higiênica e com luvas para garantir segurança tanto para o profissional quanto do paciente.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;1. &lt;/b&gt;Irrigar bem a lesão com solução fisiológica a 0,9%.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;2. &lt;/b&gt;Limpar a pele e ao redor secar bem.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;3.&lt;/b&gt; Aplicar o Dersani Hidrogel, diretamente no leito da ferida, não excedendo o nível ao redor da ferida.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;4. &lt;/b&gt;Ocluir a ferida com um curativo secundário estéril e fixar. Para efetuar a remoção do produto, arrigar a ferida com solução fisiológica.&lt;/font&gt;&lt;/p&gt;"
Farmácias Nissei,São Paulo,Cloridrato de Moxifloxacino Sem 400mg 7 Comprimidos,EMS GENERICO,15082,07896004734361,205.06,143.89,29.83,Desconto simples,
Farmácias Nissei,São Paulo,Complemento Alimentar Nutren Senior Sem Sabor 370g,NUTREN,15202,07891000096482,93.95,84.90,9.63,Desconto simples,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Suplemento Alimentar Nutren Sênior Sem Sabor&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Nutren Sênior é o suplemento nutricional da Nestlé desenvolvido pensando nas necessidades de quem já passou dos 50 anos e ainda tem muito o que aproveitar. Contém ACT-3, combinação única de cálcio, proteína e vitmina D, além de fornecer outras vitaminas e minerais que auxiliam no sistema imunológico e na manutenção de ossos e músculos fortes. Nutren Sênior é versátil, pois não tem sabor. Pode ser misturado em receitas salgadas e doces. Não deixe de conferir todos os produtos Nutren nas &lt;b&gt;Farmácias Nissei&lt;/b&gt;.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Indicação:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;As necessidades do corpo mudam com o passar do tempo. Por isso, para aproveitar o melhor da vida, é essencial manter hábitos de vida saudáveis, como praticar exercícios físicos e adotar uma alimentação balanceada, rica em cálcio, proteína e vitamina D, nutrientes de Nutren® Senior, o suplemento nutricional da Nestlé® para quem tem mais de 50.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Benefícios:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;-&lt;/b&gt; Cálcio e vitamina D auxiliam na manutenção de ossos fortes.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Proteína contribui na manutenção dos músculos.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Vitaminas B1, B2, B3, B5, B6 e biotina contribuem para a produção e liberação de energia.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Zinco e Vitamina C contribuem para o sistema imunológico.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Ferro auxilia na formação das células vermelhas.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Modo de Preparo:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Adicionar 6 colheres de sopa rasa (55g) a água e mexa bem. Nutren Sênior não tem sabor, por isso pode ser adicionado ao final das receitas doces ou salgadas de sua preferência. Não pode ser fervido.&lt;/font&gt;&lt;/p&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
Farmácias Nissei,São Paulo,Tiras para Controle de Glicemia Accu-Chek Active 50 Unidades,ACCU CHEK,22211,04015630064076,109.90,43.96,60.00,Leve e Pague menos no Próximo,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Tiras para Controle de Glicemia Accu-Chek Active&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Accu-Chek Active&lt;/b&gt; é uma linha de tiras de glicemia, desenvolvida pela Roche, para que as pessoas possam testar seus níveis de açúcar no sangue. As tiras Active são fáceis de manusear e oferecem ao usuário maior flexibilidade durante a realização dos seus testes e resultados precisos em até 5 segundos!&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Elas são compatíveis com toda a linha de monitores Accu-Chek Active.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Flexibilidade:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;As tiras Accu-Chek Active oferecem mais flexibilidade ao usuário, pois permitem a aplicação da gota de sangue com a tira dentro ou fora do monitor de glicemia.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Você ainda tem a possibilidade de colocar uma 2ª gota de sangue na tira, em até 10 segundos, caso a primeira gota de sangue inserida seja insuficiente para a leitura da glicemia.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Facil Utilização:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;As tiras Accu-Chek Active possuem design intuitivo, que facilita sua utilização; as setas indicam o sentido em que a tira deve ser inserida no monitor.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Aplicação Amostra Sanguínea:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Para realizar um teste com as tiras Accu-Chek Active, a gota de sangue deve ser aplicada no centro da área verde da tira de teste.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Importante:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;O prazo de validade das tiras de teste está presente no próprio frasco de tiras, e é muito importante que ele seja respeitado.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Essa simples medida evita que o resultado dos seus testes de glicemia seja prejudicado.&lt;/font&gt;&lt;/p&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
Farmácias Nissei,São Paulo,Loção Oleosa Dersani 200ml,DERSANI,22320,07898087340026,105.95,105.95,,,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Loção Oleosa Dersani&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Loção Oleosa à base de AGE e vitaminas A e E - Dersani Original está indicado no auxílio do processo de cicatrização de feridas: úlceras por pressão (escaras) de graus I, II e III, úlceras venosas, arteriais e diabéticas, feridas decorrentes de queimaduras, tratamento de feridas crônicas ou agudas com ou sem infecção, tratamento de eczemas: atópico, asteatósico, de estase e radiodermite. Não deixe de conferir todos os produtos Dersani nas &lt;b&gt;Farmácias Nissei&lt;/b&gt;.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Modo de Usar:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Na cicatrização irrigar a lesão com soro fisiológico, secar a pele ao redor e aplicar o óleo diretamente sobre a lesão. Ocluir com gaze estéril. Fixar conforme a necessidade do local afetado e reaplicar a cada 12 (doze horas). Na prevenção de úlceras por pressão, aplicar o óleo nas regiões afetadas, após higienização da pele.&lt;/font&gt;&lt;/p&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
Farmácias Nissei,São Paulo,Kit Accu-Chek Active Com Monitor Glicemia Completo 10 Tiras,ACCU CHEK,23044,04015630064250,103.95,103.95,,,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Kit Medidor de Glicose Completo Accu-Chek Active&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Para que as pessoas possam testar seus níveis de açúcar no sangue com precisão e segurança, a Roche desenvolveu a linha de monitores e tiras de glicemia Accu-Chek Active. Além de codificação automática, resultados em até 5 segundos e visor ampliado (para melhor visualização dos resultados), a linha Active é fácil de usar. O monitor Accu-Chek Active tem capacidade de armazenamento para até 500 testes, exibe a média de resultados dos seus testes e você ainda pode transferir seus resultados glicêmicos e visualizá-los em forma de gráficos.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Tiras Accu-Chek Active:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Proporcionam mais praticidade ao usuário, pois permitem a aplicação da gota de sangue com a tira dentro ou fora do monitor de glicemia.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Caso a quantidade de sangue inserida na tira seja insuficiente para realização do teste, você pode aplicar uma 2ª gota de sangue na tira, em até 10 segundos.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;&lt;br&gt;&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Lancetador Accu-Chek Softclix:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;O lancetador Accu-Chek Softclix é gentil com seus dedos!&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Sua tecnologia exclusiva chamada Clixmotion, permite que as lancetas disparadas na punção entrem e saiam da pele do paciente SEM produzir as vibrações responsáveis por lesionar os tecidos, causar dor e desconforto durante a punção.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Os 11 níveis de profundidade, permitem o ajuste da punção de acordo com a necessidade do paciente. O lancetador Softclix utiliza lancetas individuais e possui mecanismo para descarte das lancetas – oferecendo maior segurança e higienização no processo.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Modo de Usar:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Passo 1&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Coloque a tira de teste no monitor de glicemia, respeitando o sentido das setas.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Passo 2&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Com seu lancetador Accu-Chek Softclix, realize a punção no dedo para obter uma pequena gota de sangue.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Importante: Lembre-se sempre de trocar a lanceta a cada teste para que a punção seja praticamente indolor.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Passo 3&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;No momento em que o símbolo da gota de sangue aparecer piscando no visor do monitor de glicemia, adicione a gota de sangue no centro da tira teste (área verde).&amp;nbsp;&lt;/font&gt;&lt;span style=&quot;font-family: Arial; color: var(--texto); font-size: 0.875rem;&quot;&gt;Em 5 segundos, o resultado será exibido no visor.&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Este Kit Contém:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;1 monitor Accu-Chek Active;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;1 lancetador Accu-Chek Softclix;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;10 lancetas Accu-Chek Softclix;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;10 tiras Accu-Chek Active;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;1 bateria 3V-CR2032;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;1 estojo para transporte;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;1 manual de instruções.&lt;/font&gt;&lt;/p&gt;"
Farmácias Nissei,São Paulo,Suplemento Alimentar Nutren Sênior Sem Sabor 740g,NUTREN,23358,07891000103487,170.78,170.78,,,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Suplemento Alimentar Nutren Sênior Sem Sabor&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Nutren Sênior é o suplemento nutricional da Nestlé desenvolvido pensando nas necessidades de quem já passou dos 50 anos e ainda tem muito o que aproveitar. Contém ACT-3, combinação única de cálcio, proteína e vitmina D, além de fornecer outras vitaminas e minerais que auxiliam no sistema imunológico e na manutenção de ossos e músculos fortes. Nutren Sênior é versátil, pois não tem sabor. Pode ser misturado em receitas salgadas e doces. Não deixe de conferir todos os produtos Nutren nas &lt;b&gt;Farmácias Nissei&lt;/b&gt;.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Indicação:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;As necessidades do corpo mudam com o passar do tempo. Por isso, para aproveitar o melhor da vida, é essencial manter hábitos de vida saudáveis, como praticar exercícios físicos e adotar uma alimentação balanceada, rica em cálcio, proteína e vitamina D, nutrientes de Nutren® Senior, o suplemento nutricional da Nestlé® para quem tem mais de 50.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Benefícios:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;-&lt;/b&gt; Cálcio e vitamina D auxiliam na manutenção de ossos fortes.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Proteína contribui na manutenção dos músculos.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Vitaminas B1, B2, B3, B5, B6 e biotina contribuem para a produção e liberação de energia.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Zinco e Vitamina C contribuem para o sistema imunológico.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;- &lt;/b&gt;Ferro auxilia na formação das células vermelhas.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Modo de Preparo:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Adicionar 6 colheres de sopa rasa (55g) a água e mexa bem. Nutren Sênior não tem sabor, por isso pode ser adicionado ao final das receitas doces ou salgadas de sua preferência. Não pode ser fervido.&lt;/font&gt;&lt;/p&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
Farmácias Nissei,São Paulo,Cloridrato De Duloxetina 60mg 30 Comprimidos Ems,EMS GENERICO,23971,07896004747774,318.22,184.89,41.90,Desconto simples,
Farmácias Nissei,São Paulo,Monitor Pressão Pulso Omron HEM 6122/6124,OMRON,25482,00073796612283,226.95,198.90,12.36,Desconto simples,"&lt;p&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Monitor Pressão Pulso Omron HEM 6122/6124&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Além de todas as funcionalidades que tornam os aparelhos da Omron os melhores do mercado, o aparelho de pressão digital de pulso HEM-6122 possui um sensor de posicionamento, tecnologia exclusiva que só começa a inflar quando o aparelho está na altura do coração, oferecendo resultados muito mais precisos que outros monitores. Devido ao fácil manuseio e transporte, o aparelho de pressão digital de pulso Omron é ideal para pessoas que precisam de constante monitoramento.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Indicado, também, para o uso de pessoas obesas devido a menor concentração de gordura na área do pulso, desde que o mesmo não possua diabetes. O aparelho de pressão digital de pulso Omron HEM-6122 possui um sistema detector de arritmia cardíaca e capacidade para armazenamento de até 30 medições com data e hora.&lt;/font&gt;&lt;/p&gt;&lt;div&gt;&lt;br&gt;&lt;/div&gt;"
Farmácias Nissei,São Paulo,20 Bi 30 Cápsulas,20  BI,26860,07891317019310,241.57,223.91,7.31,Desconto simples,"&lt;p&gt;&lt;b&gt;&lt;span style=&quot;font-family: Arial;&quot;&gt;&lt;b&gt;&lt;/b&gt;&lt;/span&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Indicações:&lt;/b&gt;&lt;br&gt;&lt;/font&gt;&lt;/b&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;20 Bi é um medicamento de uso oral que contribui para o equilíbrio da flora intestinal. Sua formulação é o grande diferencial deste produto, pois contém uma vasta gama de probióticos, como Lactobacillus acidophilus NCFM, Lactobacillus paracasei Lpc-37, Bifidobacterium lactis Bl-04, Bifidobacterium lactis Bi-07 e Bifidobacterium bifidum Bb-02.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Probióticos são microorganismos vivos que ajudam o seu corpo a absorver melhor e com mais facilidade os nutrientes dos alimentos, auxiliando a digestão e, assim, evitando a sensação de constipação e prisão de ventre. Seu consumo deve estar associado a uma alimentação equilibrada e hábitos de vida saudáveis.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;Contraindicações:&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;20 Bi é contraindicado para:&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Pessoas com hipersensibilidade aos componentes da fórmula.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;Gestantes e crianças somente devem consumir este produto sob orientação de nutricionista ou médico.&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/p&gt;&lt;p&gt;&lt;font face=&quot;Arial&quot;&gt;&lt;b&gt;SE PERSISTIREM OS SINTOMAS O MÉDICO DEVERÁ SER CONSULTADO. ESTE PRODUTO É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE O MÉDICO E O FARMACÊUTICO. LEIA A BULA.&lt;/b&gt;&lt;/font&gt;&lt;/p&gt;"
