farmacia,cidade,nome,sku,preco_com_desconto,preco_sem_desconto,desconto,descricao
Oncolog Medicamentos,São Paulo,ACETATO DE ABIRATERONA 250MG - 120 COMPRIMIDOS - DR REDDYS, SKU: 8901148240056,1600.0,2000.0,20.0,"PARA QUE ESTE MEDICAMENTO É INDICADO?O acetato de abiraterona, em combinação com os medicamentos prednisona ou prednisolona, é indicado para: - o tratamento de pacientes com câncer de próstata que se espalhou para outras partes do corpo, que não apresentam sintomas ou apresentam sintomas leves, após falha à terapia de privação de androgênios (um hormônio sexual); - o tratamento de pacientes com câncer de próstata que se espalhou para outras partes do corpo e que já receberam quimioterapia com o medicamento docetaxel.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACIDO ZOLEDRONICO 4 MG - 1 FRASCO COM 5ML CRISTALIA, SKU: 7896676420388,"R$ 125,00",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?Este medicamento é usado para tratar a metástase óssea e reduzir a quantidade de cálcio no sangue de pacientes com hipercalcemia induzida por tumor (HIT). O ácido zoledrônico também é indicado para a prevenção de eventos relacionados ao esqueleto, como fraturas de ordem patológica, compressão medular, radioterapia e cirurgia ortopédica ou hipercalcemia induzida por tumor, em pacientes com câncer metastático ósseo.VENDA SOB PRESCRIÇÃO MÉDICA.  NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACETATO DE CIPROTERONA 50MG - 20 COMPRIMIDOS BERGAMO, SKU: 7898149934514,"R$ 70,60",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?O acetato de ciproterona apresenta propriedades antiandrogênicas, ou seja, atua no tratamento de doenças associadas aos hormônios sexuais masculinos, os quais também estão presentes no organismo feminino em pequena quantidade. Converse com o seu médico para obter maiores esclarecimentos sobre a ação do produto e sua utilização.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACETATO DE ABIRATERONA 250MG - 120 COMPRIMIDOS SUN PHARMA, SKU: 7898272945166,2392.93,2452.75,2.4388951177250107,"PARA QUE ESTE MEDICAMENTO É INDICADO?Acetato de abiraterona, em combinação com os medicamentos prednisona ou prednisolona, é indicado para: - o tratamento de pacientes com câncer de próstata que se disseminou para outras partes do corpo, que não apresentam sintomas ou apresentam sintomas leves, após falha à terapia de privação de androgênios (um hormônio sexual); - o tratamento de pacientes com câncer de próstata que se disseminou para outras partes do corpo e que já receberam quimioterapia com o medicamento docetaxel; Acetato de abiraterona, em combinação com prednisona e terapia de privação androgênica (agonista de hormônio liberador de gonadotrofina ou castração cirúrgica), é indicado para: - o tratamento de pacientes com câncer de próstata metastático de alto risco, com diagnóstico recente, não tratados anteriormente com hormônios (mHNPC) ou pacientes que estavam em tratamento hormonal por não mais que três meses e continuam respondendo à terapia hormonal (mHSPC).VENDA SOB PRESCRIÇÃO MÉDICA.  NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ABRAXANE - PACLITAXEL 100 MG PO LIOF SUS INJ CT FA VD TRANS, SKU: 7898957392063,"R$ 1.224,65",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?Adenocarcinoma de pâncreas Abraxane [paclitaxel (ligado à albumina)], em combinação com gencitabina, é indicado para o tratamento de primeira linha de pacientes com adenocarcinoma de pâncreas metastático.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA; NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACLASTA - ACIDO ZOLEDRÔNICO 5 MG / 100 ML SOL INJ CT FR PLAS COM 100 ML, SKU: 7896261010451,"R$ 923,75",,,"PARA QUE ESTE MEDICAMENTO ÉINDICADO?Aclasta é utilizado para: • tratamento da osteoporose em mulheres na pós-menopausa para reduzir a incidência de fraturas do quadril, vertebrais e não vertebrais e para aumentar a densidade mineral óssea; • prevenção de fraturas clínicas após fratura de quadril em homens e mulheres na pós-menopausa; • tratamento para aumentar a densidade óssea em homens com osteoporose; • tratamento e prevenção de osteoporose induzida por glicocorticoides; • prevenção de osteoporose em mulheres com osteopenia na pós-menopausa; • tratamento da doença de Paget do osso. COMO ESTE MEDICAMENTO FUNCIONA? A substância ativa do Aclasta® é o ácido zoledrônico. Aclasta® pertence a uma classe de medicamentos denominada bisfosfonatos. Para o tratamento da osteoporose, no tratamento e prevenção da osteoporose induzida por glicocorticoides e na prevenção de fraturas clínicas após fratura de quadril em homens e mulheres na pós-menopausa. Aclasta® age por um ano e você precisará da próxima dose após um ano. Na doença de Paget, Aclasta® pode agir por mais de um ano e seu médico lhe informará se você precisa ser tratado novamente. Para prevenção de osteoporose em mulheres com osteopenia na pós-menopausa, Aclasta® é administrado uma vez, como aplicação única. Após um ano, seu médico decidirá se você precisa de outra dose, com base na sua resposta ao tratamento. Osteoporose e prevenção de fraturas clínicasVENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA, NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ALECENSA - RABEPRAZOL SÓDICO 150 MG C/224 CÁPSULA DURA, SKU: 7613326002486,33452.48,34571.5,3.2368280230825803,"PARA QUE ESTE MEDICAMENTO É INDICADO? Alecensa  está indicado para o tratamento de pacientes com câncer de pulmão do tipo de “não pequenas células”, que esteja localmente avançado ou metastático e que seja ALK positivo. Alecensa® também está indicado para o tratamento de pacientes com câncer de pulmão do tipo de “não pequenas células”, que esteja localmente avançado ou metastático e que seja ALK positivo e que tenham progredido durante o uso de outro medicamento chamado crizotinibe, ou que sejam intolerantes a ele.COMO ESTE MEDICAMENTO FUNCIONA? Alecensa inibe a atividade do receptor tirosina quinase ALK, o que leva ao bloqueio de vias responsáveis pelo crescimento e sobrevivência do tumor. Além disso, Alecensa  induz a morte das células tumorais. Alectinibe, subtância ativa de Alecensa®, demonstrou atividade contra formas mutantes de ALK, que incluem mutações responsáveis pela resistência ao crizotinibe. Alecensa demonstrou ser capaz de se distribuir e permanecer dentro do sistema nervoso central. Alecensa® levou à regressão do tumor em estudos realizados com camundongos, isso incluiu atividade antitumoral no cérebro e prolongamento da vida animais com tumor intracraniano. Depois que você ingere a cápsula de Alecensa®, a medicação é absorvida e atinge a quantidade máxima no sangue entre 4 (quatro) e 6 (seis) horas. Após 7 (sete) dias de uso, um estado de equilíbrio da quantidade de medicação é atingido no seu sangue.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO PROFISSIONAL. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ALFAEPOETINA - ERITROPOETINA 4.000UI - 1 FRASCO COM 1ML, SKU: 7896014660179,29.99,32.0,6.28125,"PARA QUE ESTE MEDICAMENTO É INDICADO?A alfaepoetina injetável (rHu EPO) esta destinada para o tratamento de anemia em pacientes com insuficiência renal e que se submetem ao regime de diálise. Também é destinada para o tratamento de anemia associado ao câncer e utilização de quimioterápicos, anemia em portador de AIDS submetido ao AZT, em procedimentos pré e perioperatórios, em doenças crônico-degenerativas (artrite-reumatoide).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ABRAXANE - PACLITAXEL 100 MG PO LIOF SUS INJ CT FA VD TRANS, SKU: 7898957392063,"R$ 1.224,65",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?Adenocarcinoma de pâncreas Abraxane [paclitaxel (ligado à albumina)], em combinação com gencitabina, é indicado para o tratamento de primeira linha de pacientes com adenocarcinoma de pâncreas metastático.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA; NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACETATO DE ABIRATERONA 250MG - 120 COMPRIMIDOS - DR REDDYS, SKU: 8901148240056,1600.0,2000.0,20.0,"PARA QUE ESTE MEDICAMENTO É INDICADO?O acetato de abiraterona, em combinação com os medicamentos prednisona ou prednisolona, é indicado para: - o tratamento de pacientes com câncer de próstata que se espalhou para outras partes do corpo, que não apresentam sintomas ou apresentam sintomas leves, após falha à terapia de privação de androgênios (um hormônio sexual); - o tratamento de pacientes com câncer de próstata que se espalhou para outras partes do corpo e que já receberam quimioterapia com o medicamento docetaxel.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
