SKU,Marca,Nome,Categoria,produto_id,valor_ini,valor_fim,perc_desc,tipo_desc
457958,FLUVIRAL,Fluviral Dia 20Comprimidos,GRIPE E RESFRIADO,457958,39.60,32.80,17.17,dePorValor
507923,HYPERA,Coristina D Pro 16Comprimidos,GRIPE E RESFRIADO,507923,38.92,35.56,8.63,dePorValor
422952,CIMED,Paracetamol 15Ml Gotas,ANALGÉSICOS E ANTITÉRMICOS,422952,11.78,5.80,50.76,dePorValor
467404,SANOFI AVENTIS,Dorflex Uno 1G 10Comprimidos Efervescente,ANALGÉSICOS E ANTITÉRMICOS,467404,31.82,28.64,9.99,dePorValor
460270,,Micolamina Spray Loção 50Ml,MICOSES E FUNGOS,460270,91.84,80.83,11.99,dePorValor
512731,BIOSINTETICA,Totti 10MG 10Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,512731,37.19,37.19,,
452610,EMS ,Doricin 30Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,452610,20.65,14.04,32.01,dePorValor
428895,HYPERA,Alivium 400Mg 8Capsulas,ANALGÉSICOS E ANTITÉRMICOS,428895,24.67,20.66,16.25,dePorValor
504477,,Dipirona 1000MG 20 Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,504477,20.20,18.74,7.23,dePorValor
462812,,Fluconazol 150Mg 2Capsulas,MICOSES E FUNGOS,462812,20.83,7.45,64.23,dePorValor
465154,,Dipirona 500Mg 30Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,465154,20.64,17.13,17.01,dePorValor
470301,OFTA VISION HEALTH,Toragesic Oftálmico Colírio 5Ml,ALERGIA E INFECÇÕES,470301,66.45,66.45,,
507895,NEO QUIMICA,Neolefrin Dia 20Capsulas,GRIPE E RESFRIADO,507895,17.99,11.15,38.02,dePorValor
465276,,Cloridrato de Terbinafina 250Mg 14Comprimidos,MICOSES E FUNGOS,465276,78.59,51.73,34.18,dePorValor
505870,ACHE,Tormiv 10mg 10 Comprimidos Sublingual,ANALGÉSICOS E ANTITÉRMICOS,505870,37.19,34.67,6.78,dePorValor
503165,APRACUR,Apracur Duo 12Comprimidos,GRIPE E RESFRIADO,503165,13.52,12.26,9.32,dePorValor
