,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
0,031087,Simeticona 125mcg com 10 Cápsulas Medley,,Vip Farma,18.66,18.66,0.0,"Este produto é usado para aliviar os sintomas de gases extras, como arrotos, inchaço e sensação de pressão / desconforto no estômago / intestino. Simeticone ajuda a quebrar as bolhas de gás no intestino."
1,031846,Nistatina + Óxido De Zinco Neo Química Pomada com 60g,,Vip Farma,25.92,25.92,0.0,"Nistatina + Óxido de Zinco tem como indicação principal o tratamento das assaduras infantis. Outras indicações são os intertrigos e as paroníquias por fungos do gênero Candida.
A Nistatina + Óxido de Zinco tem na sua fórmula duas substâncias, uma que age eliminando esse fungo e a outra que cicatriza e protege a pele por meio da formação de uma camada protetora que reduz a fricção entre a pele e as fraldas, e impede o contato da pele com urina e fezes."
2,014081,Fórmula Infantil Nestogeno 2 com 800g,,Vip Farma,66.42,66.42,0.0,Nestogeno 2 é uma fórmula de segmento para lactentes que busca substituir total ou parcialmente o leite materno.
3,026889,"Bisoprolol 1,25mg com 30 Comprimidos Merck",,Vip Farma,67.16,67.16,0.0,"O Bisoprolol é usado com ou sem outros medicamentos para tratar a pressão alta (hipertensão). A redução da pressão arterial elevada ajuda a prevenir derrames, ataques cardíacos e problemas renais."
4,014250,Gel de Limpeza Acne Proofing com 200mL,,Vip Farma,45.6,45.6,0.0,NEUTROGENA ACNE PROOFING GEL LIMPEZA 200ML
5,032746,Atenolol 25mg com 30 Comprimidos Biolab,,Vip Farma,8.19,8.19,0.0,"Atenolol é usado com ou sem outros medicamentos para tratar a hipertensão (hipertensão). A redução da pressão arterial elevada ajuda a prevenir derrames, ataques cardíacos e problemas renais. Este medicamento também é usado para tratar a dor no peito (angina) e para melhorar a sobrevivência após um ataque cardíaco."
6,013185,Creme Facial Nivea Antissinais 100G,,Vip Farma,31.64,31.64,0.0,"Sua pele está carente de cuidados? Cuide-se com o Nivea Antissinais!
 
Com uma fórmula rica em Vitamina E, o creme reduz linhas de expressão e trabalha ativamente para diminuir a incidência de rugas. Ainda hidrata intensamente, deixando sua pele bonita e com aspecto saudável, sem aquela sensação oleosa.
 
Completo, também possui proteção contra raios UVA e UVB, verdadeiros vilões para sua pele."
7,032628,Ezetimiba Neo Química 10mg com 30 comprimidos,,Vip Farma,74.7,74.7,0.0,"A ezetimiba é indicada para reduzir a quantidade de colesterol e de triglicérides no seu sangue.
O colesterol é uma das várias substâncias gordurosas encontradas na corrente sanguínea. O colesterol total é composto principalmente de colesterol LDL e colesterol HDL."
8,028175,Paracetamol 750MG 20 Comprimidos Medley,,Vip Farma,32.21,32.21,0.0,"Este medicamento é indicado em adultos para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como: dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruais."
9,031878,Novalgina 1g com 10 comprimidos,,Vip Farma,23.99,31.05,22.737520128824485,Novalgina é um medicamento indicado como analgésico (para dor) e antitérmico (para febre).
